,ID,WRITER,CONTENT,TYPE,SCORE,CREATED_AT,len_content
3852,CONT_000000000500703,최서방,친절한 수목원입니다걷는 방향을 잘 알려주네요돌하루팡에서 렌트했더니 입장료 원 남짓 결제했네요 인당 인 입장료인데 거의 공짜 ㅎㅎ신기하고 볼만한 식물들이 많음 특히 분재는 완전 깜놀카멜리아가 화려하다면 한림공원은 멋찜과 놀람,kakao,5.0,21.03.21.,124
3857,CONT_000000000500703,공즉시색,한림공원가면 꽃과 열대식물 타조 공작 다양한 돌작품등을 볼 수 있습니다 거기다 동굴도 있네요 여유롭게 보시면 시간 더 걸리네요 꽃피는 춘삼월이후에 가면 더 좋을듯하고 월 일에 갔는데도 좋았습니다 강추,kakao,5.0,21.02.23.,111
3862,CONT_000000000500703,오석현,길가다 우연히 들어온 곳 입장료 원 보고 흠칫했지만 그래도 생각보다 볼거리가 많아서 잘 왔다고 생각한다 식물원 동굴 수석관 등 동선 따라가면서 구경하니 시간 뚝딱 다만 넓은편이라 힘들수도 있다,kakao,5.0,20.12.15.,107
3827,CONT_000000000500703,칠삭둥이,입장료성인원이 아깝지 않다두개의 긴동굴 민속촌 각종조류 열대식물야자수거리 특히나 각종분재등 대만족이다다만 시간이상 걸어야 해서 다소 빡치다 어린이와 가면 다구경하기 힘들것같다,kakao,5.0,21.09.29.,97
3821,CONT_000000000500703,.,입장료값했어요 진짜 넓고 볼거리도 많도 월에가면 수국도 즐비해서 수국거리 갈필요도없었어요ㅜㅜ 짱짱맨 사진스팟 최고 비자림 대신 간건데 더 좋은거같아요 흐회없음 ㅠㅠ,kakao,5.0,21.12.01.,91
3889,CONT_000000000500703,우s,동백시즌이 끝나서 기대없이 의무적으로 코스에 넣었는데 유채꽃밭과 튤립밭이 너무너무 좋았다 그 외에 들어갈 수 있는 굴과 자유분방한 조류들을 보는것도 좋은 경험이었다,kakao,5.0,20.04.15.,91
3887,CONT_000000000500703,최성진,입장료가 성인 원이라 비싸보이지만꽃들과 나무들과 동굴까지 볼 수 있어 좋았습니다식사후에 소화시킬겸 시간여유있게 방문해서 천천히 느긋하게 둘러보는걸 추천드려요,kakao,5.0,20.04.19.,87
3874,CONT_000000000500703,짱아치,공원 식물원 동물원 꽃밭 동굴 등의 구역으로 나뉘어 있다 선인장 공작 악어 등의 독특한 볼거리가 있다 특별가로 감귤 초콜릿 박스를 원에 구입함,kakao,5.0,20.08.23.,79
3885,CONT_000000000500703,이선주,입장료 안아까움 잘 관리되어있어서 기분 좋았어요 파충류들도 있고 관종 공작새 타조도 있어요 길에 돌아다니는 공작새가 가장 신기했어요 ㅋㅋㅋㅋ,kakao,5.0,20.05.01.,78
3925,CONT_000000000500703,마음에 여유를 ,제주도에서 볼거리 여기 다 모아뒀고 공원관리자가 세밀하게 신경을 많이 쓰고 있음을 알게되었어요제주도에 가서 시간이 없다면 여기만 가도 됩니다,kakao,5.0,18.01.31.,78
3806,CONT_000000000500703,도민슐랭,공간과 시간과 나무의 스케일에 흠뻑 젖게 된다 너무 넓어서 나중에는 무뎌지는 단점이 있다 체력이 필수이다 봄에는 벚꽃 동산이 정말 아름답다,kakao,5.0,22.04.30.,77
3787,CONT_000000000500703,고호,넓고 다양한 동식물 있음 동굴 진짜 시원제주도가 올해 가뭄이라 그런지 식물들이 좀 말라있긴 했음 제주도에 잔잔한 비가 더 와주면 좋겠네요,kakao,5.0,22.08.16.,76
3886,CONT_000000000500703,쑤,생각보다 엄청 크고 식물 종류도 다양합니다 동굴도 있고 여러가지 구획이 나눠져있는데 시간관계상 반만 보고 나왔어요 입장료가 아깝지 않네요,kakao,5.0,20.04.21.,76
3796,CONT_000000000500703,이민경,볼 거리도 많고 가족끼리 가기도 좋을 것 같습니다 식물 구경하고 생각보다 동물도 다양하게 있어서 구경하기 좋았습니다 사람은 꽤 있습니다,kakao,5.0,22.06.06.,75
3823,CONT_000000000500703,김동완,한 바퀴 도는데 시간 분정도 걸립니다긴 시간인데 구간마다 테마가 뚜렷하여 질리지 않고 힐링됩니다 날 좋은 날 아침에 가면 아주 좋습니다,kakao,5.0,21.11.02.,75
3868,CONT_000000000500703,가오있게 엣지있게,저에게 만큼은 기대이상이었습니다이게 진짜 제주라는생각이 절로 들었습니다직원들은 항상 웃음을 잃지말고 자부심을 가지고 관광객 맞아주시길,kakao,5.0,20.11.23.,74
3836,CONT_000000000500703,프로여행러,수국이 예쁘게 피었어요부지가 정말 정말 넓습니다그치만 곳곳이 보기 좋으니 각오하고 다 보시길 바랍니다 돈 안 아까웠어요 화이팅,kakao,5.0,21.06.06.,70
3826,CONT_000000000500703,진짜맛있거나진짜별로거나,기대를 안하고가서그런지 생각보다 볼것도많아서 좋았습니다 시간 반쯤 있었던거같아요 ㅎㅎ시간을 넉넉히잡고 가는게 좋을것 같습니다,kakao,5.0,21.10.01.,69
3860,CONT_000000000500703,이엘리,겨울에 와서 꽃을 못봐서 아쉽긴했어요그래도 볼거리가 많아 좋았습니다원래는 황무지 모래사막이었단 걸 읽고더 놀라웠습니다,kakao,5.0,21.01.06.,65
3842,CONT_000000000500703,만두,날씨 맑을 때 월 말정도에 갔었고 당시 입장료 정도 그 때는 너무 이쁘게 잘봤음 평이 갈리는건 날씨때문인가,kakao,5.0,21.05.05.,59
3923,CONT_000000000500703,봄,입장료가 아깝지 않은 곳입니다 튤립 축제는 정말 상상 이상이었네요 볼 것도 많고 그렇게 넓을 줄 몰랐습니다,kakao,5.0,18.04.03.,59
3768,CONT_000000000500703,ok차박 전국투어,차박 한림공원  유튜브 검색하시면 동영상 올렸습니다 편까지 가야할듯비싸지만 비싼 값어치 할것 같다,kakao,5.0,22.11.21.,54
3869,CONT_000000000500703,오로롱,국화 정말 예뻐요 향도 너무 좋구요식물들 관리 잘되어있어요 조카랑 가서 시간동안 놀다왔어요꿀잠예약,kakao,5.0,20.11.17.,54
3807,CONT_000000000500703,융,월 초에 가서 딱 걷기 좋았어용 걷기 싫어하는 사람인데 생각보다 볼 거 많아서 시간 정도 걸었음,kakao,5.0,22.04.24.,53
3775,CONT_000000000500703,KJ,볼거리가 많고 예뻐요 저는 좀 더울 때 가서 힘들었지만 봄 가을 날씨 좋을 때 가면 최고일듯요,kakao,5.0,22.10.09.,52
8533,CONT_000000000500701,지구는소중하다,화순금 모래색도 특이하고 쓰레기도 다른 해변에 비해 적고 좋기만한데  지네가 플로깅을 해 제주환경을 위해 빨대라도 하나 안쓰려는 노력을해 옆에 산방산도보이고 나는 만족했음옆에 지나가던 관광객이 하던말이 떠오른다 전에는 해변이 엄청 넓었는데 맴찢 ㅠㅠㅠㅠ 앞에 무슨 콘크리트로 다 배세워두는데 만들고 낚시충들로 망가지는 화순금안타까움그나저나 그 특이한색의 모래마저 화순금의 원래 모래인지 의문임 제주모레 엄청 퍼다 건설이니 뭐니 쓰는데 다 퍼가서 몇몇 해수욕장은 모래가 없어서 또 다른지역모래갖다가 부었다는데내가 걱정하는 제주의 미래전혀 지속가능한 면이없음,kakao,5.0,21.08.15.,310
8524,CONT_000000000500701,내맘속별다섯,개발로 무너지기 전 모습을 못 본 것을 아쉬워하며 가 본 해변 고즈넉하고 아름다운 안덕 화순 마을을 걸어 도착한 해변의 노을이 참 좋았습니다 삼양 해변 같은 검은 모래를 보았고 마을 가로수인 먼나무가 빨갛게 반짝여 신기했습니다 개발로 바다 시야가 막히고 해변 앞 캠핑 텐트들이 좀 많아서 어수선해 보이기는 했지만 조용한 바다에서 해지는 산방산을 보아서 만족했습니다,kakao,5.0,22.11.16.,203
8526,CONT_000000000500701,B-lDOI, 방문해수욕장과 항구가 붙어있어서 물놀이하기에 적합한 곳은 아닌거 같지만 바다와 산방산을 같이 볼 수 있는건 특이해요맑은날 돗자리와 파라솔치고 바다멍 최고화장실도 넓고 깨끗하고 발 씻는 수로 관리를 너무 잘 해서 이용하기 편해요  방문 당시 두분이서 열심히 모래 담는 중이셨음  밑에 있는 후기의 기사는 너무 충격적이네요 몰랐어요 안타깝네요,kakao,5.0,22.08.31.,190
8527,CONT_000000000500701,인생사새옹지마,인간들의 이기심으로 다시는 멋진 풍경을 지녔던 금모래해변을 볼 수 없게 되었습니다그나마 남아있는 모래사장마저 콘크리트로 덮일 예정이라고 하네요우리세대는 과연 다음 세대에게 무엇을 물려줄 수 있을까요,kakao,5.0,22.08.17.,110
8525,CONT_000000000500701,ok차박 전국투어,차박 화순금모래해수욕장 유튜브 검색하시면 영상 올렸습니다,kakao,5.0,22.11.06.,31
8536,CONT_000000000500701,이종근,캠핑하기 좋음 무료 화장실 샤워시설이 있음,kakao,5.0,21.07.09.,23
8547,CONT_000000000500701,임은형,여름에 해수욕장으론  최곱니다,kakao,5.0,20.08.22.,16
8531,CONT_000000000500701,오징어,모래가 조금 더러워요,kakao,5.0,21.11.03.,11
8530,CONT_000000000500701,인생여행,강아지 놀이터로 굿 입니다,kakao,4.0,22.02.26.,14
8544,CONT_000000000500701,"(마루반)수인,(새싹반)예성엄마", ,kakao,4.0,21.01.17.,1
8551,CONT_000000000500701,Choi Dong Sik, ,kakao,4.0,18.03.02.,1
8529,CONT_000000000500701,4남매맘(지선영),깨진 조개들이 백사장에 널려서맨발로 걸으면 안되겠어요항이 옆에있어서 해수욕장으로도좀하지만ㅎ 모래를 좀 파다보면 조개들이 꽤 나오네요잠깐사이 마리를ㅎ,kakao,3.0,22.04.21.,82
8542,CONT_000000000500701,🏴‍☠️,구금모래해수욕장 현재는 화순항입니다,kakao,3.0,21.04.08.,19
8543,CONT_000000000500701,Renato Piereck,     ,kakao,3.0,21.03.29.,5
8528,CONT_000000000500701,웃ㄱ인, ,kakao,3.0,22.05.02.,1
8537,CONT_000000000500701,엔젤, ,kakao,3.0,21.07.08.,1
8539,CONT_000000000500701,문예린, ,kakao,3.0,21.06.14.,1
8540,CONT_000000000500701,최한종, ,kakao,3.0,21.04.27.,1
8550,CONT_000000000500701,sukiaya,마을 주민 다 돈독 오른 사람틀스타렉스 캠핑카 타고 제주 여행중인데수영장 오픈 직전 자리세 안될 손님인거 알고 노골적으로 가라는 식으로 얘기 하네요성수기전이라 드넓은 주차장에 차 많이 차야 여대정도인데데크있는곳에 분전함에 밧데리 충전하니 그다음날 모든 데크 전기 다 끊어버리네요화장실 오며가며 동네 어른 뮈그리 범죄인 보듯 보시는지무료샤워실 있는데 캠핑하는 사람 전혀 없는게 다 이유가 있는듯 하네요바로옆 산방산 풍경 외에는 전혀 제주도다운 풍경 없음양옆으로 방파제가 바다 풍경 다 가리고물 색깔도 서해바다랑 똑같음방파제에 해경등 큰 배 엄청 많음,kakao,1.0,19.07.06.,306
8546,CONT_000000000500701,박용설,금모래 해수욕장금모래는커녕 더러운모래 쓰레기 더러운 포장마차 무식한 취객등 제주에서 볼수없는 더러운 집합체절대가지마세요 후회합니다 차량기름과 시간이 아깝습니다별한개도 주기싫은데 한개라도 선택안하면 글을 못쓰니 할수없이 한개,kakao,1.0,20.08.31.,124
8523,CONT_000000000500701,네임으,나만 가고싶은 조용하고 사람 없고 모래 사그락거리는 소리 나뭇잎 흐드러지는 소리가 들리고 밤이면 별과 도란도란 앉아서 떠드는 소리와 자그만 모닥불이 있는곳 일어나서 캠핑체어 펼쳐두고 책보고 낮잠자고해수욕장으로서는 별로,kakao,1.0,22.12.02.,121
8535,CONT_000000000500701,12345,텐트를 물놀이하는데서 한참 떨어진 후미진 방파제쪽에만 설치하라고하네요해수욕 공간은 조그맣게 운영해서 놀기도 안좋고발씻는 수도배관 그거 하나 마음에 드네요,kakao,1.0,21.08.04.,85
8534,CONT_000000000500701,최석환,거르세요 모래 색 바닷물색 보시면 답 나옵니다해파리한테 호되게 당해서 응급실 갔습니다가본 바다 중 가장 구데기 바다 입니다튜브가이가 친절합니다,kakao,1.0,21.08.06.,79
8548,CONT_000000000500701,맛집찾는산토끼,금모래라는 이름이 아깝습니다 제주 해변 중 가장 안이쁘고 삭막합니다 일부러 찾아오지 마세요 시간 낭비입니다,kakao,1.0,20.05.23.,59
8541,CONT_000000000500701,MO,결국 크루즈가 오지않는 화순항사라져버린 금모래해변은 다시는 볼수 없네요,kakao,1.0,21.04.26.,39
8549,CONT_000000000500701,Neta Batata,                                    ,kakao,1.0,19.08.28.,36
8538,CONT_000000000500701,전주도철의 솔직한 후기,어딜 봐서 금모래라는건지,kakao,1.0,21.07.01.,13
8545,CONT_000000000500701,Cneka,지저분더럽불결폐쇄하시죠,kakao,1.0,20.09.20.,12
8532,CONT_000000000500701,사실은...,샤워안되요,kakao,1.0,21.10.14.,5
1516,CONT_000000000500700,제주제주, ,kakao,5.0,22.04.03.,1
5006,CONT_000000000500699,yul,저는 날씨 좋을때와서 날씨가 안좋으면 어떨지는 모르겠지만 날씨 좋을 때 아주아주 예뻐요 왜 입장료 무료일까 싶을정도랍니다 이 정도 퀄리티면 입장료 받아도 될 거 같아요 강아지가 뛰어다닐만한 곳도 꽤 있었어요 거기서 벤치에 앉아 책 보고 있으면 로맨스 드라마 가능이에요 ,kakao,5.0,22.06.19.,150
5041,CONT_000000000500699,맛집감별사,지나가다 아이 화장실이 급해서 얼떨결에 들렀던 곳 때마침 동백도 예쁘게 피었고 날도 좋아서 찬천히 산책하며 돌아봄 관리가 철저하진 않지만 입장료가 없으므로 그만하면 훌륭한 편 수선화도 한껏 피어 향기를 뽐냄,kakao,5.0,19.01.27.,115
5009,CONT_000000000500699,Elly,일 오전에 방문무료지만 주차장도 있고 관리가 잘 되어 있다만개한 수국들 봐서 좋았는데 담주에 가면 더 이쁠듯 ㅋ 아이들과 가족들과 가기 좋은곳,kakao,5.0,22.05.31.,79
5005,CONT_000000000500699,cookie,수국이 진짜 너무너무너무예뻐요 무료라서 더 좋았던 혼인지 다른 수국명소와 다르게 하늘색 수국으로 색깔이 통일되어있어서 더 예쁘고 좋더라구요,kakao,5.0,22.06.20.,77
5035,CONT_000000000500699,잠가루비, 수국이 지고 있어요혼인지 수국도 이쁘지만 다락수국이 더 선명한 보라색이라 이쁜거 같네요 다락수국은 저번주에 다녀왔는데 만개했습니다,kakao,5.0,20.06.20.,73
5019,CONT_000000000500699,Jade,수국을 예쁘게 잘 심어놨는데 월일 기준 수국이 거의 남아있지않네요 ㅠ 수국이 만개했을 때 오면 정말 예쁠 것 같습니다,kakao,5.0,21.06.29.,65
5003,CONT_000000000500699,YOON, 수국 상태 공유해요바깥의연못쪽 수국은 많이 시들었는데 안 쪽의 보라색 수국은 아직 예쁘게 피어있어요,kakao,5.0,22.06.23.,56
5034,CONT_000000000500699,초코바닐라,수국시즌에는 방문객이 많네요 수국 없을때는 별거 없지만 무료로 산책하기 좋은 공원이예요,kakao,5.0,20.06.22.,48
5016,CONT_000000000500699,푸린,월초에 갔는데 벌들이 많아서 좀 무섭긴 했지만 수국이 너무 예쁨심지어 입장료도 무료임,kakao,5.0,21.10.07.,47
5030,CONT_000000000500699,행복하기,꽃이 질때여서 살짝 아쉬웠지만무료개방에 이런 풍경은 굿내년엔 때 맞춰 잘 올것임,kakao,5.0,20.07.22.,44
5017,CONT_000000000500699,김진혁,입장료  무료월에 방문하여 수국은 다 시들었지만수국피는 월에 재방문하고 싶어요,kakao,5.0,21.09.12.,43
5002,CONT_000000000500699,mytrip,딱 구경하기좋은 정원이에요 수국이 너무 예쁘게 펴서 사진이 정말 잘나와요 ,kakao,5.0,22.06.30.,41
5040,CONT_000000000500699,노을,고즈넉하니 너무 좋은데 연못은 월까지 공사중이네요 오실분들 참고하세요,kakao,5.0,19.05.02.,38
5022,CONT_000000000500699,No,수국 보기 좋다 행사도 했으면 좋겠지만 지금은 그럴 시기가 아닌듯,kakao,5.0,21.06.10.,36
5032,CONT_000000000500699,호vs불호,초여름 수국 한적하고 깨끗한 산책로 이런곳이 무료라서 더 좋아요,kakao,5.0,20.07.05.,35
5020,CONT_000000000500699,🦋,너무 예쁨 ㅠㅠ  파란수국 사랑입니다연못도 너무 이뻐요,kakao,5.0,21.06.21.,30
5039,CONT_000000000500699,박성혁 (Simon.park),올레 길 지금은 수국이 절정으로 한적하고 너무 아름답다,kakao,5.0,19.06.23.,30
5025,CONT_000000000500699,고고,돈내고 들어가는 휴애리보다 배 좋음 수국맛집 인정,kakao,5.0,21.06.01.,27
5008,CONT_000000000500699,ㅇㅇ,무료에 이런 수국뷰라니수국철에가면 정말 최고최고,kakao,5.0,22.06.12.,26
5000,CONT_000000000500699,ㅇ,파란 수국밖에 없지만 정말 예뻤어요월 중순,kakao,5.0,22.07.09.,23
5036,CONT_000000000500699,신빵상,시기만 잘맞춰온다면 수국이 가장 예쁜 곳,kakao,5.0,20.06.19.,22
5023,CONT_000000000500699,휴산방,엄청난수국 맛집전국 최고 입니다,kakao,5.0,21.06.03.,17
5027,CONT_000000000500699,건담쟁이,너무 아름다워요 진짜 수국 맛집,kakao,5.0,21.05.28.,17
5033,CONT_000000000500699,황동환,월 중순 수국 보기에 좋았어요,kakao,5.0,20.06.25.,16
5018,CONT_000000000500699,woojinha.J벗,공항생기면 없어지려나,kakao,5.0,21.08.30.,11
5031,CONT_000000000500699,에세,아름답고 한적합니다,kakao,5.0,20.07.06.,10
5014,CONT_000000000500699,별 헤는 J.,수국 최고에요,kakao,5.0,21.11.25.,7
5024,CONT_000000000500699,mo,예뻐요,kakao,5.0,21.06.02.,3
5004,CONT_000000000500699,121212, ,kakao,5.0,22.06.22.,1
5007,CONT_000000000500699,석원, ,kakao,5.0,22.06.18.,1
5010,CONT_000000000500699,돼하, ,kakao,5.0,22.05.29.,1
5026,CONT_000000000500699,유승민, ,kakao,5.0,21.05.29.,1
5029,CONT_000000000500699,박현영, ,kakao,5.0,20.07.26.,1
5012,CONT_000000000500699,WT,후기들보니 수국이 많을때가 좋아보네요 기준으로 몇개 없어서 조금 아쉽 산책로 짧고 무료라서 만족,kakao,4.0,22.05.22.,53
5037,CONT_000000000500699,귤탱,수국이 절반 폈다 무료입장으로 연못을 가볍게 둘러보고가기분 좋다 날이 좋은날 방문 추천,kakao,4.0,20.05.22.,48
13042,CONT_000000000500698,윤상원,스노클링 넘좋아요,kakao,5.0,22.05.31.,9
13043,CONT_000000000500698,한경일, ,kakao,5.0,16.10.16.,1
15904,CONT_000000000500697,강선생,제주 아니 국내 모든 해변중 최고봉이라고 본다 해가 눈부신 초가을 정도에 협재해변은 이미 한국이 아니다파란 바다와 눈이 부셔서 바라보기 힘들정도의 하얀백사장그리고 멀리보이는 비양도가 어우러져 더이상 아름다울수 없다같은 제주도에서 유명한 함덕은 이미 대형호텔들이 해변을 점령하고 차량으로 인해 흥이 깨지나 협재는 아직자연미가 남아있다단언하지만 여기가 대한민국 최고의 해변이다,kakao,5.0,19.09.16.,208
15935,CONT_000000000500697,박진현,제주도에서 가장 물빛이 아름다웠던 바다 진짜 에메랄드 빛이 무엇인지 보여준다 우도와 달리 모래도 아주 고와 해수욕하기에 최적 조건 협재 옆 금능해변도 아름다우나 협재에서 보는 비양도가 더 예뻐서 높은 점수 다만 사람과 상업시설이 몰려 있는 전형적인 피서지 분위기는 아쉬웠다 시가 밀물 때고 시가 썰물 때인데 썰물 때의 협재도 환상적 분위기,kakao,5.0,16.03.16.,189
15723,CONT_000000000500697,비비,주차공간도 많고 사람도 많고사진 찍을 곳도 많고 넘 힐링되고 좋았어요화장실이 아주아주 멀다는 것과 바람이 엄청 불어 미친듯이 춥다는 것만 빼면제주 여행에서 가장 만족한 곳이에요사실 선셋을 보러 간거지만날이 흐려 아무것도 보지 못했구 밀물로 인해 돌들이 물에 잠기는 걸 보니여러 생각이 들었어요제주 서쪽의 필수 여행지 다운것 같아요,kakao,5.0,23.02.04.,184
15887,CONT_000000000500697,새로운 길을 위해...,하얀백사장도 이뿌고 물도 깊지않고물 색깔도 정말 예뻐요해수욕장 공용화장실쪽 길도 공사마무리 하고 계셔서여름철 해수욕하고 사용하기 좋을것같아요모래 씻어내는 시설도 수리중이더라구요겨울도 나름 운치있어서 좋고여름철 해수욕 하기도 딱 좋을듯요,kakao,5.0,20.03.21.,131
15906,CONT_000000000500697,w,제주도 최고의 해변이라는 말에 공감여행중 제일 좋아서 기억에 남아요최고의 날씨는 아니었고 물놀이 할때 안에서 볼땐 흐렸어요 지금 생각해보면 튜브대여샤워물품보관 비쌌는데ㅠㅠ깎을걸 그럼에도 불구하고 좋았네요날씨 제일 좋은날 또 가고 싶어요,kakao,5.0,19.08.19.,131
15822,CONT_000000000500697,혜원,제주도 가서 간곳중에  가장 마음에 듬애들어른들 다 좋아함그치만 주차하기 어렵음식점 많고 맛있는데 점심시간  시엔비추 사람  많음협재 근처 음식집은  협재섬바다음식집 추천시엔 사람 많지  않고가성비갑갈치정식원보말칼국수원 추천,kakao,5.0,21.05.12.,125
15748,CONT_000000000500697,HY,전에 한번 방문하고 기억에 남아 다시 재 방문 했습니다해안도로 타고 많은 해변가를 가 봤지만 협제가 가장 관경이 좋습니다다만 놀기엔 좀 좁을 수 있습니다 중문 색달해변이 더 나을 수 있을 것 같습니다,kakao,5.0,22.08.29.,111
15859,CONT_000000000500697,codingLife,협재해수욕장 저번주에 다녀왔는데 너무 멋져요날씨 좋을때 가면 경치가 예쁠 것같아요그 근처 카페 쉼표카페 뷰가 정말 장난이 아니에요 기회가 된다면 가보시는거 추천합니다,kakao,5.0,20.11.04.,92
15883,CONT_000000000500697,프랭크의 전국투어 이야기,바다색이 너무 예뻐요에메랄드색인곳도있고 푸른색인곳도있고 이국적이고 너무좋습니다 모래도 진짜곱고 하얗고 넓어서 걸어다니고 해수욕하기도 딱일듯요 사진 미친듯이 찍었네요,kakao,5.0,20.05.17.,91
15781,CONT_000000000500697,유토스트,바닷속이 다 보일 정도로 맑아요 협재에서 금능 방향으로 걸어갔어요 갯고동 많아서 구경하는 재미가 쏠쏠했습니다 겨울에 방문해서 그런지 해조류도 많지 않았어요,kakao,5.0,21.11.30.,86
15730,CONT_000000000500697,ok차박 전국투어,차박 협재해수욕장 유튜브 검색하시면 동영상 올렸습니다 비양도가 코앞에 그림 하얀바다 청량바다 차박은 곤란 바로옆 노외주차장 이용말이 필요없음 너무좋다,kakao,5.0,22.11.20.,83
15761,CONT_000000000500697,후기는진심,예쁘고 물이 얕은편 주위 식당도 좀 있다 숙박시설은 적은편 물이 얕은 편이라 어린아이가 있는가족에게 인기가 많아 그런지 가족단위가  정도,kakao,5.0,22.07.06.,76
15907,CONT_000000000500697,밈,해수욕은 안해서 모르겠지만 사진찍기엔 여기가 최고인듯 제주도 바다중 제일 맑은것같은데 다른 해변보다 훨씬 번화해서 제일 정신없던 곳,kakao,5.0,19.08.12.,73
