관련 태그 전체,콘텐츠 ID,콘텐츠명,주소,도로명주소,태그,간단소개,위도,경도,우편번호,전화번호,썸네일 이미지경로
"펜션,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,유도 및 안내시설,경보 및 피난시설,아주 어려움",CNTS_000000000018237,호도하우스,제주특별자치도 서귀포시 법환동 1523,제주특별자치도 서귀포시 막숙포로 134,"펜션,숙소,휴양펜션,바비큐,공공와이파이존,해수욕장",바람이 머물고 가는 올레 7코스에 위치한 숙소,33.2319569,126.5089298,,064-739-1152,
"휴식,숙소,리조트,휴양콘도,자연경관,해변,바비큐,부대시설,주차장,공공와이파이존,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,단차없음,장애인 화장실,장애인 전용 주차장,장애인 전용 객실",CNTS_000000000019270,에띠에리조트,제주특별자치도 서귀포시 강정동 2503-1,제주특별자치도 서귀포시 이어도로 738,"휴식,숙소,리조트,휴양콘도,자연경관,해변,바비큐,부대시설,주차장,공공와이파이존,무장애관광","조식을 포함한 카페, 라운지, 바베큐, 바다전망대 등 다양한 편의시설을 갖추고 고객님들을 맞이하고있습니다.",33.2352943,126.4942854,,064-739-1700,
"펜션,숙소,바비큐,해수욕장,휴양펜션,힐링,중문관광단지,가족호텔,공용주차장,화장실,무료 WIFI",CNTS_000000000022368,중문빌리지,제주특별자치도 서귀포시 하예동 141,제주특별자치도 서귀포시 예래로 270,"펜션,숙소,바비큐,해수욕장,휴양펜션,힐링,중문관광단지,가족호텔",원룸형 레저하우스,33.2427,126.38525,63538,064-738-3151,
"게스트하우스,숙소,조식 포함,공공와이파이존,온돌방,해수욕장,화장실,무료 WIFI,아주 어려움",CNTS_000000000021081,금서방네이층집,제주특별자치도 서귀포시 안덕면 덕수리 773-1,제주특별자치도 서귀포시 안덕면 덕수회관로 61번길 1,"게스트하우스,숙소,조식 포함,공공와이파이존,온돌방,해수욕장",덕수리 마을의 금 서방네 이층집,33.253826,126.31028,63527,010-5726-8633,
"휴식,숙소,휴양펜션,펜션,가족,단체여행객,바비큐,해변,자연경관,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CNTS_000000000019144,낭만펜션,제주특별자치도 제주시 도두일동 1852-1,제주특별자치도 제주시 도두5길 28,"휴식,숙소,휴양펜션,펜션,가족,단체여행객,바비큐,해변,자연경관",공항과 가깝고 올레길 17코스에 위치해있는 낭만제주펜션은 주변에 이호테우해변 용두암 곽지해변이있습니다.,33.5048108,126.472066,,064-713-7705,
"호텔,숙소,게스트하우스,모텔,양식레스토랑,엘리베이터,관광호텔,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,유도 및 안내시설,경보 및 피난시설,엘리베이터,단차없음,장애인 화장실,승강기,장애인 전용 주차장,장애인 전용 객실,어려움",CNTS_000000000018115,더레드관광호텔,제주특별자치도 제주시 이도이동 1176-11,제주특별자치도 제주시 동광로6길 10,"호텔,숙소,게스트하우스,모텔,양식레스토랑,엘리베이터,관광호텔,무장애관광",푸른 바다와 아름다운 한라산이 한눈에 보이는 경관이 좋은 관광호텔,33.5010293,126.5319039,,064-725-7254,
"펜션,숙소,휴양펜션,민박,해수욕장,바비큐,해안도로,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,유도 및 안내시설,경보 및 피난시설,아주 어려움",CNTS_000000000018227,바다추억,제주특별자치도 제주시 용담3동 1015-1,제주특별자치도 제주시 용해로 27,"펜션,숙소,휴양펜션,민박,해수욕장,바비큐,해안도로",다양함과 편리함으로 무장한 바다 추억 펜션,33.514744,126.502945,63150,064-742-2831,
,CNTS_000000000022247,쇠소깍올레민박,제주특별자치도 서귀포시 하효동 236-2,제주특별자치도 서귀포시 효돈로205번길 23,"숙소,민박,농어촌민박,마을관광,돌담풍경마을,올레",하효마을에 있는 민박,33.2623726,126.6188522,,010-2637-1401,
"펜션,공용주차장,화장실,무료 WIFI,아주 어려움",CNTS_000000000019160,해변여행,제주특별자치도 제주시 애월읍 하귀2리 2726,제주특별자치도 제주시 애월읍 가문동길 41-2,"펜션,숙소,휴양펜션,민박,농어촌민박,고향민박,힐링,식당,바비큐,카페,낚시,자연경관",깔끔한 인테리어의 준비된 펜션,33.486088,126.392105,63050,064-747-5508,
"숙소,게스트하우스,공공와이파이존,교통,해수욕장,독채,단체여행객,온돌방,무료 WIFI",CNTS_000000000022092,늘푸른 게스트하우스,제주특별자치도 서귀포시 대정읍 하모리 540-1,제주특별자치도 서귀포시 대정읍 하모백사로 29,"숙소,게스트하우스,공공와이파이존,교통,해수욕장,독채,단체여행객,온돌방",해모 해변 인근에 위치한 펜션,33.21422,126.25916,63513,010-5049-4910,
"게스트하우스,공용주차장,현금결제,카드결제,화장실,무료 WIFI,유도 및 안내시설,경보 및 피난시설,아주 어려움",CONT_000000000500985,오빌하우스,제주특별자치도 서귀포시 남원읍 신례리 85-5,제주특별자치도 서귀포시 남원읍 공천포로11번길 15,"게스트하우스,숙소,펜션,휴양펜션,가족,바비큐,공공와이파이존",올레 6코스 시작점에 위치하여 바다와 한라산 전경을 모두 감상할 수 있는 펜션형 게스트하우스,33.299995,126.6297939,,070-7722-0816,
"호텔 ,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,장애인 화장실,장애인 전용 객실,어려움",CNTS_000000000018204,올레관광호텔,제주특별자치도 제주시 삼도1동 580-31,제주특별자치도 제주시 서광로 254,"호텔,숙소,공공와이파이존,주차장,관광호텔,온돌방,무장애관광",깔끔하고 편리한 제주 올레관광호텔,33.49953,126.52372,63187,064-723-2727,
"민박,공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CONT_000000000500837,돌집조앤정,제주특별자치도 제주시 구좌읍 세화리 834-1,제주특별자치도 제주시 구좌읍 세화합전1길 7,"민박,농어촌민박,단체여행객,주차장,발렛파킹,공공와이파이존,독채,펜션,돌집",제주도 동쪽 구좌읍 세화리 예쁜 마을의 원룸과 독채형의 B & B 형 농가 돌집 민박,33.4895966,126.8316644,,010-9363-4305,
"추자민박,추자공연장,추자도,카드결제,현금결제,어려움,없음,동반불가능,유료제공,전체금연,세탁서비스,인터넷,없음,운행",CNTS_200000000009081,유창민박,제주특별자치도 제주시 추자면 대서리 146,제주특별자치도 제주시 추자면 추자로 46-1,"추자민박,추자공연장,추자도,숙소,민박,농어촌민박,주차장",공연장과 버스정류장 바로 앞 위치,33.9642903,126.2929862,,064-742-3555,
"호텔,숙소,중문관광단지,오션뷰호텔,자연경관,레저/체험,조식,비즈니스센터,주차장,공용주차장,화장실,엘리베이터,단독접근가능,단차없음,승강기,장애인 전용 주차장,어려움",CNTS_000000000021482,파밀리아호텔,제주특별자치도 서귀포시 대포동 2079,제주특별자치도 서귀포시 대포동서로 63-20,"호텔,숙소,중문관광단지,오션뷰호텔,자연경관,레저/체험,조식,비즈니스센터,주차장,무장애관광","가족과 함께 머물고 싶은 곳, 파밀리아",33.24088,126.43825,63544,064-738-2599,
"펜션,숙소,휴양펜션,중문관광단지,주차장,주방기구,화장실,무료 WIFI",CNTS_000000000022140,삼다펜션,제주특별자치도 제주시 용담3동 2383-1,제주특별자치도 제주시 서해안로 456-6,"펜션,숙소,휴양펜션,중문관광단지,주차장,주방기구",삼다호텔은 용담 해안도로에 위치한 펜션형 호텔입니다.,33.518208,126.48894,63114,--,
"펜션,숙소,민박,농어촌민박,단체여행객,주차장,공공와이파이존,해변,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CNTS_000000000018691,바다의향기,제주특별자치도 서귀포시 대정읍 상모리 71-8,제주특별자치도 서귀포시 대정읍 송악관광로177번길 254-6,"펜션,숙소,민박,농어촌민박,단체여행객,주차장,공공와이파이존,해변",낭만과 추억이 가득한 아름다운 바다의 향기 펜션,33.2130528,126.292268,,064-792-3331,
"휴식 ,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CNTS_000000000019485,블루펄,제주특별자치도 서귀포시 호근동 1616-1,제주특별자치도 서귀포시 태평로92번길 35,"휴식,숙소,펜션,휴양펜션,리조트,주차장,서귀포,산책로,바비큐,가족","외돌개, 중문관광단지, 주상절리대, 천지연폭포 등 유명 관광지와 접근성이 좋은 리조트",33.2412,126.5319536,,064-739-4002,
"휴식,숙소,조식 포함,해수욕장,공공와이파이존,체험,guesthouse,가족,화장실,아주 어려움",CNTS_000000000021136,세화리움,제주특별자치도 제주시 구좌읍 세화리 1-26,제주특별자치도 제주시 구좌읍 해녀박물관길 29,"휴식,숙소,조식 포함,해수욕장,공공와이파이존,체험,guesthouse,가족",세화리의 정취를 느낄 수 있는 ‘세화스러운’ 휴식 공간,33.523354,126.8624,63361,010-9530-4049,
"호텔,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설,장애인 화장실,장애인 전용 주차장,아주 어려움",CNTS_000000000018198,부영CC관광호텔,제주특별자치도 서귀포시 남원읍 수망리 628-8,제주특별자치도 서귀포시 남원읍 남조로 960,"호텔,숙소,관광호텔,골프,패키지관광,무장애관광",쾌적하고 편안한 삶과 휴식을 얻을 수 있는 부영관광호텔,33.3508829,126.6980129,,064-766-5500,
"모텔,숙소,공항,주차장,온돌방,공공와이파이존,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,유도 및 안내시설,경보 및 피난시설,엘리베이터,승강기,아주 어려움",CONT_000000000500961,아트모텔,제주특별자치도 제주시 연동 275-5,제주특별자치도 제주시 신대로20길 48,"모텔,숙소,공항,주차장,온돌방,공공와이파이존,무장애관광",제주국제공항에서 10분거리. 신제주의 중심지에 위치한 모텔,33.4839279,126.4912677,,064-742-8840,
"휴양펜션,펜션,민박,숙소,식당,올레길,농어촌민박,공용주차장,현금결제,카드결제,화장실,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,어려움",CONT_000000000500779,가원비치펜션,제주특별자치도 서귀포시 표선면 표선백사로 127,제주특별자치도 서귀포시 표선면 표선백사로 127,"휴양펜션,펜션,민박,숙소,식당,올레길,농어촌민박",해비치 해변 바로 앞에 위치한 잔디 정원과 충분한 주차시설을 갖춘 펜션,33.32677,126.83669,,064-787-0063,
"호텔,숙소,관광호텔,공공와이파이존,엘리베이터,가족호텔,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,유도 및 안내시설,경보 및 피난시설,단차없음,장애인 화장실,장애인 전용 주차장,장애인 전용 객실,쉬움",CNTS_000000000018201,케이관광호텔제주,제주특별자치도 제주시 연동 251-79,제주특별자치도 제주시 연동3길 10,"호텔,숙소,관광호텔,공공와이파이존,엘리베이터,가족호텔,무장애관광",제주시내 상권에 위치하고 있는 모던한 이미지의 관광호텔,33.4890764,126.4879086,,064-743-2123,
"호텔,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설,단차없음,장애인 전용 주차장,어려움",CONT_000000000500868,메이저호텔,제주특별자치도 제주시 연동 278-8,제주특별자치도 제주시 사장3길 36,"호텔,숙소,관광호텔,주차장,공공와이파이존,조식 포함,무장애관광",제주시 연동에 위치한 객실수42개의 모던한 호텔,33.4830253,126.4911069,,064-745-5800~1,
"휴식,숙소,게스트하우스,자연경관,민박,고향민박,공용주차장,현금결제",CNTS_000000000021142,포비네오두막게스트하우스,제주특별자치도 제주시 구좌읍 행원리 1261-1,제주특별자치도 제주시 구좌읍 행원로4길 26,"휴식,숙소,게스트하우스,자연경관,민박,고향민박","아늑하고도 자유로운 곳, 포비네 오두막",33.5340986,126.7954364,63358,010-4141-8636,
"펜션,숙소,휴양펜션,공공와이파이존,조식 포함,가족,온돌방,단체여행객,풀빌라,일몰명소,독채,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CNTS_000000000019097,그린나래,제주도 서귀포시 성산읍 수산리 3251,제주도 서귀포시 성산읍 서성일로 615,"펜션,숙소,휴양펜션,공공와이파이존,조식 포함,가족,온돌방,단체여행객,풀빌라,일몰명소,독채",성산일출봉이 한눈에 보이는곳에 자리잡은 펜션,33.42784,126.8509,,064-782-7071,
"휴식,숙소,휴양펜션,펜션,주차장,해수욕장,자연경관,바비큐,해변,해안도로,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CNTS_000000000019276,비치펜션,제주특별자치도 제주시 애월읍 고내리 328-4,제주특별자치도 제주시 애월읍 애월해안로 384-12,"휴식,숙소,휴양펜션,펜션,주차장,해수욕장,자연경관,바비큐,해변,해안도로",전 객실이 제주의 바다와 노을을 한눈에 볼 수 있는 구조도 되어 있는 곳,33.471894,126.3495201,,064-799-9910,
"휴식,숙소,펜션,휴양펜션,일몰명소,해안도로,올레길,바비큐,가족,단체여행객,스파,수영장,공공와이파이존,해수욕장,수상레저,풀빌라,온돌방,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CNTS_000000000019577,잇츠힐,제주특별자치도 제주시 애월읍 구엄리 466-3,제주특별자치도 제주시 애월읍 애월해안로 788,"휴식,숙소,펜션,휴양펜션,일몰명소,해안도로,올레길,바비큐,가족,단체여행객,스파,수영장,공공와이파이존,해수욕장,수상레저,풀빌라,온돌방",해안도로 바로 앞에 위치한 잇츠빌 펜션은 앞으로는 바다전경이 뒤로는 한라산을 배경으로 사계절 다채로운 풍경이 있습니다.,33.48704,126.3840068,,064-712-6721,
"펜션,숙소,휴양펜션,해수욕장,온돌방,바비큐,해변,자연경관,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,유도 및 안내시설,경보 및 피난시설,아주 어려움",CNTS_000000000019025,플로라펜션,제주특별자치도 제주시 이호일동 640-4,제주특별자치도 제주시 도리로 78-2,"펜션,숙소,휴양펜션,해수욕장,온돌방,바비큐,해변,자연경관",제주공항에서 10분거리에 위치한 플로라펜션은 고급 건축물에만 사용하는 자재를 사용한 펜션입니다.,33.4994903,126.4602395,,064-712-7055,
"숙소,주차장,공공와이파이존,가족호텔,호텔,안전여행스탬프,2성급",CNTS_200000000013407,오션패밀리호텔,제주특별자치도 제주시 이호일동 1725,제주특별자치도 제주시 일주서로 7531,"숙소,주차장,공공와이파이존,가족호텔,호텔,안전여행스탬프",제주공항에 인접한 교통의 요충지에 있는 숙소,33.4952562,126.4510884,,064-712-3900,
"숙소,펜션,휴양펜션,자연경관,바비큐,공공와이파이존,해수욕장,해안도로,해변,가족,공용주차장,현금결제,카드결제,화장실,무료 WIFI,유도 및 안내시설,경보 및 피난시설,아주 어려움",CNTS_000000000019279,마니주팬션,제주특별자치도 제주시 도두일동 1688-9,제주특별자치도 제주시 서해안로 248,"숙소,펜션,휴양펜션,자연경관,바비큐,공공와이파이존,해수욕장,해안도로,해변,가족",관광지와 가까운 마니주펜션,33.5089545,126.4722988,,064-711-6141,
"캠핑장,야영장,숙소,캠핑,바비큐,공공와이파이존,매점,주차장,언택트,공용주차장,화장실,편의점,음료대",CNTS_000000000022075,자연인,제주특별자치도 제주시 아라일동 2082-1,제주특별자치도 제주시 아란서길 110,"캠핑장,야영장,숙소,캠핑,바비큐,공공와이파이존,매점,주차장,언택트",식사+글램핑+숙박+야외공연 까지 들을 수 있는 아름다운 공간,33.4683293,126.5385409,,064-723-7500,
"펜션,숙소,휴양펜션,주차장,공공와이파이존,해수욕장,자연경관",CNTS_000000000019278,리버풀펜션,제주특별자치도 제주시 도두봉6길 13,제주특별자치도 제주시 도두봉6길 13,"펜션,숙소,휴양펜션,주차장,공공와이파이존,해수욕장,자연경관",도두봉과 인접한 리버풀펜션,33.50805,126.47207,63112,064-711-0004,
"휴식 ,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CONT_000000000500769,마제스티 펜션,제주특별자치도 제주시 한림읍 협재리 1388,제주특별자치도 제주시 한림읍 옹포2길 12,"휴식,펜션,휴양펜션,민박,숙소,자연경관,온돌방,협재해수욕장",협재에 위치하여 비양도가 잘 보이는 펜션,33.39968,126.2498,,064-796-4900,
"휴식,숙소,게스트하우스,해수욕장,공공와이파이존,극장(영화관),자연경관,공용주차장,화장실,무료 WIFI,아주 어려움",CNTS_000000000021177,쉼게스트하우스,제주특별자치도 제주시 한림읍 협재리 1374,제주특별자치도 제주시 한림읍 옹포2길 30,"휴식,숙소,게스트하우스,해수욕장,공공와이파이존,극장(영화관),자연경관",쉬었다 갈 수 있는 곳,33.398495,126.24979,63011,010-9322-9537,
"휴식,숙소,민박,농어촌민박,고향민박,자연경관,정원,조식,독채,공용주차장,화장실,아주 어려움",CNTS_000000000021286,알로하민박,제주특별자치도 제주시 한림읍 협재리 1660-1,제주특별자치도 제주시 한림읍 협재1길 24,"휴식,숙소,민박,농어촌민박,고향민박,자연경관,정원,조식,독채",알로하(Aloha) 제주!,33.397243,126.24328,63011,010-5174-5564,
"숙소,펜션,휴양펜션,협재해수욕장,민박,음식,공용주차장,화장실,무료 WIFI",CNTS_000000000021313,소낭재,제주특별자치도 제주시 한림읍 협재리 1022,제주특별자치도 제주시 한림읍 협재로 181-57,"숙소,펜션,휴양펜션,협재해수욕장,민박,음식","숲 속 펜션, 소낭재",33.38341,126.25289,63015,064-796-8105,
"호텔,숙소,게스트하우스,가족호텔,관광호텔,주차장,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CNTS_000000000018114,랑주호텔,제주특별자치도 서귀포시 강정동 160-2,제주특별자치도 서귀포시 김정문화로27번길 23-3,"호텔,숙소,게스트하우스,가족호텔,관광호텔,주차장",서귀포에 위치하고 범섬이 한 눈에 볼 수 있는 호텔,33.2539345,126.5080217,,064-739-0012,
"숙소,펜션,휴양펜션,독채,힐링,마을관광,힐링쉼터,바비큐,가족",CNTS_000000000021863,메종드판포,제주특별자치도 제주시 한경면 판포리 2606-1,제주특별자치도 제주시 한경면 판포중2길 15,"숙소,펜션,휴양펜션,독채,힐링,마을관광,힐링쉼터,바비큐,가족",제주 서쪽의 고즈넉한 조용한 판포리 마을의 프라이빗 독채펜션,33.357914,126.20177,63003,010-6272-5030,
"숙소,휴양펜션,펜션,해수욕장,자연학습장,공공와이파이존,바비큐,단체여행객,독채,화장실,무료 WIFI",CNTS_000000000022106,플라마 펜션,제주특별자치도 제주시 한림읍 한림리 261,제주특별자치도 제주시 한림읍 장원길 34-29,"숙소,휴양펜션,펜션,해수욕장,자연학습장,공공와이파이존,바비큐,단체여행객,독채",한림항과 협재해수욕장 근처에 위치 한 펜션,33.41297,126.279,63027,064-796-0780,
"휴식,숙소,게스트하우스,주차장,수영장,바비큐,공공와이파이존,해수욕장,공용주차장,화장실,무료 WIFI,아주 어려움",CNTS_000000000021168,오누게스트하우스,제주특별자치도 제주시 애월읍 애월리 2147-6,제주특별자치도 제주시 애월읍 애월로2길 7,"휴식,숙소,게스트하우스,주차장,수영장,바비큐,공공와이파이존,해수욕장",소등이 없는 게스트하우스,33.46286,126.31414,63043,010-5234-3614,
"휴식 ,공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,유도 및 안내시설,경보 및 피난시설,아주 어려움",CNTS_000000000019671,초록하우스,제주특별자치도 제주시 한림읍 협재리 1303-1,제주특별자치도 제주시 한림읍 명재로 17,"휴식,숙소,휴양펜션,펜션,협재해수욕장,독채,바비큐,조식 포함,해수욕장",협재해수욕장에 위치한 게스트하우스 & 펜션,33.3807357,126.2482491,,064-796-2227,
"표선, 게스트하우스,공용주차장,화장실,무료 WIFI",CNTS_000000000022279,엘마르게스트하우스,제주특별자치도 서귀포시 표선면 표선리 44-6,제주특별자치도 서귀포시 표선면 표선당포로 17,"표선,게스트하우스,숙소,농어촌민박,올레,자연경관,바비큐,카페,조식",표선해수욕장과 도보로 1분거리에 위치한 게스트하우스,33.32603,126.84436,63629,010-2911-6256,
"휴식,숙소,펜션,휴양펜션,일반숙박,민박,교통,해수욕장,바비큐,돌담길,정원,공용주차장,현금결제,카드결제,화장실,무료 WIFI,유도 및 안내시설,경보 및 피난시설,아주 어려움",CONT_000000000500794,그린사이드펜션,제주특별자치도 서귀포시 색달동 2538,제주특별자치도 서귀포시 천제연로 51,"휴식,숙소,펜션,휴양펜션,일반숙박,민박,교통,해수욕장,바비큐,돌담길,정원",중문관광단지 입구에 위치한 정원이 아름다운 펜션,33.2568179,126.4115206,,064-738-0074,
"민박,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설,단차없음,장애인 전용 주차장,어려움",CONT_000000000500860,루하우스,제주특별자치도 서귀포시 표선면 표선리 2390-5,제주특별자치도 서귀포시 표선면 민속해안로119번길 8,"민박,숙소,펜션,휴양펜션,주차장,공공와이파이존,어린이놀이방,무장애관광",올레길 4코스에 위치한 독채 돌집,33.307262,126.81284,63629,010-6609-8906,
