관련 태그 전체,콘텐츠 ID,콘텐츠명,주소,도로명주소,태그,간단소개,위도,경도,우편번호,전화번호
"카페,빙수,얼음빙수,현금결제,카드결제,화장실",CNTS_000000000022213,빠빠라기,제주특별자치도 제주시 연동 272-19,제주특별자치도 제주시 신광로 45,"카페,빙수,얼음빙수,음식,팥빙수,딸기아이스크림빙수,망고빙수,눈꽃빙수,눈꽃우유빙수,요거트빙수,과일빙수,아이스크림,녹차팥빙수",제주의 오래된 빠빠라기 푸짐하면서 시원한 빙수,33.4879855,126.4903506,,064-753-2888
"보리밥,강된장,청국장,뽀글이정식,한식,공용주차장,현금결제,카드결제,화장실,음료대,착한가격 업소",CONT_000000000501289,순희뽀글이,제주특별자치도 제주시 공설로 27-1 (오라일동),제주특별자치도 제주시 공설로 27-1 (오라일동),"보리밥,강된장,청국장,뽀글이정식,한식,음식,정식,순두부찌개,비빔밥,콩나물해장국,라면",보리밥 뽀글이 정식을 저렴한 가격에 제공하는 착한가격업소,33.497456,126.51725,,064-755-7441
"삼계탕,양념수육백반,한식,음식,소머리국밥,수육,공용주차장,현금결제,카드결제,화장실,흡연구역,음료대,유도 및 안내시설,아주 어려움,착한가격 업소",CONT_000000000501190,내가 찾은 맛고을,제주특별자치도 제주시 진남로8길 39,제주특별자치도 제주시 진남로8길 39,"삼계탕,양념수육백반,한식,음식,소머리국밥,수육",제주시 화북일동에 있는 삼계탕 전문 착한가격업소,33.522457,126.56764,,064-702-0216
"멸치국수,냉면,한식,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움,착한가격 업소",CONT_000000000501171,국수와냉면,제주특별자치도 제주시 삼도이동 1192-12,제주특별자치도 제주시 탑동로 31-1,"멸치국수,냉면,한식,음식,향토음식,고기국수","멸치국수, 고기국수, 냉면 등 맛있기로 소문난 착한가격업소",33.5174322,126.5215039,,064-757-1325
"카페,커피,디저트,현금결제,카드결제,무료 WIFI,카드결제,현금결제,어린이 출입불가",CNTS_200000000007519,바닐라파레트,제주특별자치도 제주시 노형동 763-8,제주특별자치도 제주시 진군길 56-2,"카페,커피,디저트,음식,아메리카노,카페라떼,녹차라떼,돌체라떼,딸기라떼,딸기스무디,빵,에그타르트,크림라떼,에이드,라떼,차,밀크티,홍차,얼그레이,플랫화이트,카푸치노,콜드브루,콜드브루라떼,바닐라라떼,치즈케이크",노형동에 위치한 감성 카페,33.4771133,126.4806609,,010-9074-7846
"커피,디저트,아몬드케이크,애플망고,무료 WIFI,공용주차장",CNTS_200000000007872,구면카페,제주특별자치도 서귀포시 표선면 가시리 2317-2,제주특별자치도 서귀포시 표선면 중산간동로5220번길 47,"커피,디저트,아몬드케이크,애플망고,음식,아이스티,아메리카노,핸드드립커피,빵,케이크,라떼,차,허브티,에이드,스무디,요거트",따라비오름 인근 카페,33.3988071,126.7063341,,070-8800-9009
"카페,차,음료,공용주차장,화장실,무료 WIFI",CNTS_000000000022230,달리다방,제주특별자치도 제주시 구좌읍 종달리 572-10,제주특별자치도 제주시 구좌읍 해맞이해안로 2326,"카페,차,음료,음식,아메리카노,카페라떼,카푸치노,카페모카",달맞이해안도로에 위치한 디저트카페,33.493397,126.90898,63364,--
"분식,모닥치기,제주해물라면,음식,떡볶이,김밥,해물라면,돈까스,라면,식당",CNTS_000000000022026,제주분식,제주시 연동 311-2,제주특별자치도 제주시 귀아랑길 23,"분식,모닥치기,제주해물라면,음식,떡볶이,김밥,해물라면,돈까스,라면,식당,칼국수,만두칼국수,해물칼국수,돔베고기,비빔면,밀면,돈가스",공항에서 5분거리 로컬푸드 분식카페,33.491447,126.49762,,064-726-2120
"카페,음료,커피,수박주스,현금결제,카드결제,화장실,무료 WIFI",CNTS_000000000022382,커피파인더,제주특별자치도 제주시 이도이동 1766-7,제주특별자치도 제주시 서광로32길 20,"카페,음료,커피,수박주스,음식,아메리카노,카페라떼,카페모카,쿠키,디저트,에이드,과일주스,주스,핸드드립커피,카푸치노,라떼,에스프레소,바닐라빈라떼,키위주스,차,자몽차,레몬차,스무디,초코스무디,녹차스무디,핫초코,로얄밀크티,딸기라떼,케이크,레몬에이드,자몽에이드,에그타르트","커피파인더는 제주시청 근처 골목길 안쪽에 숨어 있습니다.  
한 잔의 음료 너머의 것들을 찾아 헤매고 있습니다. 
그 여정에서 무엇을 찾고, 나누고, 발전하고, 행복해하는지 지켜봐주세요.",33.4985811,126.5287567,,064-726-2689
"분식,현미김밥,매운멸치김밥,떡볶이,음식,돈까스,콩국수,김밥,식당,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CONT_000000000501385,친구네 분식,제주특별자치도 서귀포시 대정읍 신영로 124-1,제주특별자치도 서귀포시 대정읍 신영로 124-1,"분식,현미김밥,매운멸치김밥,떡볶이,음식,돈까스,콩국수,김밥,식당","현미김밥과 모닥치기, 왕소프트 아이스크림이 유명한 분식집",33.499622,126.53119,,064-792-0794
"와인,맥주,수제티라미수,공용주차장,현금결제,카드결제,화장실,무료 WIFI",CNTS_000000000022202,너는파라다이스길리,제주특별자치도 제주시 구좌읍 월정리 407,제주특별자치도 제주시 구좌읍 월정1길 65,"와인,맥주,수제티라미수,음식,티라미수,디저트,커피,아메리카노,카페라떼,카페모카,바닐라라떼,스무디,에이드,주스,차,패션후르츠에이드,자몽에이드,얼그레이,얼그레이밀크티,다즐링,잉글리쉬브렉퍼스트,홍차,초코라떼,쉐이크,에스프레소,카푸치노,카라멜마끼아또,크림라떼,케이크,치즈케이크,팥붕어빵",월정리 해변 분위기 깡페 '너는 파라다이스 길리' 카페,33.5468086,126.7838117,63358,064-782-2208
"소고기샤브샤브,돼지고기 샤브샤브,오리고기샤브샤브,말고기샤브샤브,샤브샤브,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설,단차없음,어려움,착한가격 업소",CONT_000000000501438,후년하우스,제주특별자치도 제주시 삼양이동 2181-19,제주특별자치도 제주시 삼봉로 12,"소고기샤브샤브,돼지고기 샤브샤브,오리고기샤브샤브,말고기샤브샤브,샤브샤브,음식,말고기,무장애관광",직접 기른 채소가 무한리필되는 착한가격업소인 샤브샤브 집,33.5203612,126.5876201,,064-759-9292
"치킨,통닭",CNTS_200000000007138,코끼리통닭,제주특별자치도 제주시 일도1동 1479-1,제주특별자치도 제주시 동문로 4,"치킨,통닭,음식,후라이드치킨",동문시장에 위치한 시장통닭,33.5128008,126.5269479,,064-752-9026
"반려동물,반려동물동반,반려동물전용,예스펫존,반려동물동반입장,혼저옵서개,강아지,반려동물여행,아메리카노,카페모카,카페라떼,바닐라라떼,말차라떼,딸기우유,얼그레이밀크티,자몽차,고구마라떼,자몽에이드,블루베리레몬에이드,반려동물동반식당카페,공용주차장,화장실,무료 WIFI,어린이 출입불가,불가능",CNTS_200000000014199,블리스풀,제주특별자치도 제주시 애월읍 유수암리 1176,제주특별자치도 제주시 애월읍 산록서로 383,"반려동물,반려동물동반입장,아메리카노,카페모카,카페라떼,바닐라라떼,말차라떼,딸기우유,얼그레이밀크티,자몽차,고구마라떼,자몽에이드,블루베리레몬에이드,반려동물동반_식당카페,음식,카페",블리스풀은 잔디밭으로 된 운동장이 있어서 강아지들이 실컷 뛰어놀 수 있는 애견 카페다. ,33.4050742,126.4073278,,064-799-8596
"일식,돈까스,우동,나베,음식,어묵나베,김치나베정식,치즈돈까스,김치우동,치킨까스",CNTS_000000000021192,촵촵,제주특별자치도 제주시 이도2동 1962-8,제주특별자치도 제주시 신설로9길 8-1,"일식,돈까스,우동,나베,음식,어묵나베,김치나베정식,치즈돈까스,김치우동,치킨까스,돈가스,돈까스나베,새우튀김우동,어묵우동,소바,카레우동,로스등심가스,히레카츠,생선까스,흑돼지치즈롤돈가스,카레돈까스,매운카레돈까스,왕새우튀김,고로케,굴튀김",이름만큼 중독성 있는 수제돈가스 집,33.496986,126.53534,63229,--
반려견,CNTS_200000000009873,카페3535.1,제주특별자치도 제주시 조천읍 함덕리 3535-1,제주특별자치도 제주시 조천읍 함덕2길 82,"카페,음식,아메리카노,레몬에이드,바닐라라떼,카페라떼,녹차라떼,에스프레소,식당,카푸치노,카페모카,카라멜마끼아또,라떼,초코라떼,그린티라떼,차,레몬차,자몽차,모과차,유자차,에이드,유자에이드,자몽에이드",함덕서우봉해수욕장에서 멀지 않은 카페 3535.1은 정원이 잘 가꿔진 예쁜 공간이다. 원래 일반 손님 위주로 운영되는 카페이지만 반려견 출입도 가능하다. 아담한 정원에서 반려견과 산책하거나 가벼운 공놀이를 할 수 있어 애견인 사이에 입소문이 나 있다. 일반 카페이기 때문에 강아지 입장료가 따로 있지는 않다.,33.539068,126.6554952,,010-8263-4860
"반려동물,반려동물동반,반려동물전용,예스펫존,반려동물동반입장,혼저옵서개,강아지,반려동물여행,오미자에이드,코코넛라떼,아포가토,카페라떼,바닐라라떼,초코라떼,딸기라떼,오미자차,반려동물동반식당카페,공용주차장,화장실,무료 WIFI,어린이 출입가능,불가능",CNTS_200000000014205,엘파소,제주특별자치도 서귀포시 안덕면 화순리 2015-1,제주특별자치도 서귀포시 안덕면 화순로 191-43,"반려동물,반려동물동반입장,오미자에이드,코코넛라떼,아포가토,카페라떼,바닐라라떼,초코라떼,딸기라떼,오미자차,반려동물동반_식당카페,음식,카페",엘파소는 텍사스의 엘파소 지역을 모티드로 만든 감성카페이다. 카페 건물이 대부분 노란색으로 되어 있어 이국적인 분위기를 풍긴다. ,33.2459838,126.3260534,,
"빵집,베이커리,제과,제빵",CNTS_000000000022238,파리바게트 제스코본점,제주특별자치도 제주시 도남동 277,제주특별자치도 제주시 연북로 444,"빵집,베이커리,제과,제빵,음식,빵,아메리카노,과일주스,카푸치노,카페모카,카페라떼,카라멜마끼아또,라떼,아이스티,청귤차,차,허브티,녹차,얼그레이,잉글리쉬브렉퍼스트,루이보스,레몬에이드,그린티라떼,팥빙수,케이크,베이글,샌드위치,치즈케이크",제스코마트 별관에 위치하며 넓은 주차장이 있어 편리한 이동이 가능한 파리바게트 가맹점,33.48046,126.52924,63235,--
"카페,보말칼국수,한라봉 생면,청귤 아이스,토네이도,음식,수제비,순두부찌개,칼국수,공용주차장,현금결제,카드결제,화장실,아주 어려움",CNTS_000000000021095,홍요깃거리,제주특별자치도 제주시 연동 323-2,제주특별자치도 제주시 신대로13길 36-1,"카페,보말칼국수,한라봉 생면,청귤 아이스,토네이도,음식,수제비,순두부찌개,칼국수,비빔밥,도시락,추억의도시락,옹심이,미역국,한우미역국,한우무국,콩나물해장국,한우된장찌개,황태해장국,콩나물국,소불고기,들깨미역국,황태미역국,우삼겹된장찌개,청국장,김치찌개,참치찌개,김치청국장찌개",카페에서 맛보는 고소한 보말칼국수,33.4873244,126.5002749,63046,010-8614-0607
"말고기,샤브샤브,말고기구이,음식,소머리국밥,김치찌개,수육,공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,아주 어려움",CONT_000000000501241,몽생이,제주특별자치도 제주시 한경면 저지리 2841-2,제주특별자치도 제주시 한경면 녹차분재로 628,"말고기,샤브샤브,말고기구이,음식,소머리국밥,김치찌개,수육",말고기가 맛있다고 소문이 자자한 곳,33.3246425,126.2605156,,064-772-3886
"흑돼지,목살,오겹살,소라구이,현금결제,카드결제,화장실,아주 어려움",CNTS_000000000021420,대향연탄구이,제주특별자치도 서귀포시 서귀동 476-4,제주특별자치도 서귀포시 태평로 407,"흑돼지,목살,오겹살,소라구이,음식,돼지구이,삼겹살,된장찌개,흑돼지구이,흑돼지오겹살,추억의도시락,김치찌개,소면",주먹밥이 함께 나오는 국수전문점,33.244823,126.563866,63595,064-762-0889
"세화해수욕장,구좌,평대리,고등어회,음식,식당,화장실,무료 WIFI,고등어회, 전복구이, 우럭매운탕,어린이 출입가능,불가능",CNTS_200000000012682,청파식당횟집,제주특별자치도 제주시 구좌읍 세화리 3648-5,제주특별자치도 제주시 구좌읍 세평항로 12,"세화해수욕장,구좌,평대리,고등어회,음식,식당,활어회,회덮밥,전복뚝배기,간장게장,고등어구이,전복구이,회,매운탕,우럭조림,고등어조림","세화해수욕장 인근의 활고등어회 및 활어회 전문점. 싱싱한 회와 함께 한상 가득 푸짐한 조림, 매운탕 등을 즐길 수 있는 곳이다.",33.5244994,126.8536448,,064-784-7775
"망고음료,생망고와플,코코넛빙수,망고홀릭디저트,공용주차장",CNTS_000000000022663,망고홀릭 법환점,제주특별자치도 서귀포시 법환동 172-2,제주특별자치도 서귀포시 막숙포로 83,"망고음료,생망고와플,코코넛빙수,망고홀릭디저트,음식,망고,망고빙수,망고스무디,망고에이드,망고주스,망고요거트,팥빙수,눈꽃빙수,쉐이크,아메리카노,카페라떼,카푸치노,카페모카,카라멜라떼,요거트스무디,딸기요거트스무디,망고요거트스무디,에이드,자몽에이드,레몬에이드,차,자몽차,레몬차,유자차,모과차,와플,허니브레드",올레7코스 중간에 위치한 보라카이 망고카페,33.2343512,126.5134198,,064-739-3339
"누룽지탕,치즈불닭,불닭,무뼈닭발,오돌뼈,김주먹밥,떡볶이,현금결제,카드결제,화장실,카드결제,현금결제,빨간 불닭, 빨간 치즈 불닭, 빨간 무뼈 닭발",CNTS_200000000007528,빨간집,제주특별자치도 제주시 이도2동 1179-9,제주특별자치도 제주시 광양13길 7,"누룽지탕,치즈불닭,불닭,무뼈닭발,오돌뼈,김주먹밥,떡볶이,음식,매콤오돌뼈볶음,등갈비,등갈비구이,국물닭발,닭날개구이,닭발,즉석떡볶이,계란찜,만두,얼큰라면","빨간 불닭, 치즈 불닭 등 매운 메뉴들만 판매하는 제주 음식점",33.4987626,126.5309037,,064-723-1173
