,ID,WRITER,CONTENT,TYPE,SCORE,CREATED_AT
11,CNTS_000000000019664,황해병3121,마음씨 좋은 사장님과 예술가 끼가 넘치는 사모님과 함께 만드는 에바라이더하우스사장님의 라이더 사랑은 태산과 비교해도 모자람이 없으며 라이딩 회원들에게는 더없이 좋은 에바다라이더하우스라고 생각합니다자전거 점검은 물론 사장님의 라이딩 가이드도 일품입니다정말 좋은 곳을 안내해 주셔 깊은 감명을 받고 덕분에 제주도 환상 라이딩이 되었습니다숙소도 내 집처럼 편안하게 해줘 참말로 하룻밤 지내는데 너무 좋았습니다감사한 말씀드립니다늘 행복하시고 건강하세요,kakao,5,21.10.09.
12,CNTS_200000000008951,ㄱ                  즈,여기 절대 가지마세요시설 완전 안좋고 청소도 안되있고 무엇보다 사장님이 진짜 너무 불친절함폰으로 청소 안되어 있다니까 맘에 안들면 나가라고 끊어버림화장실 변기도 뭐 묻어잇고 냉장고안에 청소 하나도 안되서 드럽고,kakao,1,22.04.28.
13,CNTS_200000000008951,고종언,제주공항근처 신제주에 있으며 교통이 편리하고 렌트카업체들이 있어 편안한 여행할수 있음,kakao,5,19.12.31.
14,CNTS_000000000021932,보리,차량 개인 주차공간부터 뒤로 이어진 계단으로 독립적인 방 입구 무인텔은 처음 가봤지만 이런곳인줄 몰랐고 엄청 깨끗하고 위생용품 구성도 아주 좋았습니다 근처 호텔모텔 비싸게 이용하지말고 더 편하고 깨끗하고 저렴한 곳에서 이용해보세요 여자친구도 완전 만족하면서 이용했습니다 감사합니다,kakao,5,23.01.15.
15,CNTS_000000000021932,그렇군요,가성비갑 와인무료 아메리카노 무료 안마의자 넷플릭스 스파욕조 만 천원 정도에 이 정도면 최고다,kakao,5,22.02.10.
16,CNTS_000000000021932,잘생 GIM,제주도 방문하면서 박 숙소중 최고입니다깨끗하고 안마의자에 안마침대 한라산등반하고 힘들었는데 완전 좋아요,kakao,5,21.03.22.
17,CNTS_000000000021932,k,깨끗하고 조용하고 편안하게 쉴 수 있어요휴식도 하고 러브도 하고 여기 진짜 짱인듯,kakao,5,21.01.26.
18,CNTS_200000000009077,존하루,사모님 음식 솜씨가 대단하심 전라도 음식의 진수 아마도 추자도 제일 맛집이 아닐까 싶음,kakao,5,20.01.10.
19,CNTS_000000000021005,010.9459.2418,나혼자 여행 첫 숙소였습니다 방송과 소문으로 듣고 찾아간 그곳은 기대보다도 더 감흥이 있었어요 편안하면서도 자유롭고 너른 마당과 멋찐 주인장에 디테일이 살아있는 소품과 인테리어주변 산책길  여자분 혼자도 여러명도 아주 안전하게 묵을 수 있는 숙소로 추전드립니다 월에 새단장으로 첫 손님을 맞이 하셨다는 주인분들은 너무 친절하고 다정하신 분들이어서다른방 묵은 손님들과 다 함께 불멍하고 음식도 나누먹고 여행이야기로 서로 정보도 주시고따뜻한 밤이었습니다 저는 몰라서 음식을 준비 못했는데 따로 불멍때 나눌 음식이나 술을 조금 가져와 함께하는 좋은 문화가 있었네요 같은날  묵은 손님들께도 감사드려요담엔 많이 준비해서 또 놀러가겠습니다,kakao,5,22.06.09.
20,CNTS_000000000021005,맛도리,하룻밤만 묵기에는 너무 아쉬웠던 곳예쁘고 예쁘고 예쁘다아침 점심 저녁 다른 감성으로 예쁘다친절하신 사장님 덕에 불멍 조식 포토존 다 재밌게 경험하고 오고 무조건 또 오고싶은 곳 침대 진짜 편해요 시설도 깨끗하고 역대급 꿀잠 꿀휴식,kakao,5,22.05.25.
21,CNTS_000000000021005,홍홍홍,재방문했습니다 아낌없이 주시는 친절한 사장님 덕분에 아름다운 곳에서 행복하고 즐거운 추억 만들었습니다 환상적인 불멍과 달콤한 마시멜로우 옥상위에서 봤던 쏟아지는 별들은 평생 못잊을겁니다 감사해요 사장님,kakao,5,20.05.24.
22,CNTS_000000000022922,이히리,장점 방이 깔끔하고 따뜻했고 수압이 좋았던점단점 방음이 도 안됌 주차할곳이 별로없음장점도 있었지만 단점의 불편한점이 너무 강해서 별개 뺐습니다다음에 또 이용하고 싶진 않아요ㅎㅎ,kakao,3,21.11.21.
23,CNTS_000000000022922,홍정희 洪姃希, ,kakao,4,21.05.14.
24,CNTS_000000000022922,김명준, ,kakao,5,21.01.16.
25,CNTS_000000000022922,쿄쿄,주차힘들고 방음안돼요말소리 문닫히는소리 의자끄는소리 핸드폰 진동소리 다 들려요 그리고 청소 더 신경써야할듯요 저렴하니까 참고 잡니다,kakao,1,20.11.28.
26,CNTS_000000000022922,윤짱,가격에 비해서는 전체적으로 좋은편재방문의사까지는없네요제주 비즈니스호텔들이 워낙 좋은곳이많아서특별하진않습니다 방음은 잘 안됩니다 엘리베이터 안내 음성까지도들려요,kakao,3,20.09.02.
27,CNTS_000000000022922,오용기,올레시장이 바로옆인데 밤에는 조용하고주변에 편의점및 가게가있어서 편리해요새로 지은지 얼마안되는데 청결 상태가 넘좋아요렌트카 대신 버스로 주변 관광하기도 매우 편리합니다주인의 친절함은 전혀 고객에게 부담없이 대하여 매우편했고요주변에 제주 토박이 분들의 작은 식당도 이용 가능합니다맛있어요강추입니다,kakao,5,19.09.28.
28,CNTS_000000000022922,리차이,깨끗하고 너무 친절하시고 강추요,kakao,5,18.10.04.
29,CNTS_000000000022922,알렉스13,너무 깨끗하고 좋네요 ,kakao,5,18.07.29.
30,CNTS_000000000018237,라라해피경민,정말 솔직한평바깥뷰는  괜찮아요실내는 티비하나 아주작은 냉장고 하나화장대  끝이에요커피한잔 끓일 취사도구없고   펜션이라기보다는 오래된 동네 여관 느낌  평이라하는데  작은방  하나가 끝싼금액도 아닌데   너무 심한거 같아요웬만해선 나쁜평 안쓰는데 정말별로,kakao,2,21.03.24.
31,CNTS_000000000021081,푸하하, ,kakao,5,19.06.04.
32,CNTS_000000000018227,ㅃㅅ ㄲ,시설이  좋고사장님 친절하시고바다가 가까워서 산책하기 좋음,kakao,5,22.08.25.
33,CNTS_000000000018227,hnj,친절하게 대해주셔서 감사했습니다 ,kakao,5,22.07.12.
34,CNTS_000000000018227,한규헌,편하게  쉴수 있어서 좋았어요쥔장님이  청소에 대해 노력한 흔적이 보여요수건 부족하다 하면 두말 없이 주고하는것이너무좋았어요,kakao,4,22.04.15.
35,CNTS_000000000018227,노기호, ,kakao,5,21.10.24.
36,CONT_000000000500985,솔직,너무 깔끔합니다 특히 사장님 너무 친절하십니다 진짜 동네 이웃처럼 가족같이 생활하고 갑니다 다음에 또 올게요 가격도 너무 저렴해요,kakao,5,21.07.29.
37,CNTS_000000000018204,lemon,청소하는 아줌마때문에 별점을 높게 줄수가 없음변기에 똥물튀어있었고늦게 입실하여 잠을 늦게잦는데 아침부터 사람이 잠깰정도로 청소하는티 팍팍내면서 시끄럽게하면서 사람이 빨리 퇴실하게끔 유도함 시퇴실인데 시 넘어가면 청소카트나 청소도구같은걸로 고의적으로 지나가면서 문에 부딪치면서 나오게끔 유도함 이번만 겪은게아니고 저번에도 그럼 정말 기분 더럽고 개념없다고 느낌,kakao,1,22.04.19.
38,CNTS_000000000018204,황경부,가격대비 저렴하며 가성비 좋았다고 생각합니다,kakao,4,22.04.15.
39,CNTS_000000000018204,맛집탐방,환영 선물로 주신 귤 잘 먹었습니다제주시외버스터미널 근처 가성비 넘치는 숙소 추천합니다,kakao,5,21.11.16.
40,CNTS_000000000018204,도팍,가격대비저렴하며하루밤 쇨만합니다조식도 좋구요,kakao,4,19.12.29.
41,CNTS_000000000018204,굿뜨,전 생각보다 만족합니다 객실 및 화장실 상태 괜찮았고 가성비 좋았다고 생각합니다 잘 묵고 갑니다,kakao,4,19.12.22.
42,CNTS_000000000018204,김태훈,방 더러움근데 여기남주인 ㄱ ㅐㅐㅐㅐㅐㅐ 사가지없음 제발 한번이라도 가서 경험해주세요 부탁 맞짱안뜨면 다행,kakao,1,19.07.31.
43,CNTS_000000000018204,박주성,청결도가다소아쉽네요그외공항인근에조식은괜찮았습니다직원분들친절또한맘에들었습니다,kakao,2,19.05.27.
44,CNTS_000000000021482,박영우,사장님 친철하시고 청결은 기본조식 서비스는 사장님이 직접 해 주시는데 정성이 가득 게다가 너무도 착한 가격 원여러모로 대만족 재방문 의사 있음,kakao,5,22.10.11.
45,CNTS_000000000021482,&gt;_&lt;,진짜 여기 최악임점도 아까움차라리 바로 근처 호텔로 가세요년대 호텔이 그대로 지금까지 보존된 박물관급 호텔임층간소음 어마어마함욕실 실내화도 년 되어보이고 스파는 사진은 인용으로 보이는데 인용이고달려있는 샤워기는 되지도 않고침대는 온몸에 스프링이 느껴짐그냥 모텔임절대 재방문 안함,kakao,1,22.06.23.
46,CNTS_000000000021482,하훈,가격대비 깔끔,kakao,4,22.05.29.
47,CNTS_000000000021482,귓방맹이,오션뷰 최고시설도 깔끔하고 좋네요,kakao,5,22.01.04.
48,CNTS_000000000021482,제이콥,가성비최고 오션뷰 호텔깔끔하고 사장님 너무 친절하시네요한적하고 조용해서 더좋네요,kakao,5,21.06.21.
49,CNTS_000000000021482,Y,노부부가 운영하시는 아담하고 조용한 호텔호텔이라기보다는 풀옵션 원룸같은 구조여사장님 진짜 부지런하시고 깔끔하심,kakao,4,21.06.03.
50,CNTS_000000000021482,ㅡ,프론트 여사장님 너무 친절하심객실내 주방시설이랑 부수적으로 다좋은데벽이얇아서 방음이 아쉬움시끄러워 이것들아 새벽까지 노래부르냐,kakao,3,21.03.01.
51,CNTS_000000000021482,moon,월 중순에 예약할때 분명히 조식포함이었는데 절대 아니라고 부정하시는 프론트의 아주머니 대응에 기분이 상했지만 객실내 간단한 주방기구가 구비되어 있어 라면을 끓여 먹을수 있어 좋았어요 발코니에 있는 테이블에서 아침에 라면과 믹스커피 먹을 수 있어 좋았고 바닥에 난방이 되고 장판이라 좋았어요 청결이나 서비스는 큰기대 안하고 딱 성급 호텔 정도라 생각하면무난할거 같아요,kakao,4,20.09.07.
52,CNTS_000000000021482,반성남,오션뷰가 끝내주고 정말 깨끗하고 좋아요 회사 게시판에 직원이 추천해서 왔는데 정말 만족합니다,kakao,5,20.08.11.
53,CNTS_000000000021482,허리허리,가성비 좋아요풍경도 좋고주인분이 관리 잘 한 티가 나요점,kakao,4,20.06.16.
54,CNTS_000000000021482,김제왕,중문에서 가깝고 가격대비 최고의 호텔 저녁 시만 넘어도 정말한적한 전원생활을 경험할수 있는 조용함이 좋다,kakao,5,17.09.30.
55,CNTS_000000000018691,하,회를 안좋아해서 그닥이에요 가격 대비 딱히,kakao,1,22.09.02.
56,CNTS_000000000018691,ㄱ who am I, ,kakao,5,21.07.19.
57,CNTS_000000000018691,박영민,물회가 조금 비렸고 전체적으로 맛있네요,kakao,5,20.08.11.
58,CNTS_000000000021136,waxing_cresent,조식 이틀치를 몰아서 준다고 할 때부터 석연치 않았는데 세상에 이 사단이 나더군요 그래도 샌드위치인 줄 알았는데 대충 사온 빵 손님을 완전히 무시하는 처사입니다 다른 리뷰 사진과 너무 다르다고 항의했더니 바로 다시 만들어 주시긴 했습니다만 그럼 처음부터 그렇게 하실 수 있었는데 제가 항의 안했으면 그대로 넘어가실 생각이었겠죠주변에 세화 다른 게스트하우스 묵었던 사람들과 사진 주고받으며 얘기해보고 예전 리뷰 사진 다시 보니 이건 확실히 너무한 푸대접이더군요 다른데는 아침에 직접 끓인 전복죽을 주신다던데전반적으로 커뮤니케이션이 자기 편의 위주십니다 조식도 시라 해서 시 분쯤 바깥문을 열어놨었는데 문이 잠겨 있다고 카페테리아에 가서 가져가라고 하시는 등 불편해서 빨리 나와버렸어요 게스트하우스는 주인과의 교감도 매우 중요한데 여기 때문에 세화에 대한 이미지가 안 좋아졌어요 다시 동쪽에 가더라도 세화에는 묵고 싶지 않습니다 아마 아주 오랫동안,kakao,1,20.12.30.
59,CNTS_000000000021136,rim,세화룸에 박 묵었습니다 침대가 너무 편안해서 하루에 시간씩 잤어요 ㅋㅋㅋ 조식 간단하게 활력돋기 딱 이예용 수압 쎄고 잘 나와요 수건도 넉넉하게 주시구요 다만 방음이 조금 취약하니 유의하세용,kakao,5,19.08.30.
61,CNTS_000000000018198,Puhaha,제가만났던 캐디누나 정말친절하시고 잘봐주셨어요,kakao,4,20.12.25.
62,CNTS_000000000018198,김효성,나름 골프텔 이라면서  내일 부영골프장에서 골프쳐야할 손님 골프채 가방 프론트에 맡기려하는데 혼자해야하니 도와줄직원 없냐고 하니 혼자 직접해야한다고 하는 미친 서비스 정신 실컷 혼자 나르다 보니 프론트 옆에 카트 구비되어 있었으나 전혀 얘기해주지 않음,kakao,1,20.10.16.
63,CNTS_000000000018198,나, ,kakao,1,19.03.22.
64,CNTS_000000000018198,Dutchfan,사랑코스 해저드 캔터키블루 페어웨이원앙코스 사랑코스보다 쉬운코스,kakao,2,18.06.25.
65,CONT_000000000500961,ㅇㅇㅅ, ,kakao,1,22.04.02.
66,CONT_000000000500961,가람, ,kakao,5,21.03.21.
67,CONT_000000000500868,이리뷰를믿어제발,최악의 제주 시내 호텔주차장도 협소하고전객실 금연객실이라고 쓰여있지만방안엔 담배 쩐내가 매캐하게 가득함객실 바닥에 머리카락과접혀진 새 수건에도 머리카락 등장할많하않,kakao,1,22.11.18.
68,CONT_000000000500868,고마워,제주도 올때마다 꼭 박은 여기서해요사장님도 정말 친절하시고 제주공항근처라서 이동도 편리해요 잘 쉬다갑니다,kakao,5,20.01.28.
69,CONT_000000000500868,dlftkddmfhdmlcheo,급으로 제주 여행 가면서 묵게된 곳인데 시설이 엄청 막 좋은건 아니어도 하루 이틀 머물다 가기에는 괜찮은 곳입니다  원래 하루 자고 숙소 옮길 생각이었는데 그냥 여기로 하루 더 있었네요ㅎ 가격대비 괜찮아요,kakao,5,19.03.13.
70,CONT_000000000500868,김지형,가격 저렴하고 좋은 호텔이라해서 왔더니그냥 모텔이예요 ㅠ ㅠ 그리고 부킹닷컴에서 만원이었는데 그냥 예약없이와도 만원 똑같네요부킹닷컴 할인 하나도 안되면서 할인된다고,kakao,1,16.04.06.
71,CNTS_000000000019276,탐,화장실좀 샤워부스 얼마안하는데 좀 바꿔주세요 뚜껑날라가서 다른사람 머리카락 꼽혀있어서 불결했어요,kakao,3,22.10.04.
72,CNTS_000000000019276,현우,근처 식당맛집과 스타벅스 편의점 인프라도 좋네요사장님이신기 연예인인줄 큰키에 훈남 ,kakao,4,22.09.12.
73,CNTS_000000000019276,밍,평점 왤케 낮죠ㅠㅠ 친절하시고 관리가 진짜 깔끔하게 잘 되어 있어요 가격도 저렴한데 다 갖춰져 있어서 가성비가 너무 좋은 것 같아요 앞에 스벅이랑 편의점 있는 것도 좋아요,kakao,5,22.08.10.
74,CNTS_000000000019276,김학위,손님대하기를 아주 불친절해 제주여행을 다시는 오지 않기로 마음 먹었음 팬션 시설도 나쁨이였음,kakao,1,22.06.09.
75,CNTS_000000000019276,망고쉐이크,깔끔해요 평소에 관리 잘하신게 보여요ㅎㅎ방도 따뜻하고 좋았어요,kakao,4,20.03.07.
76,CNTS_000000000019276,진심을담겠습니다,방 깔끔해요 바다 뷰가 조곰 아쉬움이 있어요 ㅎㅎ 층이용했는데두요 ㅎㅎ,kakao,4,19.11.13.
77,CNTS_000000000019276,별,가성비 대만족  여태 이용한 펜션중에 젤 만족스러웠습니다,kakao,5,18.07.23.
78,CNTS_000000000019025,福지우, ,kakao,5,22.06.11.
79,CNTS_200000000013407,seonggu,남자분 깐깐해보이는게 오히려 믿음직스럽네요 관리 잘 하는 것 같아요 길건너 렌터카라 일정짤때 활용할수도 있겠어요,kakao,4,23.01.17.
80,CNTS_200000000013407,Haley,인가족 온돌방으로 이틀 숙박했어요 수건도 많이 챙겨주시고요 청소도 엄청 깔끔하게 하셔서 기분좋게 지냈고 무엇보다 부모님께서 온돌방에 거의 사우나처럼 등지지고 잘 주무셨다고 하십니다 주인분도 친절하시고 쾌활하신 분이셨어요 분실물도 먼저 연락주셔서 다행히 잘 찾았고요 여러모로 아주 편하게 지내고 갑니다 감사합니다,kakao,5,23.01.13.
81,CNTS_200000000013407,정광희,어플 할인으로 만원 예약함 퀸싱글 침대이며 방이 넓음 공항 분 내 거리에 이 가격에 이 정도 방 크기 청결한 시설 없을듯 건물 외관이 낙후 되었지만 방 내부는 깔끔하게 리모델링 한듯 모던한 스타일은 아니지만 옛날 리조트 느낌 공항 근처 접근 분 내이고 애월 협재로 나가는 진출로에 있어서 위치 좋음 제주 도착하는 날이나 떠나는 날 앞으로는 무조건 여기 재방문 의사  사장님 친절하시고 적극적인 태도가 어떤 분들에겐 부담스러울수도 있는데 저에게는 고마웠고 정겨웠음 엘리베이터 없고 옷장이 베란다에 위치해 있는 것이 단점일수 있음,kakao,5,22.12.27.
82,CNTS_200000000013407,동조, ,kakao,5,22.11.02.
83,CNTS_200000000013407,찌니,객실이 깔끔하고 직원분이 친절하네요,kakao,5,22.07.23.
84,CNTS_200000000013407,bac,층에 있으니까 너무 좋아요근데 엘베 없어서 좀 힘들어요,kakao,5,22.06.14.
85,CNTS_200000000013407,한헌환,위치접근성가격서비스 모두 최고 안내도 너무 친절하게 받고 합리적인 가격으로 이용하고가요 ㅎㅎㅎ 여름에 이호테우 해변 포차 오실분들은 꼭 예약하세요 ㅋㅋㅋㅋ 걸어서 분 ㅎㅎ,kakao,5,22.05.18.
86,CNTS_200000000013407,청년,좋습니다만족하게 됩니다깨끗하고 넓고 친절하시고또 오고 싶은 곳 입니다별 다섯개는 모자르고 일곱개는 줘야할 듯,kakao,5,22.02.04.
87,CNTS_200000000013407,노토리우스,금액대비 이정도면 여기 주변동선 조쿠사장님 만인드 깔끔 시설깔끔전체적으로 조쿠먼다만 엘배없지만 그래도룸도 깔끔넓고 굿굿 좋네여여기서 벌래니 머니 하는건 걍 돈더주고호텔가셔야지제주 자체가 자연농원인데,kakao,5,21.11.27.
88,CNTS_200000000013407,김아롱,다 좋았어요 우선 객실이 사진보다 넓고 여유롭고깨끗하게 관리가 잘 되었더라구요침구랑 수건 뽀송뽀송 깨끗하고방도 따숩고 뜨거운물 콸콸 잘 나오고어깨가 아팠는데 오션패밀리호텔에서 뜨거운 물로 어깨 지지니 좀 살겠더라구요ㅎㅎ사장님이 맛집도 알려주시고무엇보다 비흡연자 가족인데 객실에서 담배쩐내가 안나니 넘 좋더라구요어매니티와 일회용품도 빠짐없이 다 구비되어 있고 개인적으로 바디워시 향기가 좋아서어떤 제품인지 궁금하네요버스정류장에서 도보분 거리라서 뚜벅이여행자에게 좋고 공항과는 택시로 분 정도 해안도로까지 산책다니기도 좋았어요엘베 없는거 알면서도 일부러 층에 묵었는데계단이 보통 아파트보다 낮아서 문제될건 없었어요그리고 층이라서인지 방음 매우 잘 됨덕분에 푹 잤네요 다음에도 제주오면 여기,kakao,5,21.11.21.
89,CNTS_200000000013407,LTE,사실 다른 분들 후기 보고 살짝 걱정도 들었는데그건 그분들의 문제였던 것 같습니다사장님 친절함은 진짜 너무 감동적이었구요방은 적당히 깨끗합니다층임에도 뷰 너무 좋았구요하루에 수건장이어서 무지 편했어요뭔가 이 공간이 주는 낭만과 그리움을 뭐라고 표현해야 할지 모르겠습니다또 올게요,kakao,5,21.07.19.
115,CNTS_000000000022075,빛남,제주도민입니다 휴식 차 가까운 캠핑장에서 박을 계획하고 기대했으나포털 평점이 너무 좋아서이건 뭐버려진 창고에서 박한 기분입니다  방 천장은 온통 곰팡이로 가득하고 바깥 입구도 곰팡이 천지입니다  베개에는 정말 머리 기름으로 찌든 냄새가 심하게 나서 새 베개로 교체를 했으나 여전히 눅눅한 냄새가 났구요여기 마트에서 파는 고기와 채소들은 더 비싸구요청소와 관리가 전혀 되지 않은 이런 숙소는 처음 봅니다 만원에 예약해서 정말 아까워도 일단은 그냥 묵긴 했지만 이 사진들 참고하시어 앞으로 제주에 기쁜 마음으로 여행오셔서 휴식을 취하시는 분들이 불편을 겪는 일이 없으셨으면 합니다,kakao,1,22.08.30.
116,CNTS_000000000022075,123,제주도에도 글램핑이 있는줄 몰랐었다가 가봤는데 사장님 정말 친절하시게 설명해주시고 재미있게 놀다왔습니다  리뷰 보고 벌레 보이면 어쩌지 했는데 벌레도 없었고 쌀쌀한 날씨에 잤는데 온풍기와 전기장판이 있어서 춥지도 않았어요  친구들이랑 오랜만에 특별한 경험 하고 갑니다  여자 명이서 갔는데 힘들지도 않고 편하게 놀다갔어요  ㅎㅎ 다음에 날씨 좀 더 풀리면 또 오겠습니다 ,kakao,5,22.04.02.
117,CNTS_000000000022075,기가지니,진짜 별로입니다 불친절숙소 최악 다신 안 옵니다 이런 곳 때문에 제주도가 별로라는 인식이 생길까 걱정됩니다 어휴,kakao,1,22.02.24.
118,CNTS_000000000022075,제주도민,분위기는 좋은데 숙박은 하지않는걸루ㅎㅎ고기만 구워먹기 추천침구 너어어어어어어무 더러워여,kakao,3,22.01.24.
119,CNTS_000000000022075,지조,저렴한 가격치고 샤워실 바베큐 전자레인지 등 갖출 시설은 다 깔끔하게 갖추고 있어서 꽤 좋았습니다 바베큐하려면 고기류는 무조건 내부 마켓에서만 사야된다고 하길래 바가지 씌우는건 아닌지 걱정을 했는데 외부 직판장과 비슷한 가격대로 판매중이어서 맛있게 먹을 수 있었습니다겨울인데도 전기장판과 히터가 구비되어 있어 따뜻하게 잘 수 있었습니다아쉬웠던건 침구의 길이정도겠네요 침구길이가 한 자리를 빼고는 대부분 키 정도에 맞춰져 있어서 남성분들끼리 가시면 조금 불편할 수 있을 것 같아요인 가족여행용으론 매우 추천드립니다,kakao,4,22.01.23.
120,CNTS_000000000022075,박준형,아무리 이 업계가 포샵이 표준이라지만 적어도 사진이랑 실물이 비슷한 부분이 하나 정도는 있어야 되는거 아니냐  ㅋㅋㅋ,kakao,3,21.06.03.
121,CNTS_000000000022075,《별의별》매의눈,가장 기본적인 와이파이 안됨 주의무제한 데이터 이용 안하시는 분은 박에 모두 소진됨공동계수대는 숯불 만원을 내야 이용할수 있는식기류로 채워져 있습니다 사실상 숯불 미이용시 사용불가자체 매점에 고기류와 컵라면 햇반 등을 판매하고 있어서 외부음식 및 저렴한 물품의 반입이 불가도록 규제공동계수대에는 해동렌지대전자렌지대만 있음상하로 나란히 배치한 것에 밑에만 전자렌지공동계수대 모퉁이 윗면에 전자렌지 방향으로 가 있는데 신경쓰임가성비로 치자면 순수 글램핑 이용료는 원이 적당저녁부터 새벽시분 정도까지 주위에 떠드는 소리 작렬 아침 해뜨기 전에 떠들다가 지쳐서 잠드는 캠핑족 목격할수도 어쩌면 잠자는건 포기해야 할수도내부에 있는 송풍기 소음이 심하고 설정온도에서 도나 밑으로 떨어져야 온도센서가 재가동 되어서 다시 온도가 오를때까지의 공백은 추위에 떨어야 하고 가동될때는 소음에 적응해야 함매점에 있는 사람 여성에게는 매우 친절 남성은 싫어함,kakao,1,21.03.04.
122,CNTS_000000000022075,정,별 하나도 아까운 곳 글램핑 내부완전 허접 더럽최악 별로거미줄에 곰팡이에관리가 전혀 안되고 있음관리인 아저씨도 영,kakao,1,20.11.16.
123,CNTS_000000000022075,김재원님,분위기나 가격대비 좋은 숙소라고 생각은 합니다만마지막 숙박으로 조용하고 시 이후에 조용히 관리한다는 말을 듣고 숙박을 하엿는데오후 시 이후에 파티를 벌이고 소리지르고 하는 인원을이 팀중에 두팀이잇엇습니다 정말 과할정도로 시끄럽게 해서 가서 말도하고 조용히 해달라고 해도 안되는팀은 관리를 해주셔야는데 관리도없고 관리자분들은 전화를 꺼두면서 모르쇠 하네요 그냥 시끄럽게 단체로 놀러올때 오세요 여긴 터치없습니다,kakao,1,20.08.02.
124,CNTS_000000000022075,마늘고구마,시설도 괜찮고 이웃 텐트 분들도 모두 친절했어요사진은 제가 봐도 잘 찍었네요,kakao,5,20.06.20.
125,CNTS_000000000019278,Heyward,전망은 앞에 건물이 약간 가리지만 보이긴하구요 시설은 별로에요,kakao,1,18.09.18.
126,CONT_000000000500769,박준혁,별 한개도 주기싫네요 ㅋㅋ 찬물밖에 안나오고 개선했으면 좋을것같아서 전화해도 전화도 안받고 골치아프네요 별 한개가 아깝긴 처음입니다 부디 장사 망하십시오 ㅋㅋ,kakao,1,22.05.15.
