WRITER,CONTENT,TYPE,SCORE,CREATED_AT,OPEN_CLOSE_TIME,CATEGORY,STORE_NAME,STORE_ADDR,STORE_SCORE,HOMPAGE,ECT
지사람,너무 친철하시고 포장도 너무 예쁘게 해주셨어요~!!<br/>다음에 또 찾아 갈게요~,카카오맵,5,21.10.24.,정보없음,"분류: 꽃집,꽃배달",안나네꽃마을,"제주특별자치도 제주시
                한라대학로 79
                 (우)63089",5.0점,정보없음,정보없음
고고고,예쁜 꽃다발과 화분에 자꾸 찾게되는 동네 꽃집^^,카카오맵,5,21.08.19.,정보없음,"분류: 꽃집,꽃배달",안나네꽃마을,"제주특별자치도 제주시
                한라대학로 79
                 (우)63089",5.0점,정보없음,정보없음
mo9,꽃이 예쁘고 엄청 많이 담아주셔요 ㅠㅠ <br/>완전 손이 크세요 ㅋㅋㅋ! 다음에 또 갈게요!,카카오맵,5,20.11.04.,정보없음,"분류: 꽃집,꽃배달",안나네꽃마을,"제주특별자치도 제주시
                한라대학로 79
                 (우)63089",5.0점,정보없음,정보없음
han woo jin JEJU KOR,,카카오맵,5,20.09.07.,정보없음,"분류: 단체,협회",올레바당,"제주특별자치도 제주시
                도근내길 74
                 (우)63074",5.0점,www.hanolle.com,정보없음
지준호/커피파인더/리더/제주,크리스마스를 앞두고 너무 이쁜 화분입니다.<br/>매장에 두니~ 성큼 크리스마스가 다가온 기분입니다.<br/>감사합니다.<br/>꽃 사러 다시 갈게요.<br/>👍,카카오맵,5,22.12.13.,정보없음,"분류: 꽃집,꽃배달",얼리스프링 플라워스튜디오,"제주특별자치도 제주시
                구남동2길 45-12
                1층 (우)63233",4.0점,blog.naver.com/earlyspring_flower,정보없음
우와,꽃도 사진보다 더 예쁘게 포장해주시고 사장님 너무 친절하세요^^,카카오맵,5,22.01.02.,정보없음,"분류: 꽃집,꽃배달",얼리스프링 플라워스튜디오,"제주특별자치도 제주시
                구남동2길 45-12
                1층 (우)63233",4.0점,blog.naver.com/earlyspring_flower,정보없음
히히,그닥...,카카오맵,2,21.09.19.,정보없음,"분류: 꽃집,꽃배달",얼리스프링 플라워스튜디오,"제주특별자치도 제주시
                구남동2길 45-12
                1층 (우)63233",4.0점,blog.naver.com/earlyspring_flower,정보없음
이령,,카카오맵,5,22.07.14.,14:00 ~ 19:00,"분류: 수예,자수",몸냥공작소,"제주특별자치도 제주시 애월읍
                하소로 594
                다동 (우)63067",5.0점,www.instagram.com/momnyang595,"['wifi', 'animal', 'parking', 'nosmoking']"
천천,신기한 자수와펜체험도 할수있고<br/>사장님이 친절해요,카카오맵,5,22.06.25.,14:00 ~ 19:00,"분류: 수예,자수",몸냥공작소,"제주특별자치도 제주시 애월읍
                하소로 594
                다동 (우)63067",5.0점,www.instagram.com/momnyang595,"['wifi', 'animal', 'parking', 'nosmoking']"
박종완,,카카오맵,5,23.01.22.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
라이언,회는 괜찮아요 가격 대비 회만..,카카오맵,2,23.01.17.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
Attend,위생도 위생인데 가격은 터무니없이 비싸고 뭐 놀러왔으니까 사먹는데 맛은 진짜... 줘도 안먹을 정도...?<br/>야시장 몇군데 빼곤 별로 ㅋ...,카카오맵,1,23.01.15.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
워노다!!!,저녁에 갔는데 사람이 너무 많았어요.<br/>조금 지저분하고 복잡했어요.,카카오맵,2,23.01.08.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
dhyana,,카카오맵,5,23.01.07.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
메아리,옥돔사러갔는데 싸지는 않네요<br/>집에서 먹을거면 하나로마트에서 구매하는것도 좋을거같아요,카카오맵,3,23.01.01.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
산책러,"회는 신선하니 모두 맛있는데 흑돼지 김치말이, 떡갈비구이, 닭강정 류는 소스 과잉이라 좀 힘들었어요 ㅠ 미리 소스 빼고 싶은 걸 말해두는 게 좋아요. 공항에서 살 초코렛은 여기서 미리 사두면 편하긴 해요.",카카오맵,3,23.01.01.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
time,호구들의 천국 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ<br/>비싼돈내고 호텔가서 설사하는 곳임 ㅋㅋㅋㅋ<br/><br/>주변 제대로된 식당가서 식사하시는게 금전적으로나 위생적으로나 100만배 낫습니다...<br/>저런 제주 쓰레기상인들 때문에 제주가느니 서울사람들은 일본 동남아로 몰리는건 기분 탓인가요?? ㅎㅎㅎ<br/>특히나 일본 추천합니다 <br/>가격 위생 친철도 모든게 제주 부산 여수 강릉 속초 통영 등등 쓰래기들 보다 천만배 나은듯...,카카오맵,1,23.01.01.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
나무그림자,"제주 갔으면 꼭 들러야하는 곳, 관광객들 다 여기 와있는 것 같아요ㅎㅎ",카카오맵,5,22.12.13.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
You  jinsu,옥돔구매 했습니다,카카오맵,5,22.11.18.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
뭉게뭉게,,카카오맵,3,22.11.15.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
하늘,회랑 야시장 다 좋아요,카카오맵,5,22.11.01.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
.,불쇼 한다고 춤추고 하는건 좋은데<br/>음식 으로 장난치지 말자 <br/>음식이 덜익은 상태로 딱딱 하고 맛도 없는걸 굳이 비싼 값을 매기지말고 사람 기다리는거 뻔히 알고 있으면 시간뺏지말고 음식에 더욱 심여를 기울여야지 <br/>별점 주기도 아깝다,카카오맵,1,22.10.30.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
모리안,"회먹으러가세요, 랍스터이런거 보기만 좋자 맛 1도 없음",카카오맵,2,22.10.29.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
JH,토치음식전문시장,카카오맵,4,22.10.27.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
1,,카카오맵,4,22.10.19.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
은지,"서울떡볶이가 의외로 존맛탱.. 서울에 잘 없는 맛.<br/>시장 근처 아베베 도넛집도 맛있고, 은근 구경할 것 많음. <br/>전복김밥 (튀긴거 말고 계란옷) 맛있어요.",카카오맵,4,22.10.12.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
따봉도치야고마워,사람 진짜 많고 무슨 불쇼?하는데 시끄러워요<br/>회 포장했는데 dp된거 줬는지 비리고요(썰어달라고 했는데ㅠㅠ)<br/>주차할곳 없어요ㅠㅠ 그냥 기념품 좀 싸게 사러 가는 곳..<br/>그래도 레드향은.. 맛있었어요..,카카오맵,3,22.10.11.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
김태연🙆🏻‍♀️,"1. 흑돼지 김치말이 삼겹살: 화려한 그곳.. 첨엔 웃겼는데 일부러 웨이팅 만드는 것 같아서 불쇼할 시간에 음식이나 빨리 주지 생각함. 예상한 맛이 있는데 그 기대에 벗어난 맛. 고기 잡내가 역하게 나고 퍽퍽해서 먹기 힘들었음..... <br/>2. 한라봉 주스: 얼음컵에 주스 해서 5,000원.. 비싸긴 한데 맛있긴 맛있음<br/>3. 흑돼지 새우꼬치: 먹어보고 파는 건지 의심스러움..... 원래 음식 안 남기고 입에 안 맞아도 앵간히면 다 먹는데 이건 그냥 한입 먹자마자 쓰레기통 직행. 된장소스+새우+팽이버섯+흑돼지 맛없기도 힘든 조합인데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 맛 좀 보고 파세요ㅠ.. 시큼 새큼 비위 다 상했음.. 역대급 노맛.. 진짜 진짜 진짜로...... 식재료에 대한 모욕임<br/>4 함박+문어: 흑돼지 새우꼬치가 역해서 이게 상대적으로 맛있게 느껴져버림.... 나쁘진 않은데 굳이?<br/><br/>삼만 얼마의 돈을 순식간에 버렸지만 안 가봤으면 언젠가 꼭 방문하긴 했을 거라 딱히 후회는 없습니다. 가격 눈탱이 칠거면 양심적으로 최소한의 맛은 제공합시다. 다른 분들이 남겨주신 제대로 된 밥 먹으세요에 격한 공감이에요.. ""흑돼지 새우꼬치"" 진짜 평생 기억날 것 같아요. 진. 짜. 맛없어서... 야시장 관리하는 담당자 누군지 참 궁금",카카오맵,1,22.09.24.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
유정아,,카카오맵,5,22.09.23.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
김승혁,호객행위 너무함,카카오맵,3,22.09.23.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
my,제대로 된 끼니를 드세여...막창..크랩..꼬치..다 짜고 ..,카카오맵,1,22.09.21.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
러블채원,,카카오맵,4,22.09.14.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
loxrd21,,카카오맵,3,22.09.09.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
오팔반지,"먹거리, 쇼핑가게 다 갖추고 랍스타집 청년들이 불쇼,춤으로 볼거리도 제공해줌. 또 갈거에요",카카오맵,5,22.08.30.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
.,야시장 사람 엄청 많음,카카오맵,3,22.08.27.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
달님,"제주도 여행 올 때마다 그냥저냥 구경하는 곳이지만, 또 빼고 지나치기는 아쉬운 곳.",카카오맵,5,22.08.25.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
진섭,,카카오맵,5,22.08.22.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
Hailey,,카카오맵,4,22.08.20.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
cnh,,카카오맵,3,22.08.20.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
조현호,,카카오맵,5,22.08.18.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
바이올렛,볼거리도 많고 좋았어요,카카오맵,4,22.08.16.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
이미나,,카카오맵,3,22.08.12.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
떡볶이처돌이,여기서 회랑 랍스터 요리? 샀어요. 회는 당연히 육지에서 사먹는거보다 양이 적었습니다 그래두 그러려니 했는데 랍스터 ㅋㅋㅋㅋ 절대먹지마세요 ㅋㅋ 음식 앞에두고 소리지르고 노래부르고 춤추고 ... 너무 정신없고 덥고 시장 규모도 굉장히 작습니다 ..... 그냥 배달시켜먹든지 다른 식당가서 드세요 <br/>제주는 오랜만에오긴하는데 호구되기 좋은 지역이네요....,카카오맵,2,22.08.11.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
댓글 알바 보안관,전형적인 호갱시장,카카오맵,2,22.07.31.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
김태영,포장되어있는 회 절대 구매하지 마세요<br/>상태 최악.. 먹을수 없어서 다 버렸어요<br/>관광객은 호구라 생각함,카카오맵,1,22.07.30.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
팩트로 뼈 부러뜨리는 사람,"야시장에 사람이 아주아주아주 많았어요<br/>재밌었고 맛도있고 가성비도 좋은 듯합니다.<br/>다만 사람이 굉장히 많아서 붐비고, 대기줄도 길었어요.",카카오맵,4,22.07.28.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
힐스테이트,제주태향특산물 할인매장 상당히 불쾌하게 말씀해주시네요... 좋습니다...,카카오맵,1,22.07.21.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
진정한맛을아는여자,~~꼬치 9천원ㄷㄷ <br/>저녁7시부터 많이 열림.<br/><br/>랑그드샤 땅콩. 우도 초코찰떡파이,카카오맵,1,22.07.14.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
.,,카카오맵,5,22.07.09.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
미스터역마살,생각보다 야시장이 짧아서 아쉬웠어요<br/>랍스터 음식은 쇼맨십이 화려해서 혹해서 샀는데 비린맛이 너무 많이나서 버렸어요 ㅠ,카카오맵,2,22.07.07.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
둠,술 사다보면 생각보다 돈 호록 나감^^;,카카오맵,4,22.07.05.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
웃,,카카오맵,5,22.07.01.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
^^,"회, 딱새우가 웬만한 곳보다 저렴하고 싱싱함<br/>몇번출구인지 모르겠는데 입구 첫집옥수수, 안쪽 두번째? 세번째 호떡집 맛있어요",카카오맵,4,22.06.17.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
eom,"낮에는 구경거리,먹거리 별루임 저녁에가시길 추천.",카카오맵,5,22.06.06.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
sun,"고등어 반 갈치 반(8000). 딱새우(10000), 해삼멍게(15000). 저렴한 가격에 여러가지 맛보기로 좋아요.",카카오맵,4,22.06.05.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
야신,"한라산 떡갈비 퍽퍽함 완전 비추<br/>전복 버터밥 오케이<br/>제주 흑돼지  철판구이 최악 (반도 못 먹음, 비쥬얼에 개속음) 진짜 이건 아님<br/>버터문어구이 함박스테이크는 추천, 문어는 비추<br/>착츱쥬스 완전 추천<br/><br/>전체적으로 착츱쥬스렁 전복버터밥 빼곤 또 안먹을듯<br/><br/>시장에서 파는 귤이 제일 맛있었음",카카오맵,2,22.06.01.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
Y,시장이 아니라 상업단지?같아요ㅠ 왕실망ㅜㅜ  랍스터 파는곳 돼지말이? 진짜 최악입니다 먹고나서 토할 것 같아요...진짜 최악 of 최악.  전복밥 괜찮긴한데 전복맛이 강하진 않아요... 그래도 그나마 먹을만해요. 떡갈비랑 착즙쥬스는 맛있었습니다.,카카오맵,1,22.05.22.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
홍균,,카카오맵,3,22.05.18.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
오궁,"오일장 날짜 맞춰서 방문하세요<br/>찐 제주를 느낄수있음<br/>제주방언, 제주농산물, 제주사람들, 제주수산물<br/><br/>여행시작하는 날 오후3시쯤 방문해서<br/>천혜향 7000원어치 샀는데<br/>여행하는 4일동안 차에서 야무지게 잘 까먹었음!",카카오맵,5,22.05.15.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
1000km,호객행위 너무 심하고 통로 비좁아 생선가게 물 다튐. 야시장 먹거리 중 랍스터 샀는데 너무 실망.,카카오맵,1,22.05.11.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
보노보노,생각보다 야시장 규모는 크지않고 매장마다 파는 물건이 비슷해요. 관광 기념품이 시내보다 싸니까 공항가기 전후에 들리기 괜찮을듯해요.,카카오맵,3,22.05.07.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
Tina,맛난것도 많고 좋아요,카카오맵,5,22.05.06.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
이겸손,돈주고 음식쓰레기 사지마시길 걔중에 먹을만한게있을지도모르지만 그조차 평범할뿐.. 그냥 구경만하고 그돈로 프렌차이즈음식 사먹 길 강력히 충고함<br/>도대체 공무원것들은 입점하기전에 음식맛은 보고 입점시킨건지..결국 지들 지역 이미지만 파먹는것인데 저딴 음식쓰레기들을 팔게할생각을 할수있는지 납득이안됨,카카오맵,1,22.05.04.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
한량,매우 좋아요,카카오맵,5,22.04.30.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
두비두밥,사람이 그득그득...맛은 그냥 저냥..소리지르고 불쇼 같은거 하던데  ㅎㅎ<br/>사람 많은 시장이라고 생각하면 될듯하네요!!,카카오맵,4,22.04.26.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
