,feature,label
30,편하게 잘 이용하다 갑니다~ 렌트카 반납후 한 20분 정도 걸으면 용두암 바로나와욧!!!! 걸을만해요!!,1
31,다소 불친절하다.차량 안내도 하지않고 설명도 불친절 하다.,0
32,친절하고 업무 진행 잘해요,1
33,친절하고 차도 깨끗 쾌적하게 여행 즐겼습니다,1
34,직원분들 친절하시고  공항 까지 5분정도 걸린듯 합니다,1
35,그닥 친절하지도 않고 조금의 융통성도 없음,1
36,아 일단 빌리는데 좀 비싸요여기서 아반떼 빌리는돈으로 타사에서 그랜저빌립니다보험료도 비싸요차들은 그래도 깨끗합니다 ㅎㅎ,0
37,두번 이용 했는데 여직원이 너무 땍땍거리고 불친절해서 다시는 이용 안합니다.,0
38,저렴한가격에 잘이용했어요.,1
39,느려요 너무 느려요 다신 안빌리고파요,0
40,친절하고 아주좋아요,1
41,공항에서 비교적 가까운 곳에 위치한 것이 장점,1
42,좋았어요 친절해요 픽업버스 빠르고 좋아요,1
43,국내 렌트는 처음인데 친절하고 괜찮습니다. 블랙박스가 없어서 아쉬움,1
44,깨끗하고 제주도 관광에 있어 필요한지도도 있으며 시설 자채도 괜찮다,1
45,서비스 좋고 차량도 좋았습니다,1
46,착한가격 친절한 직원. 아주빠르게 업무처리,1
47,워낙 많은 사람들이 다녀가니... 사람이 기계적일 수 밖에...,1
48,직원분들이 친절해요,1
49,좋았다 친절했고 제주도에서 이정도면 만족,1
50,공항가깝고 셔틀버스 빨리운행하고 좋네요,1
51,친절한 편입니다 렌트비도 저렴하고요,1
52,친절하게 잘 해주셨어요,1
53,젊은 남자직원 불친절하고공항픽업은 저녁 8시까지만 해줌.,0
54,친절하고 가격도 착하네요,1
55,깨끗한 차 배정받아 즐거운 제주여행 했습니다.,1
56,자차 포함 54시간 sm6 20만원,1
57,차 상태 좋아요.,1
58,친절은합니다.ㅎ~,1
59,차도 깔끔하고 처리도 빠르고 가격대비 만족,1
60,제주도는 렌트가 엄청 싸다 그리고 친절하다. 인터파크니까.,1
61,찬는 신차이나 네비가 최신이 아님 과속제한 틀림,1
62,친절하고 저렴해서 좋네요,1
63,"좋아요, 공항에서 가까워요",1
64,별로..차가 오래된건지 꺼억꺼억 소리나서운행하면서 좀 쫄았어요암튼 별로,0
65,저렴 친절 차량깨끗 추천합니다,1
66,"공항 5분거리, 용담동에 위치한 인터파크 계열 렌트카 업체",1
67,친절해요..,1
68,블박이 없고 차가 별로. 끌리면 타라로 할껄.,1
69,너무 불친절하고 차도 상태가 좋지않다,0
70,애프터서비스가 좋습니다,1
71,"밤에 간판을 켜놓지 않아, 찾기 너무 힘듭니다.",0
72,괜춘요~친절.,1
73,적정한 가격의 깨끗한 자동차,1
74,렌트하기에. 편하고 친절합니다,1
75,나쁘지않은 제주인터파크렌트카입니다,1
76,직원진절하고 좋음,1
77,빠흔 처리가좋으네요,1
78,친절하고 좋았어요,1
79,친절하십니다,1
80,친절하고 좋아요,1
81,잘 빌 림,1
82,아주좋아요,1
83,잘 챙겨주시네요,1
84,셔틀기사님 친절하세요,1
85,그냥 따른데서 할걸ㅋ...,0
86,친절 정확 빠름,1
87,너무비싸요...,0
88,간단해요,1
89,괜찮네요,1
90,라나나누ㄴㅣㆍ,0
91,보통렌트카업체입니다,1
92,아주 좋습니다~^^,1
93,굿,1
94,렌터카가 좋다,1
95,싼이유가 있더라구여.,0
96,편리해요,1
97,잘놀다갑니다,1
98,좋음,1
99,친절친절,1
100,별로,0
101,그냥렌트카업체,1
102,신속정확,1
103,제주 인터파크렌터카,1
104,#괜춘,1
105,조아요,1
106,괜찮았음,1
107,쏘쏘~,1
108,차가영,0
109,Did not honor our reservation and refused to rent to us because we do not speak Korean…,0
230,"제주시 연동 소재, 공항에서 10분, 매우 친철함,  차량상태 우수, 쏘렌토 2020년, 셔틀버스 대형으로 짐을 버스 밑 트렁크에 실어주심. 아주 친절,  차량 픽업 리턴시 트렁크 심을 다넣어 주시고 빼주심.  적극 추천합니다.",1
231,더뉴k5 2박3일 렌트해서 잘 타고 다녔음.카모어(?) 통해 예약함대부분 좋은 리뷰였는데 그중 좋지않은 평가도 몇몇있어 대형 메이커사와 고민하다 결정했는데 참 잘한결정이었음. 이 정도가 맘에 안들면 자차…,1
232,눈과 바람때문에 숙소 가는 길이 마비돼 걱정이 이만저만 아니었는데 진심으로 걱정해주시고 도와주셔서 무사히 도착할 수 있었습니다. 차도 깨끗하고 스태프분들도 친절하십니다. 덕분에 기분좋은 여행의 시작과 마무리를 할 수 있었네요. 남자친구가 좋은 후기때문에 예약했다고 했는데 잘했다고 칭찬해주었습미다.,1
233,세차기에서 바로 세차해서 나옴실내도 깨끗하고 금연차랑이라 만족. 이사람 저사람 타다보니 외관 긁히고 찍힌 곳은 많으나 완전자차 보험 들어놓고 타서 걱정없음.,1
234,카니발6인승 가격저렴하구 깨끗한 다음에 또 이용해도 괜찬음 82시간에 15만원 미만에 빌려음,1
235,차도 신차이고  서비스도 최고가격 서비스 최고입니다.,1
236,직원분들 모두가 친절하세요. 화장실도 깨끗 합니다. 셔틀버스 배차간격은 약 20~30분 정도 입니다.,1
237,찬절합니다.. 가격은 회사에서 일괄해서 잘모르겠고.. 공항에서 셔틀로 10분 거리,1
238,직원분들도 친절하고 사장님이 상당히 친절하셨네요.손님을 향한 배려심도 깊으시고 담번에도 무조건 아산렌트카로 예약할듯.. 공항에서 10분정도의 거리에 떨어져있지만 그만큼 친절하고 차상태도 좋네요^^,1
239,완전자차 가입했지만노루사고가 있었는데제가 사고시 미리 전화주지 않고 바로 렌터카 반납하러 갔더니10만원 범퍼 수리비용 추가로 달라하심,0
240,정말 친절하시고 차량 상태도 아주 좋아요거의 새것인 k3를 받아서 제주도 여행 즐겁게 했어요아주 친절한 사장님이 차 설명도 잘 해주시고 제주에서 꼭 가봐야 할 곳들도 알려주셨어요…,1
241,장점: 신속한 차량 배정. 차량상태 양호단점: 공항에서 좀 멀고 셔틀버스를 세군데에서 함께 운영하여 불편.,1
242,제주의 렌트카 가격이 최근 많이 올랐다는데모닝 하루 빌리는데 5만원을 준 것이 싼것인지? 비싼 것인지?나름 착한 가격에 빌린 것 같긴 한데…,1
243,"깨끗한 K5차 일주일동안 잘 사용했습니다직원분들도 친절하시고 기념선물(초코렛, 빵등) 농협마트보다 훨씬 저렴했어요ㅠㅠ 기념선물 사실때 여기서 사세요 동문시장 가격이라고 하네요",1
244,"직원분들 친절하고, 차량 K8  이용 했는데 가격 저렴하게 이용 했어요.",1
245,허접한 렌트회사에 낚시성 완전자차 가입해도 단독사고시 면책 안됩니다. 자차보다 높은 완전자차 본인부담금 없는줄알고 가입했다가 덤탱이 당합니다.절대 허접한 렌트회사에서 렌트하지마세요. ㅠㅠ,0
246,공항에서 10~15분정도 차타는데 셔틀간격이 긴편이라시간애매한 분들은 택시비까지 같이 드실듯해요직원분들 참 친절하시고…,1
247,정말 친절하셨고 차도 상태가 매우 좋고 가격도 좋았어요. 공항에 셔틀이 있어서 어렵지 않게 갈 수 있었어요. 이제 제주도 갈때마다 이용하려고 합니다.,1
248,"차는 깨끗했는데 운행중에 살짝 소음이 있었어요,  이것 말고는 직원분들 다 친절하셔서 기분좋게 잘 이용했어요^^",1
249,차량관리도 잘 되있고 가격도 저렴한 편입니다. 대신 에누리가 없어보입니다. 8시 이후 차량인수 시 할증도 붙고 연료가 조금 부족해도 비용을 부과합니다.,1
250,"제주더렌트카를 통해 아산렌트카 2020년 쏘렌토 예약.공항에서 매시간 정각과 30분 1시간에  2회 셔틀버스 운행. 경로상의 몇군데 렌트카를 같이 도는 형태로 운영중.공항에서 한 10~15분 정도 걸려 도착 후 추가 운전자 등록, 주의사항 듣고 렌트카 받는데 10분도 채 안걸림…",1
251,처음빌린차가 후방카메라가 안좋아서 이야기했더니  바로 차량바꿔주셨음 차량내부도 깨끗하고 냄새도 없어서 좋았어요 다음에도 렌트해야겠어요,1
252,사장님 친절하시고차량컨디션도 좋아요�,1
253,4일 동안 빌렸는데 사장님 설명을 잘 해주셔고 안전하게 잘 보내고 갑니다.,1
254,저렴한 가격에 차를 렌트했는데차도 좋은차여서 운전 편하게함차 반납도 간단하게 끝남…,1
255,친절하고 자상한 설명을 해주는 프론트 스텝. 깨끗하고 저렴한 차량. 제주공항에서 30분 마다 운행하는 셔틀로 10분 소요되는 점은 약간 불편.,1
256,처음부터 사장님이 넘 친절함 첫날 비와서 내릴때 비가왔는데 아이 우산 받쳐주시고 처음하고 갈때하고 똑같이 친절하셔서 너무 만족합니다.다른데하고는 확실히 다르네요 가격.서비스 다 만족,1
257,직원이 친절함공항에서 셔틀있어서 렌트 및 반납시 타니좋아요…,1
258,차도 깨끗해서 맘에 들었고 직원들이 아주 친절하세요~다만 공항왔다갔다하는 차량 시간 간격이 좀 기네요,1
259,렌트카 이곳에서 처음 인터넷으로 예약했는데요. 나름 친절하고 좋네요. 다만 차가 좀 낡고 지저분해요.,1
260,성수기에 저렴한 가격으로 잘 썼습니다차량 상태가 너무 양호하고 삼만 키로 밖에 안탄 차들이 있어서 너무 좋았습니다당일날 차량 변경했는데 잘 알아봐 주시고 아주 편리하게 잘 바꿨습니다제주에 다시 올 일 있으면 다시 이용하고 싶네요,1
261,"직원분들 친절하세요전기차 렌트 했고,전기차 무료 충전 카드 구매 했는데…",1
262,다른곳은 어떤지 모르지만 친절하심. 마지막날 차안 쓰레기 어디다 버릴지 고민했는데 해결 해주심. 아시다시피 제주도는 쓰레기 버리는게 젤 골치 아프죠,0
263,가격은 유명한곳보다 쬐끔 비쌈 픽업버스도있고 좋음이래저래알아보느니 몇군데보고없으면 조금비싸더라도 빨리구해서 타고다니는게 좋음 매시각 정시 30분탐으로예약가능 점검시간 1시간있음 직원분들 친절하시고 좋음,1
264,네비소리도안들리고.픽업버스도너무더럽고.렌터카도관리가잘안되어있네요,0
265,제주 갈때마다 아산렌트카를 이용합니다원하는 종류의차량등 잘 추천해주시고 예약해주십니다,1
266,빠르고 정확하고 저렴하고 좋았어요. 볼트EV강추,1
267,차량 탔을때 비흡연차 답게 아무냄새 안나고 쾌적했어요 차도 신차고 가격도 매우 저렴하게 잘 이용했습니다 정말 좋았어요,1
268,차 상태도 매우 깔끔하고무엇보다 너무 친절하세요!!기분 좋은 여행이 될 수 있었어요!,1
269,일부러 돈더주고 옵션있는차 선택했는데 전부다 깡통입니다!!!!속지마세요 그렇다고 돈을 돌려주는것도 아니고 최대한싸게 예약하세요 완전깡통차만취급해서 바꿔줄차도없어요,0
270,가격 친절함과 빠른 배차와 반납좋았습니다,1
271,제주패스렌터카 통해 빌렸어요. 빌린차가 신차라 만족하고 탔어요~가격도 저렴했구요.좀만 친절하시면 좋을텐데...조금의 아쉬움이,1
272,예약하기전엔 몰랐던 리뷰들...걱정 많이 했지만 만족..친절하고 안내도 좋고..반납할때도 길지 않고 여행에 이용해줘서 고맙단 인사까지!!~,1
273,친절하고 괜찮았음 차가 깡통차였는데 그런거 신경 안쓰는편이라 상관없었음,1
274,직원분들도 친절하시고 차도 깨끗해요.단지 공항에서 거리가 쪼금 멀어서 별하나 뺐어요,1
275,차량도 깨끗하고친절하고 가격도 저렴해서재 이용 의사있어요,1
276,작은 업체인데 친절하시고 차 상태도 좋아서 기분 좋게 여행했어요!♡,1
277,K5 LPG 렌트했는데 뒷유리 썬팅이 이상해서 저녁엔 뒷차가 안보임~ 백밀러만 보고 운전~^^; 확인하고 타세요~,0
278,서비스 좋고 친절하고 비용도 괜찮고 좋아요.,1
279,진짜 친절하고 차가 엄청 깨끗함,1
280,직원들이 친절하고 자동차 기름이  많이 남았는데 일정금액을 환불해주어 기분좋게 출국합니다,1
281,렌터카 차량중에 젤 깨끗했고 친절했습니다 ~ 잘 이용했어요,1
282,차량도 깨끗하고 직원들도 친절하고 잘~~탔습니다,1
283,사장님 친절하세요다만 셔틀 시간이 좀 길어 미리 체크하셔야해요,1
284,직원들분 친절하시고 기름 더 넣은것도 바로 입금해주시고 빠르고 좋았어요,1
285,렌트 차량 겁나게 깨끗함.재 방문 의사 200%,1
286,다른곳 보다 저렴하고 신뢰도가 가는 곳입니다,1
287,적당히 친절 빠른 업무처리 최고에요!,1
288,친절하고 청결하면서 가격도 착한편입니다.,1
289,계약서는 다른데랑 같은 표준이고. 셔틀타고 이동하는데 생각보다 공항이랑 거리가 있음,1
290,친절한데 픽업 시건이 30분 간격으로 다소 길다,1
291,정말 친절하시고뺑소니 사고도 잘 안내해주시고다시와도 여기 꼭 다시갑니다,1
292,사장님 찐제주민 ㅎㅎ친절하시고 신속한 일처리 하십니다,1
293,일단 싸가지 없음.둘째 지들맘대로 권유함.셋째 셔틀은 왜 자주 없는 거임왠만하면 피해라 ~ 여기 렌트카는,0
294,가격도 착하고 친절함,1
295,최악... 방전되고 직원의 대처.. 사장또한 어이없는 반응.. 난감하다... 추천 하고 싶지 않다.. 제주에서 하루 날린것만 생각하면 별2개 아깝다.,0
296,저렴하게 이용했지만 출고시 게이지 맞춰 갔는데  입고시 자기들이 작성한 게이지가 아니라고 충전비용을 받음 그냥 주고옴 ㅡㅡ,1
297,넘 맛있고 친절한곳입니다^^,1
298,사장님과 직원 모두 아주 친절해서 좋았습니다!!!,1
299,렌틸업체중 가장 싼곳중 하나.. 친절한 편임.. 자동차는 깡통임.. 공항에서 버스로 이동 해야함,1
300,싸고 친절하고 차 상태 좋아요..,1
301,클룩으로 예약했는데 싸고 직원들도 매우 친절합니다.,1
302,렌트카 이용한 곳 중 최하수준이예요.차량상태도 직원수준도.절대절대 비추천,0
303,친절하십니다. 차량컨디션도 좋아요,1
304,친절하고 깨끗한 차로 여행이 즐거웠어요~,1
305,실속있고 친절한 업체예요,1
306,아주 친절하고  차가 거의 새차입니다.,1
307,직원분들 친절하십니다~ 재방문 의사있습니다~김만복 근처라 깜놀했어요~ㅎ,1
308,차 내부 깨끗. 반납 시 일처리 깔끔.,1
309,이런식으로 장사하는사람이 있나싶을정도로 불친절함여행하시는분들 기분 안잡치도록 주의하세요,0
310,가격 저렴 친절 편하게 보내고 왔슴.,1
311,공항셔틀 노쳤는데 회사차로 태워주심돈드린다니까 돈받고는 않간다고하심정말 고맙습니다.,1
312,렌트카 업체 깨끗하고 요즘은 괜찮은거 같음 거의,1
313,직원분들 느므느므 친절함요,1
314,공항에서 좀 멀다는 느낌 나머지는 평범함~,1
315,"솔직히 걱정도했는데 일사천리로깔끔하게 대여, 반납해주셨어요…",1
316,친절하고 자동차도 상태가 아주 좋습니다.,1
317,"차량 깨끗하고,사장님 친절하시고,매우 만족합니다.",1
318,친절하고 깨끗한 자동차 많지만 전기 자동차 추천합니다,1
319,새로나온 차로 임대해줘서 기분좋게 여행을  즐김,1
320,셔틀 불편해요~차 관리 완전 꽝~차에서 냄새 진동~~,0
321,친절하고 좋네요,1
322,렌트한 차량이 관리가 잘 되어있음,1
323,좋아요 친절신속 다음에도~,1
324,직원들 친절하고 차량 청결함,1
325,제주 패스렌트카로 싸게 예약싼게 비지떡서비스도 지랄같고,0
326,사장님 너무친절하세요^^또 이용하겠습니다,1
327,친절한 서비스가 최고임,1
328,직원분들 완전 친절하세요,1
329,사장님 친절직원분 친절차량 께끗,1
330,차량 상태가 깨끗하고 좋아요..,1
331,친절하고 저렴해 다시 이용하려 합니다.,1
332,친절해요 가격도 저렴하고요,1
333,싼값에 좋은차 잘타고갑니다!,1
334,친절하고 좋아요,1
335,친절한 여직원  때문에  좋은 인상받았습니다,1
336,친절하고 차량 상태 좋음,1
337,차량청소상태도 엉망이고 직원도 불친절함,0
338,친절하고 덕분에 잘다녀왔습니다,1
339,친절하시고 좋은데 차는 깡통,1
340,9월말에 가성비 좋게 사용했습니다,1
341,친절하고 설명 잘 해주심,1
342,"차 깨끗하고, 친절하십니다",1
343,직원분들이 친절하심,1
344,친절하네요,1
345,친절하네요. 좋아요.,1
346,친절해요,1
347,역대 최악. 도무지 이해가 안가는 규정,0
348,친절했어요.,1
349,아주친절하고편리햇어요,1
350,좋습니다. 친절하구요.,1
351,잘놀다왔어요,1
352,너무친절해서 만족합니다,1
353,친절하고 좋아요!,1
354,친절합니다.^^,1
355,가격대비 괜찮네요,1
356,아주 친절합니다,1
357,친절 ㅎ,1
358,여직원 친절해용^^,1
359,가성비 좋은 곳입니다~~,1
360,차가 너무 마음에 듬,1
361,직원의 딱딱함빼고는 괜춘,1
362,그저,1
363,친절한 설명,1
364,찬절해서 좋습니다.,1
365,친절해요,1
366,나름 괜찮았어요 ㅎ,1
367,제주도의 흔한 렌터카 업체.,1
368,배차 간격 20분,1
369,친절해요,1
370,저렴하다 부담없다,1
371,친절 깨끗한차량,1
372,양호. 추천함,1
373,사장님 및 차량 굳,1
374,갠찬아요,1
375,차 상태 좋음...,1
376,그저그래요,0
377,만족합니다.,1
378,평균은 함,1
379,바가지요금^^,0
380,친절하다,1
381,좋아요,1
382,깔끔합니다,1
383,저렴해요,1
384,나쁘지않음,1
385,특이점 없음,1
386,가성비 최고,1
387,매번 이용하는 렌트카,1
388,오잉또잉,0
389,가성비 굿,1
520,저렴하고 친절했어요차량도 완전 새차였고 확인하시는 분도 별다른 불합리점 없이 자세히 안내해 주었어요다른 글보고 걱정했는데 그런 부분 주의 하시는지 저는 못 느꼈어요,1
521,"차량 대여, 반납 모두 신속하게 도와주십니다!! 리뷰에 걱정하실 필요 없을 것 같아요. 셔틀 배차간격이 기니까 비행기편 잘 고려하셔서 계획 세우시는걸 추천드립니다.(카카오택시 잘잡히고 공항에서 15분 정도 걸려요)",1
522,생각보다 매우 편하게 잘 이용했답니다차도 맘에 들고 심플해서 좋았답니다 굿굿입니다,1
523,저렴한 가격에 차도 새차로 배정해주고 직원들도 친절합니다. 공항에서 조금 먼 것이 단점인데 충분히 감수할만 했습니다. 다음에 또 이용할 생각입니다.,1
524,"공항 5번게이트를 통과해 나오는 주차장에서 렌트카 업체로 가면 1번 라인에 위치해있다.한국렌트카, 아산렌트카 2군데가 같은 셔틀을 운용하고있으니 잘 살펴보고 탑승할 것을 권장한다.보통 00분, 30분에 차가 출발한다.…",1
525,이번 제주 여행에서 렌트한 곳이예요.서비스도 좋고 차량도 만족스러웠어요.다만 렌트카업체가 공항서 꽤 멀고 셔틀버스가 30분에 한대씩 있어 시간이 급박할 경우는 좀 불편하긴 하네요.…,1
526,가급적 알려진 완전자차 가능한 샵이용하시길이곳은 필수적으로 사진 잘찍어두셔야 합니다.여러명에서 반납검수시 태클걸며 사진확인하자고 먼저 말하네요 조심하세요 사진 안찍었음 다른소리들을번해서 비추천합니다,0
527,별한개주기도 아깝네요~안내데스크는 친절한데 정비차장인가는 완전 불친절하고 여행시작인데 무슨갑질도 아니고 맘에 안들면 환불하라고 하네요 몇마디 안했는데 출발부터 기분 나빠서~~,0
528,그럭저럭 만족 하는데충전기 포트와 스마트폰 거치대가 없어 불편했음,1
529,"제주도 렌트카 중에서 가장 저렴한 편에 속하는 가격대임.대신 주행거리가 10만에 육박할 정도로 오래된 차종이고, 노옵션임. 제주도 내 관광범위가 넓지 않다면 상관없으나 동선이 길다면 한번 재고해 볼 필요는 있음.…",1
530,"상담 배차 직원 친절,(셔틀버스 할아버지 불친절,공항주차장에서 담배물고, 나중에 시간되면 타라고 소리지름) 주차가능",1
531,위치가 렌트단지 위쪽에 있습니다.타 렌트카 업체보단 조금 싼편이나..싼만큼 차량상태가 맛탱이들이...…,1
532,딴곳은 어떤지 몰라도 차량 많이 준비돼 있고 제가 빌린차는 새차라서 그런지 몰라도 깔끔합니다 반납 받은후 바로바로 세차를 하더라고요 아쉬운점은 모든차량이 흰둥이 ㅎ,1
533,10년전보다 가격이 3배이상이라서.. 차들 상태는 좋지만... 서비스는 좋은데...제가 자꾸 우리차중에서 오래된 BMW를 배로 실어오자고 하고 있어요.,1
534,반납때 연료 부족한건 채워와야 하지만연료 남은건 반납안해준대요. 착장되어있는 네비도 제대로 안되서 애먹었어요.,0
535,"15분, 45분에 공항으로 가는 셔틀이 있는 듯. 5~10분 정도 일찍 출발하기도 한다고 하네요.",1
536,가격저렴친절은 기대하지마셈,1
537,좋은차 관리 잘해서 렌트할 맛 나네요.,1
538,셔틀버스 타는데 같이되어 있는데 안내도 안해주고 버스가 낡아 에어콘도 안틀어줘서...,0
539,"2주 동안 잘 타고 갑니다^^ 반납하러가자마자 공항 가는 버스가 도착했는데, 신속하게 반납처리 해주셔서 여유있게 공항에 도착했습니다. 감사합니다 ^^",1
540,깔끔하고 친절한 렌트카 업체입니다.,1
541,안내직원분 친절. 차 신차라 깨끗. 셔틀버스 냄새나고 업체 3곳 경유함. 셔틀이 7시30분이 마지막 버스라서 9시 비행스케줄에는 좀 불편함.,1
542,"이틀 소나타 토탈하니 10만원, 근데 자차는 6만원추가한다고함, 상담원을 보니 자차안해도 된다는 뉘앙스가 있어서 자차안함. 평범합니다. 다음에는 다른 회사이용해보겠습니다.",1
543,1번홈이라 제일먼곳에 잇고 다른회사들과버스를 같이 써야 하기때문에 2곳을거처가야하는 불편함이 있습니다그외는 직원들도친절 하고 괜찬습니다,1
544,"차량 출고, 반납시 불친절한 말투와 차량 관리상태도 좋지 않으며 반납시간 때문에 렌트카 사무실에 전화를 걸어도 받지도 않습니다.재구매 의사 절대 없음.",0
545,"직원들 친절합니다. 차량 반납,인수 빠르게 해주시구요. 차도 깨끗해서 제주여행 기분좋게 여행했습니다.",1
546,싼맛에 갈만함15만키로 넘은 렌트카는 처음 타봤고 차 가 잘 나가지도 않지만 싼맛에 갈만함.…,1
547,"차량 컨디션이 그다지 좋지 않으나, 그만큼 잔기스 등에 대해서는 관대할 것으로 보인다. 공항 접근성이 좋지 않으나, 반납하러 가는 길이 막히지 않는다는 점은 장점. 사실 타업체와 비례해서 경쟁력이 있는지는 모르겠다",1
548,여름 준성수기라 차를 비싸게 빌렸는데 차가 너무 안좋아요접수직원도 하나 안친절하고..그래도 공항에서 출발하는 셔틀 시간표를 문자로 보내줘서 시간에 맞게 알아서 기다리니 좋았어요회사에서도 공항으로 출발시간이 벽에 붙어있어서 그거에 맞춰서 움직이니까 좋더라고요,1
549,신속한 업무처리가 좋았습니다,1
550,렌트카 반납할때 담배 피지도않았는데 담배  피웠다고 우기고세차비 10만원 달라고하네요 기분좋게 제주도놀다가는데 기분망쳐서 두번다시 오고싶지않네요~,0
551,리뷰가 안좋아서 걱정했는데 특별히 나쁘지 않았어요. 2017-2019년식 신차로 명시된 가격으로 예매해서 그데로 이용했습니다. 후방카메라는 예약시 없는 것을 확인하였으나 사고를 줄이기 위해서 렌트카에는 기본적으로 설치하는 것이 안전할것 같았어요. 가장 리뷰가 많았던 직원의 불친절 문제는 없었어요. 아주 친절하지 않았지만 불합리하게 불친절하지도 않았어요.,1
552,"악평이 많아 걱정했는데 다시 와도 이용할 것 같네요. 저렴한 가격에 불편함은 없었습니다. 직원분들도 친절했어요! 차에 기스가 좀 있긴 했지만, 싸니까 당연한 것 같기도...",1
553,관광지 렌트카업체는 보통 불친절한데 이 곳은 직원분들이 모두 친절하셔서 좋았어요. 제가 별5개 주는 경우는 거의 없는데 친절함이 고마워서 5개 줬어요^^,1
554,싼맛에 렌트했는데 차 진짜 별로에요...청결하지 않고 k5인데 블루투스 안되서 충격....엉따 없음,0
555,가스 절반 조금 넘게 있던거 절반 밑으로 떨어져서 넣고 갈려다 비행기 시간 늦을꺼 같아서 그냥 반납했는데가스비 5천도 안하는거 15000원 결제 하라고 하는 업체진짜 여행중 가장 기분 나빴음,0
