관련 태그 전체,콘텐츠 ID,콘텐츠명,주소,도로명주소,태그,간단소개,위도,경도,우편번호,전화번호,썸네일 이미지경로,page
"꽃,꽃집,기념품/소품,꽃다발,가능",CNTS_200000000007109,안나네꽃마을,제주특별자치도 제주시 노형동 759-3,제주특별자치도 제주시 한라대학로 79,"꽃,꽃집,쇼핑,관광기념품,상점/상가",제주국제공항과 가까운 곳에 자리 잡고 있어 여행 전후로 많은 사람들이 찾는 꽃집 안나네꽃마을.,33.4765121,126.4788415,,064-712-1577,,https://place.map.kakao.com/10065988#comment
"특산품,귤,한라봉,천혜향,황금향,착한가격 업소",CONT_000000000500737,올레바다,제주특별자치도 서귀포시 법환동 1278,제주특별자치도 서귀포시 이어도로 903-1,"특산품,귤,한라봉,천혜향,황금향,쇼핑,관광기념품,상점/상가","귤, 한라봉, 천혜향 등 직접 재배한 제주 특산 과일을 판매",33.23716,126.51119,63573,010-8663-7205,,https://place.map.kakao.com/18063357#comment
"꽃, 꽃집, 쇼핑,공용주차장,무료 WIFI,카드결제,현금결제,기념품/소품,꽃다발, 웨딩부케,가능",CNTS_200000000007111,얼리스프링플라워,제주특별자치도 제주시 이도2동 2029-5,제주특별자치도 제주시 구남동2길 45-12,"꽃,꽃집,쇼핑,관광기념품,상점/상가","작은 규모이지만 플라워 클래스와 웨딩, 화분, 가드닝을 모두 진행하고 있는 얼리스프링 플라워스튜디오.",33.4875778,126.5345648,,064-702-7123,,https://place.map.kakao.com/1285577911#comment
"공방,기념품,,아주 어려움",CNTS_000000000022837,몸냥공작소,제주특별자치도 제주시 애월읍 유수암리 2503-1,제주특별자치도 제주시 애월읍 하소로 595,"공방,기념품,쇼핑,관광기념품,상점/상가",귀엽고 제주스러운 유니크한 소품가게,33.430614,126.39747,63067,--,,https://place.map.kakao.com/1373673567#comment
"특산품,공방,기념품,쇼핑,관광기념품,상점/상가",CNTS_000000000021864,미앤제주,제주특별자치도 제주시 한림읍 금악리 산 30-12,제주특별자치도 제주시 한림읍 광산로 942,"특산품,공방,기념품,쇼핑,관광기념품,상점/상가",화산석과 제주의 향을 이용하여 나만의 디자인 아이템을 만들 수 있는 곳,33.34772,126.35681,63021,010-6405-3656,,https://place.map.kakao.com/19575513#comment
"쇼핑,기념품/소품,도예품 등",CNTS_200000000014096,아라도예,제주특별자치도 제주시 애월읍 광령리 1227-3,제주특별자치도 제주시 애월읍 광령6길 2,"쇼핑,럭셔리트래블인제주",김수현 작가의 제주식 분청사기,33.3701721,126.4819697,,010-3696-1573,,https://place.map.kakao.com/15476035#comment
#전통시장 #상설시장 #제주시 #동문시장,CNTS_200000000012175,동문시장 ,제주특별자치도 제주시 일도일동 1148-2,제주특별자치도 제주시 동문로 16,"전통시장,쇼핑,상점/상가,관광기념품","각종 갈옷, 한복, 옷감 등 포목점을 주로 이루는 상가건물형 상설시장",33.5127431,126.5283168,,064-722-3284,,https://place.map.kakao.com/8265854#comment
"서점,현금결제,카드결제,아주 어려움",CNTS_000000000020911,우생당,제주특별자치도 제주시 일도일동 1438,제주특별자치도 제주시 관덕로 42,"서점,쇼핑,관광기념품,상점/상가",1945년부터 운영하고 있는 제주시내 서점,33.5129944,126.5238266,,064-722-2107,,https://place.map.kakao.com/10707405#comment
"쇼핑, 복합쇼핑몰,공용주차장,현금결제,카드결제,화장실,음료대,유도 및 안내시설,엘리베이터,단차없음,장애인 화장실,승강기,쉬움",CNTS_000000000022833,시티오브드림즈,제주특별자치도 제주시 일도1동 1298-28,제주특별자치도 제주시 관덕로11길 17,"쇼핑,복합쇼핑몰,관광기념품,상점/상가,무장애관광","세계유명 도시, 꿈의 도시를 모티브로한 복합쇼핑몰",33.514656,126.525246,63277,064-702-6189,,https://place.map.kakao.com/1222692625#comment
"쇼핑,공방,기념품,공용주차장,현금결제,카드결제,무료 WIFI,편의점",CNTS_000000000021301,아코하루,제주특별자치도 제주시 도련일동 1731-13,제주특별자치도 제주시 매촌2길 80,"쇼핑,공방,기념품,관광기념품,상점/상가",도자기로 만든 멋진 소품,33.5096625,126.5904168,63333,064-784-5220,,https://place.map.kakao.com/26885580#comment
"특산품, 한라봉,착한가격 업소",CONT_000000000500760,한마음한라봉,제주특별자치도 제주시 애월읍 애월리 1827-1,제주특별자치도 제주시 애월읍 애월해안로 32,"특산품,한라봉,쇼핑,관광기념품,상점/상가",제주영농조합법인에서 운영하는 제주특산물 판매처,33.451775,126.308685,63043,064-799-3859,,정보없음
"혼자,친구,휴식/힐링,책방,서점",CNTS_200000000009174,책약방,제주특별자치도 제주시 구좌읍 종달리 1765,제주특별자치도 제주시 구좌읍 종달로5길 11,"혼자,친구,휴식/힐링,책방,서점,쇼핑,관광기념품,상점/상가",사람 대신 책이 지키는 책방,33.4840385,126.9014964,,,,https://place.map.kakao.com/180808078#comment
"쇼핑,잡화,책,엽서",CNTS_200000000008045,인연의숲,제주특별자치도 제주시 구좌읍 종달리 1769,제주특별자치도 제주시 구좌읍 종달로5길 17,"쇼핑,잡화,책,엽서,숲,관광기념품,상점/상가","종달리에 위치한 기록형 잡화점
",33.4880673,126.8804954,,010-2542-7278,,https://place.map.kakao.com/1390418527#comment
낚시,CNTS_000000000022548,용연낚시,제주특별자치도 제주시 용담2동 465,제주특별자치도 제주시 용담2동 465,"낚시,쇼핑,관광기념품,상점/상가",제주공항근처에 위치한 낚시용품 전문점이다.,33.513515,126.51328,,-6548,,정보없음
"꽃, 꽃집, 쇼핑,기념품/소품,꽃다발, 웨딩부케, 야외촬영부케,가능",CNTS_200000000007110,한라꽃방,제주특별자치도 서귀포시 서귀동 478-12,제주특별자치도 서귀포시 이중섭로 34,"꽃,꽃집,쇼핑,관광기념품,상점/상가",과거 이중섭이 머물며 많은 작품을 남겼던 생가. 그 주변으로 조성된 이중섭 문화의 거리. 이곳에는 이중섭 박물관을 비롯해 카페와 소품샵 등 다양한 볼거리가 들어서 있다. 그리고 그 자리에 40년을 머물며 과거와 현재를 아우르는 한라꽃방.,33.2449997,126.5643448,,064-733-3059,,https://place.map.kakao.com/9548632#comment
"쇼핑,기념품",CNTS_200000000007257,풍년상회,제주특별자치도 제주시 조천읍 조천리 2229-15,제주특별자치도 제주시 조천읍 신북로 220,"쇼핑,기념품,관광기념품,상점/상가",화려하지 않은 외관에 수수한 매력이 있는 소품가게이다.,33.5356003,126.6365084,,,,https://place.map.kakao.com/540657232#comment
"쇼핑,기념품",CNTS_200000000007251,큰손상회,제주특별자치도 제주시 구좌읍 행원리 1537-11,제주특별자치도 제주시 구좌읍 행원로1길 26-2,"쇼핑,기념품,관광기념품,상점/상가", 독특한 외관이 매력적인 기념품 가게이다.,33.554242,126.8004857,,,,https://place.map.kakao.com/1938104550#comment
"쇼핑,라탄,원데이클래스,카드결제,현금결제,드림캐처, 캔들, 악세사리, 라탄 소품",CNTS_200000000007334,마야블루,제주특별자치도 제주시 노형동 1052-27,제주특별자치도 제주시 월랑로6길 21,"쇼핑,라탄,원데이클래스,관광기념품,상점/상가",마야블루는 제주 시내의 주택가 사이에 작은 간판으로 자신의 존재를 알리고 있다. 이곳은 소품 판매와 함께 공방을 운영하면서 드림캐처와 캔들 등 직접 만들어 볼 수 있는 원데이 클래스도 진행하고 있다,33.4895696,126.4785925,,010-8515-2470,,https://place.map.kakao.com/856680032#comment
"쇼핑,휴식/힐링,공용주차장,카드결제,현금결제,탐나는전,영어,쉬움",CNTS_200000000011815,제주그림,제주특별자치도 서귀포시 신효동 1121-2,제주특별자치도 서귀포시 효돈로 94,"쇼핑,휴식/힐링,관광기념품,상점/상가",제주의 잘 알려지지 않은 문화유산을 제품을 통해 이야기한다.,33.2631103,126.6090828,,010-3904-1711,,https://place.map.kakao.com/1738934843#comment
"쇼핑,라탄,현금결제,카드결제,공용주차장,현금결제,카드결제,기념품/소품,라탄 소품, 악세사리, 인테리어 소품",CNTS_200000000007337,아리아,제주특별자치도 제주시 아라1동 6119,제주특별자치도 제주시 인다3길 5,"쇼핑,라탄,관광기념품,상점/상가","제주시 아라동 빌라 1층에 있는 쓸모있는 생활잡화점은 소품샵 이름 그대로 쓸모 있는 생활 잡화들이 가득한 곳이다. 특히 라탄 소재의 잡화들이 많은데, 여러 색상과 각양각색의 무늬를 가진 라탄 소품이 넘쳐난다.",33.4261379,126.5626925,,010-5149-9070,,https://place.map.kakao.com/24710774#comment
"한복,기념품,쇼핑",CNTS_200000000008616,천진낭만,제주특별자치도 제주시 우도면 연평리 1807,제주특별자치도 제주시 우도면 우도해안길 108,"한복,기념품,쇼핑,관광기념품,상점/상가","우도천진항 인근에 위치한 소품숍. 
",33.5033191,126.9556775,,010-4337-0120 ,,https://place.map.kakao.com/2135313552#comment
"혼자,커플,쇼핑,엽서,포스터",CNTS_200000000009177,언제라도,제주특별자치도 제주시 구좌읍 하도리 1568,제주특별자치도 제주시 구좌읍 문주란로5길 34-2,"혼자,커플,쇼핑,엽서,포스터,관광기념품,상점/상가",바닷가와 가까운 조용한 마을에 자리 잡은 서점,33.5204746,126.8875582,,010-2956-1087,,https://place.map.kakao.com/508054192#comment
특산품,CNTS_000000000022113,메이드인제주,제주특별자치도 제주시 조천읍 대흘리 1148-6,제주특별자치도 제주시 조천읍 중산간동로 804-16,"특산품,쇼핑,관광기념품,상점/상가",국민건강을 생각하는 기업 (주)메이드인제주,33.4918364,126.6680718,,064-758-0404,,https://place.map.kakao.com/27289839#comment
"쇼핑,특산품,기념품,지오브랜드,,공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움,지오브랜드",CNTS_000000000019322,마켓오름,제주특별자치도 서귀포시 서호동 24-6,제주특별자치도 서귀포시 이어도로 1061,"쇼핑,특산품,기념품,지오브랜드,관광기념품,상점/상가",직접 재배한 다양한 품종의 귤 및 수제식품 판매,33.24605,126.52413,63571,064-739-3223,,https://place.map.kakao.com/26509956#comment
"쇼핑,공방,지오브랜드,기념품,현금결제,카드결제,화장실,착한가격 업소,지오브랜드",CONT_000000000500753,지소울,제주특별자치도 제주시 화북일동 1972-5,제주특별자치도 제주시 진남로10길 7,"쇼핑,공방,지오브랜드,기념품,관광기념품,상점/상가",제주를 담는 비누판매와 체험이 가능한 온오프라인 공간,33.520097,126.5677523,63139,064-747-7205 ,,https://place.map.kakao.com/24998609#comment
"화장품,쇼핑,관광기념품,상점/상가",CNTS_000000000022120,제이어스,"제주특별자치도 제주시 이도2동 1176-67 ,805호",제주특별자치도 제주시 중앙로 217,"화장품,쇼핑,관광기념품,상점/상가","(주)제이어스는 (재)제주테크노파크가 전액 출자한 별도법인으로서, (재)제주테크노파크에서 추진하는 브랜드의 사업운영 및 관리를 담당하며 자체 화장품 브랜드인 '제이듀'와 '에코시아'를 보유하고 있습니다.",33.500313,126.53004,63208,064-702-2385,,https://place.map.kakao.com/13296130#comment
"커플,혼자,친구,휴식/힐링,쇼핑,사계절,청년,전시와 행사",CNTS_200000000009178,사슴책방,제주특별자치도 제주시 조천읍 대흘리 1514-1,제주특별자치도 제주시 조천읍 중산간동로 698-71,"커플,혼자,친구,휴식/힐링,쇼핑,사계절,청년,전시와 행사,관광기념품,상점/상가","일러스트 작가가 직접 운영하는 일러스트레이션, 그림 전문 서점",33.4958502,126.6588722,,010-7402-9077,,https://place.map.kakao.com/1528036410#comment
"쇼핑,기념품/소품,갈옷 등",CNTS_200000000014089,저지리약용작물유통센터,제주특별자치도 제주시 한경면 저지리 2114-178,제주특별자치도 제주시 한경면 저지12길 72-16,"쇼핑,럭셔리트래블인제주",갈빛 제주 라이프스타일을 제안하는 갈옷 장인,33.3368939,126.2634373,,064-796-8285,,https://place.map.kakao.com/1213624947#comment
"체험관광,액티비티,쇼핑,도자기,실내",CNTS_200000000008023,도예시선,제주특별자치도 제주시 구좌읍 종달리 930,제주특별자치도 제주시 구좌읍 종달논길 36-18,"체험관광,액티비티,쇼핑,도자기,실내,관광기념품,상점/상가",도자기 공방과 함께 운영하는 도자기 소품 가게 ,33.4880673,126.8804954,,010-5202-6705,,https://place.map.kakao.com/503324529#comment
"쇼핑,기념품",CNTS_000000000022703,바다보석,제주특별자치도 서귀포시 서귀동 480-6,제주특별자치도 서귀포시 중앙로4번길 20,"쇼핑,기념품,관광기념품,상점/상가","바다에서 주운 조개, 소라로 만드는 액세서리",33.2452871,126.5641716,,--,,https://place.map.kakao.com/1411410133#comment
"제주기념품, 제주특산품, 제주쇼핑,공용주차장",CNTS_000000000022362,이제주숍,제주특별자치도 제주시 이도이동 390,제주특별자치도 제주시 연삼로 473,"제주기념품,제주특산품,제주쇼핑,쇼핑,관광기념품,상점/상가",제주특별자치도가 운영하는 제주시내 특산품전시판매장,33.4994261,126.5405872,,064-751-3360,,https://place.map.kakao.com/25863931#comment
"쇼핑,슈퍼마켓,나들가게",CNTS_200000000008081,기영상회,제주특별자치도 제주시 한림읍 협재리 2447-4,제주특별자치도 제주시 한림읍 한림로 345,"쇼핑,슈퍼마켓,나들가게,관광기념품,상점/상가",협재해수욕장 가까이 위치한 바틀샵,33.3934382,126.2400058,,064-796-4715,,https://place.map.kakao.com/15710059#comment
"쇼핑,럭셔리트래블인제주,농수산,토종 제주푸른콩 된장 등",CNTS_200000000014091,푸른콩방주,제주특별자치도 서귀포시 중문동 1226,제주특별자치도 서귀포시 중산간서로 740,"쇼핑,럭셔리트래블인제주",전통과 종 다양성을 지켜야 한다는 사명,33.2632854,126.4361834,,064-738-7778,,https://place.map.kakao.com/1255717436#comment
"특산품,공용주차장,화장실",CNTS_000000000021580,제주시농협농산물직거래센터,제주특별자치도 제주시 일도2동 1,제주특별자치도 제주시 남광로 206,"특산품,쇼핑,관광기념품,상점/상가",농산물을 직거래 할 수 있는 제주농산물직거래 센터,33.502964,126.553696,63306,064-729-1551,,정보없음
"반려동물,반려동물동반,반려동물전용,예스펫존,반려동물동반입장,혼저옵서개,반려동물여행,파충류,귀뚜라미,분양,먹이주기체험,반려동물동반식당카페,공용주차장,화장실,무료 WIFI",CNTS_200000000014297,스마일러펫,제주특별자치도 제주시 애월읍 하귀1리 1138-5,제주특별자치도 제주시 애월읍 상고길 47,"반려동물,반려동물동반입장,파충류,반려동물동반_식당카페","스마일러펫은 악어, 파충류, 열대어, 육지거북을 관람할 수 있고, 토끼, 돼지, 염소 등 당근 주기 체험도 가능한 곳이다.",33.46993,126.4159529,,,,https://place.map.kakao.com/410283209#comment
"쇼핑,기념품,화장실,무료 WIFI,공용주차장",CNTS_200000000007202,바이제주,제주특별자치도 제주시 용담3동 1023-2,제주특별자치도 제주시 서해안로 626,"쇼핑,기념품,관광기념품,상점/상가", 공항근처  기념품 가게이다.,33.5166158,126.5041244,,064-745-1134,,https://place.map.kakao.com/1551616047#comment
"반려동물,반려동물동반,반려동물전용,예스펫존,반려동물동반입장,혼저옵서개,강아지,반려동물여행,반려동물간식,사골닭죽,토마토미트볼,돼지안심카레,화식,양사골,우유껌,말고기육포,꿀꿀칩,반려동물공간(기타)",CNTS_200000000014235,펫마마스푸드,제주특별자치도 서귀포시 대정읍 하모리 634-6,제주특별자치도 서귀포시 대정읍 최남단해안로127번길 13,"반려동물,반려동물동반입장,사골닭죽,토마토미트볼,돼지안심카레,화식,양사골,우유껌,말고기육포,꿀꿀칩,반려동물공간_기타","펫마마스푸드는 청정 제주를 담아 사료와 간식, 베이커리를 핸드메이드로 반려동물의 올바른 먹거리를 만드는 곳이다. ",33.2115793,126.2589391,,0507-1347-4504,,https://place.map.kakao.com/973549087#comment
"혼자,친구,커플,아이,쇼핑,사계절,비누,캔들,소품샵,제주비누,저온숙성비누,힐링비누,월정리소품가게,애월소품가게",CNTS_200000000009193,팰롱팰롱 빛나는,제주특별자치도 제주시 구좌읍 월정리 546,제주특별자치도 제주시 구좌읍 월정3길 58,"혼자,친구,커플,아이,쇼핑,사계절,비누,캔들,소품샵,제주비누,저온숙성비누,힐링비누,월정리소품가게,애월소품가게,관광기념품,상점/상가",제주의 풍경을 비누에 담다,33.5468086,126.7838117,,064-784-5556,,정보없음
"체험,공용주차장,화장실,무료 WIFI",CNTS_000000000022310,다나한한복,제주특별자치도 제주시 도남동 81-10,제주특별자치도 제주시 연삼로 355,"체험,쇼핑,관광기념품,상점/상가","웨딩한복, 혼주한복, 돌잔치 가족한복 등 제주한복대여 및 맞춤 전문점",33.492897,126.53028,63205,064-722-0022,,https://place.map.kakao.com/26561003#comment
"특산품,기념품,",CNTS_000000000022414,곱은과일,제주특별자치도 서귀포시 서귀동 286-5,제주특별자치도 서귀포시 동문로 10,"특산품,기념품,쇼핑,관광기념품,상점/상가",동문시장에 위치한 서귀포 위미농협 감귤 전문 판매장,33.2519,126.56226,63591,010-2834-2242,,https://place.map.kakao.com/880465924#comment
"쇼핑,기념품,관광기념품,상점/상가,현금결제,카드결제",CNTS_000000000022358,당근가게,제주특별자치도 제주시 용담일동 2828-1,제주특별자치도 제주시 서광로5길 4,"쇼핑,기념품,관광기념품,상점/상가",제주도의 상설프리마켓. 제주도의 작가분들이 직접 만드신 제주도만의 소품들을 만날 수 있는곳.,33.5006538,126.5144791,,064-756-3999,,정보없음
"쇼핑,서점,기념품,화장실,아주 어려움",CNTS_000000000020422,소심한책방,제주특별자치도 제주시 구좌읍 종달리 737,제주특별자치도 제주시 구좌읍 종달동길 29-6,"쇼핑,서점,기념품,관광기념품,상점/상가","동쪽 마을 끝자락, 작고 작은 동네 책방",33.49149,126.903114,63364,070-8147-0848,,https://place.map.kakao.com/26407171#comment
기념품,CNTS_000000000022025,우도아이,제주특별자치도 제주시 우도면 연평리 1290-6,제주특별자치도 제주시 우도면 우도해안길 814,"기념품,쇼핑,관광기념품,상점/상가",우도의 아름다운 바다와 풍경을 담은 핸드메이드 기념품샵,33.5033191,126.9556775,,064-784-8689,,https://place.map.kakao.com/330839054#comment
"공방,착한가격 업소",CONT_000000000500739,자연이야기,제주특별자치도 제주시 월랑로 6 21 (노형동),제주특별자치도 제주시 월랑로 6 21 (노형동),"공방,쇼핑,관광기념품,상점/상가","천연비누,천연화장품, 소이캔들 전문 공방",33.489986,126.47918,,010-3389-1388,,정보없음
"기념품,공용주차장,현금결제",CNTS_000000000020318,샘스제주캔들,제주특별자치도 제주시 애월읍 애월리 2533-2,제주특별자치도 제주시 애월읍 애월로1길 26-2,"기념품,쇼핑,관광기념품,상점/상가",애월 리치망고 옆에 위치한 핸드메이드 캔들샵,33.4625986,126.3099425,,010-9869-3309,,https://place.map.kakao.com/107554446#comment
"꽃집,쇼핑,관광기념품,상점/상가,공용주차장,현금결제,카드결제,화장실,유도 및 안내시설,경보 및 피난시설",CNTS_000000000020679,그꽃,제주특별자치도 제주시 구좌읍 월정리 417,제주특별자치도 제주시 구좌읍 월정1길 55,"꽃집,쇼핑,관광기념품,상점/상가",변하지 않는 프리저브드 플라워 전문 꽃집,33.556217,126.79276,,010-9115-7405,,https://place.map.kakao.com/1755403357#comment
"쇼핑,소품,기념품,원데이클래스,화장실,무료 WIFI,현금결제,카드결제,카드결제,현금결제,기념품/소품",CNTS_200000000007247,모이소,제주특별자치도 제주시 연동 262-51,제주특별자치도 제주시 신광로8길 14,"쇼핑,소품,기념품,원데이클래스,관광기념품,상점/상가",제주의 특별함을 간직하고 알리는 모이소 .,33.4871077,126.4886002,,064-745-6454 ,,https://place.map.kakao.com/144933835#comment
"쇼핑,기념품",CNTS_000000000022039,더아일랜더,제주특별자치도 제주시 일도1동 1251,제주특별자치도 제주시 중앙로7길 31 102호,"쇼핑,기념품,관광기념품,상점/상가",중앙로에 자리한 제주도아트-기념품 매장,33.5149044,126.5281048,,0507-1317-5562,,https://place.map.kakao.com/22304721#comment
특산품,CNTS_000000000021338,돌코롱,제주특별자치도 서귀포시 대정읍 가파리 588,제주특별자치도 서귀포시 대정읍 마라로 41,"특산품,쇼핑,관광기념품,상점/상가",마라도에서 정통 한과를 제조 판매하는 돌코롱입니다.,33.119938,126.26721,63515,064-792-6337,,https://place.map.kakao.com/1624187079#comment
"카페,쇼핑,라탄,음료, 라탄소품",CNTS_200000000007338,옥수카페,제주특별자치도 제주시 애월읍 소길리 652-1,제주특별자치도 제주시 애월읍 소길1길 19,"카페,쇼핑,라탄,관광기념품,상점/상가",조용한 마을 속 돌담길을 지나 들어가면 라탄 소품을 판매하는 골목 카페인 옥수카페,33.4194584,126.383518,,010-5520-6516,,https://place.map.kakao.com/481425144#comment
"쇼핑,기념품,공용주차장",CNTS_000000000022047,베리제주,제주특별자치도 제주시 애월읍 고내리 1168,제주특별자치도 제주시 애월읍 고내로7길 45-14,"쇼핑,기념품,관광기념품,상점/상가","제주를 테마로 한 디자인문화상품 수백가지 뿐만 아니라 제주 농수산물로 만든 식품류, 제주에 관련된 서적, 제주 뮤지션들의 음반도 한자리에",33.4665659,126.3364409,,064-746-7520,,https://place.map.kakao.com/459401271#comment
"쇼핑,기념품,,현금결제",CNTS_000000000021003,언타이틀보틀샵,제주특별자치도 서귀포시 성산읍 오조리 747-4,제주특별자치도 서귀포시 성산읍 오조로 93,"쇼핑,기념품,관광기념품,상점/상가",일상 더하기 위트 = B일상 잡화점,33.462036,126.91461,63639,--,,https://place.map.kakao.com/912067075#comment
"특산품,체험관광,6차산업,쇼핑,관광기념품,상점/상가,착한가격 업소",CONT_000000000500746,제주민속식품,제주특별자치도 제주시 구좌읍 송당리 2744-2,제주특별자치도 제주시 구좌읍 번영로 2178,"특산품,체험관광,6차산업,쇼핑,관광기념품,상점/상가","꿩엿, 전복엿 등 다양한 제주 건강식품 제조 및 판매
",33.4281,126.75104,63355,064-782-1500,,https://place.map.kakao.com/19090194#comment
"쇼핑,기념품,,현금결제,카드결제,화장실,무료 WIFI",CNTS_000000000020717,산호상점,제주특별자치도 제주시 구좌읍 김녕리 2464,제주특별자치도 제주시 구좌읍 김녕로2길 20,"쇼핑,기념품,관광기념품,상점/상가",산호상점에서 만들어낸 제주스러움,33.553776,126.74344,63357,064-782-7320,,정보없음
"특산품,갈치,오메기떡,착한가격 업소",CONT_000000000500730,삼다닷컴,제주특별자치도 제주시 도남동 834,제주시 연삼로 295-1,"특산품,갈치,오메기떡,쇼핑,관광기념품,상점/상가",No.1 제주농수축산 전문 쇼핑몰 직매장,33.492626,126.52447,,064-752-0001,,https://place.map.kakao.com/17758050#comment
"쇼핑,기념품,공방,공용주차장,화장실",CNTS_000000000020310,뷰티풀제주,제주특별자치도 제주시 용담3동 519-2,제주특별자치도 제주시 용마로4길 5-3,"쇼핑,기념품,공방,관광기념품,상점/상가",예쁘고 아기자기한 도자기 공예품 샵,33.5158997,126.5058954,63150,064-725-8246,,https://place.map.kakao.com/9896714#comment
"쇼핑, 친환경",CNTS_000000000022749,바이올가 서귀포영어마을점,제주특별자치도 서귀포시 대정읍 보성리 2372-2,제주특별자치도 서귀포시 대정읍 에듀시티로 40,"쇼핑,친환경,관광기념품,상점/상가","채소, 과일, 양곡, 가공식품등을 판매하는 친환경식품판매점",33.2582832,126.2706274,,064-792-6242,,https://place.map.kakao.com/1273346864#comment
