개방시설명,개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
논산시시민운동장,시민운동장,다목적경기장,설날연휴+추석연휴,07:00,22:00,07:00,22:00,Y,8,(평일 육상)50000원+(평일 축구)150000원+(주말 육상)100000원+(주말 축구,4,75000+150000+225000+300000,30000,17943,무대조명+음향시설+관람석 등,방문+전화,,충청남도 논산시 체육로 110,,논산시공공시설사업소,공공시설사업소,041-746-8413,http://www.nonsan.go.kr/public/html/sub01/010101.html,36.19498536,127.1019243,2022-05-31,4540000,충청남도 논산시
정선읍 녹송공원,주차장,기타,연중무휴,09:00,21:00,09:00,18:00,N,,,,,100,,,방문예약+전화예약,,강원도 정선군 정선읍 녹송로 57-28,강원도 정선군 정선읍 봉양리 33-5,강원도 정선군청,정선읍행정복지센터,033-560-2768,,37.38258223,128.6696775,2022-09-27,4290000,강원도 정선군
정선읍 공설운동장,공설운동장,다목적경기장,공휴일,09:00,18:00,09:00,18:00,N,,,,,1000,,,방문예약+전화예약,,강원도 정선군 정선읍 봉양1길 3-33,강원도 정선군 정선읍 봉양리 104,강원도 정선군청,정선읍행정복지센터,033-560-2768,,37.37764271,128.6655083,2022-09-27,4290000,강원도 정선군
정선읍 행정복지센터 1층 회의실,정선읍 행정복지센터,회의실,공휴일,09:00,18:00,09:00,18:00,N,,,,,15,40,,방문예약+전화예약,,강원도 정선군 정선읍 정선로 1331,강원도 정선군 정선읍 봉양리 210-1,강원도 정선군청,정선읍행정복지센터,033-560-2605,,37.37976844,128.6617001,2022-09-27,4290000,강원도 정선군
정선읍 행정복지센터 2층 회의실,정선읍 행정복지센터,회의실,공휴일,09:00,18:00,09:00,18:00,N,,,,,40,150,,방문예약+전화예약,,강원도 정선군 정선읍 정선로 1331,강원도 정선군 정선읍 봉양리 210-1,강원도 정선군청,정선읍행정복지센터,033-560-2605,,37.37976844,128.6617001,2022-09-27,4290000,강원도 정선군
안동체육공원,안동체육공원,다목적경기장,연중무휴,09:00,22:00,09:00,22:00,N,,,,,50,,족구장+다목적구장+게이트볼장,,,경상남도 김해시 삼안로112번길 20-111,경상남도 김해시 안동 11,경상남도 김해시도시개발공사,체육시설관리팀,055-320-0437,www.ghdc.or.kr,35.24174116,128.9229988,2022-06-15,5350000,경상남도 김해시
어방체육공원,어방체육공원,축구장,연중무휴,09:00,22:00,09:00,22:00,Y,,,,,100,,축구장,인터넷,,,경상남도 김해시 어방동 653-1,경상남도 김해시도시개발공사,체육시설관리팀,055-320-0437,www.ghdc.or.kr,35.24270785,128.8976072,2022-06-15,5350000,경상남도 김해시
어방체육공원,어방체육공원,다목적경기장,연중무휴,09:00,22:00,09:00,22:00,N,,,,,50,,테니스장+다목적구장,,,,경상남도 김해시 어방동 653-1,경상남도 김해시도시개발공사,체육시설관리팀,055-320-0437,www.ghdc.or.kr,35.24270785,128.8976072,2022-06-15,5350000,경상남도 김해시
장유체육공원,장유체육공원,축구장,연중무휴,09:00,22:00,09:00,22:00,Y,,,,,100,,축구장,인터넷,,경상남도 김해시 대청로 345(부곡동),경상남도 김해시 부곡동 916,경상남도 김해시도시개발공사,체육시설관리팀,055-320-0437,www.ghdc.or.kr,35.20328228,128.7953504,2022-06-15,5350000,경상남도 김해시
장유체육공원,장유체육공원,다목적경기장,연중무휴,09:00,22:00,09:00,22:00,N,,,,,60,,"족구장,다목적구장,농구장,인라인장",,,경상남도 김해시 대청로 345(부곡동),경상남도 김해시 부곡동 916,경상남도 김해시도시개발공사,체육시설관리팀,055-320-0437,www.ghdc.or.kr,35.20328228,128.7953504,2022-06-15,5350000,경상남도 김해시
임호체육공원,임호체육공원,축구장,연중무휴,09:00,22:00,09:00,22:00,Y,,,,,100,,축구장,인터넷,,경상남도 김해시 금관대로 1138,경상남도 김해시 외동 산 28-1,경상남도 김해시도시개발공사,체육시설관리팀,055-320-0437,www.ghdc.or.kr,35.2286686,128.8499905,2022-06-15,5350000,경상남도 김해시
임호체육공원,임호체육공원,다목적경기장,연중무휴,09:00,22:00,09:00,22:00,N,,,,,60,,다목적구장1면+게이트볼장1면+족구장2면,,,경상남도 김해시 금관대로 1138,경상남도 김해시 외동 산 28-1,경상남도 김해시도시개발공사,체육시설관리팀,055-320-0437,www.ghdc.or.kr,35.2286686,128.8499905,2022-06-15,5350000,경상남도 김해시
분성체육공원,분성체육공원,축구장,연중무휴,09:00,22:00,09:00,22:00,Y,,,,,100,,축구장,인터넷,,,경상남도 김해시 동상동 67,경상남도 김해시도시개발공사,체육시설관리팀,055-320-0437,www.ghdc.or.kr,35.24081242,128.8888284,2022-06-15,5350000,경상남도 김해시
분성체육공원,분성체육공원,다목적경기장,연중무휴,09:00,22:00,09:00,22:00,N,,,,,80,,게이트볼장1면+정구장2면+풋살장1면+족구장1면,,,,경상남도 김해시 동상동 67,경상남도 김해시도시개발공사,체육시설관리팀,055-320-0437,www.ghdc.or.kr,35.24081242,128.8888284,2022-06-15,5350000,경상남도 김해시
김해문화의재단 김해문화의전당 비디오스튜디오,김해문화의재단,촬영,토+일+법정공휴일,09:00,22:00,00:00,00:00,Y,1,(9시~18시)27500+(19시~22시)33000,1,27500,12,121,오퍼레이터(비용 별도),전화+방문,https://media.gasc.or.kr/media/sub03/sub03_02.jsp,경상남도 김해시 김해대로 2060,경상남도 김해시 내동 1131,경상남도 김해문화재단,영상미디어팀,055-320-1272,www.gimhae.go.kr/yes,35.24384599,128.8693949,2022-06-15,5350000,경상남도 김해시
김해문화의재단 김해문화의전당 오디오녹음실,김해문화의재단,녹음,토+일+법정공휴일,09:00,22:00,00:00,00:00,Y,1,(9시~18시)33000+(19시~22시)39600,1,33000,16,63,오퍼레이터(비용 별도),전화+방문,https://media.gasc.or.kr/media/sub03/sub03_02.jsp,경상남도 김해시 김해대로 2060,경상남도 김해시 내동 1131,경상남도 김해문화재단,영상미디어팀,055-320-1272,www.gimhae.go.kr/yes,35.24384599,128.8693949,2022-06-15,5350000,경상남도 김해시
김해문화재단 클레이아크김해 시청각실,김해문화의재단,다목적실,월+신정(1월1일)+명절연휴,09:00,18:00,09:00,18:00,Y,4,88000,1,20000,110,192,빔프로젝트+마이크(음향시설)+책상+의자(요금별도),전화+인터넷+팩스,https://www.clayarch.org/resources/web/clayarch/images/sub/sub_tab13_img4.jpg,경상남도 김해시 진례면 진례로 275-51,경상남도 김해시 송정리 358 클레이아크,경상남도 김해문화재단,미술관지원팀,055-340-7015,www.gimhae.go.kr/yes,35.25098253,128.7448018,2022-06-15,5350000,경상남도 김해시
김해문화재단 김해문화의전당영상작업실,김해문화의재단,기타,토+일+법정공휴일,09:00,22:00,00:00,00:00,Y,1,(9시~18시)11000+(19시~22시)13200,1,11000,15,23,TV+PC,전화+방문,https://media.gasc.or.kr/media/sub03/sub03_02.jsp,경상남도 김해시 김해대로 2060,경상남도 김해시 내동 1131,경상남도 김해문화재단,영상미디어팀,055-320-1272,www.gimhae.go.kr/yes,35.24384599,128.8693949,2022-06-15,5350000,경상남도 김해시
김해문화재단 김해문화의전당영상편집실,김해문화의재단,기타,토+일+법정공휴일,09:00,22:00,00:00,00:00,Y,1,(9시~18시)55000+(19시~22시)66000,1,55000,15,51,PC(15),전화+방문,https://media.gasc.or.kr/media/sub03/sub03_02.jsp,경상남도 김해시 김해대로 2060,경상남도 김해시 내동 1131,경상남도 김해문화재단,영상미디어팀,055-320-1272,www.gimhae.go.kr/yes,35.24384599,128.8693949,2022-06-15,5350000,경상남도 김해시
김해문화재단 김해문화의전당멀티미디어강의실,김해문화의재단,강의실,토+일+법정공휴일,09:00,22:00,00:00,00:00,Y,1,(9시~18시)33000+(19시~22시)39600,1,33000,40,99,TV+마이크(음향시설),전화+방문,https://media.gasc.or.kr/media/sub03/sub03_02.jsp,경상남도 김해시 김해대로 2060,경상남도 김해시 내동 1131,경상남도 김해문화재단,영상미디어팀,055-320-1272,www.gimhae.go.kr/yes,35.24384599,128.8693949,2022-06-15,5350000,경상남도 김해시
김해문화재단 김해문화의전당시청각실,김해문화의재단,다목적실,토+일+법정공휴일,09:00,22:00,00:00,00:00,Y,1,(9시~18시)44000+(19시~22시)52800,1,44000,96,132,빔프로젝트+마이크(음향시설)+오퍼레이터(비용 별도),전화+방문,https://media.gasc.or.kr/media/sub03/sub03_02.jsp,경상남도 김해시 김해대로 2060,경상남도 김해시 내동 1131,경상남도 김해문화재단,영상미디어팀,055-320-1272,www.gimhae.go.kr/yes,35.24384599,128.8693949,2022-06-15,5350000,경상남도 김해시
김해문화재단 김해한옥체험관,김해문화의재단,마당(전통혼례),연중무휴,12:00,16:00,12:00,16:00,Y,3,300000,,,200,153,신부대기실+폐백실,전화+방문,http://m.ghhanok.or.kr/mhanok/renewal/sub01.jpg,경상남도 김해시 가락로93번길 40(봉황동),경상남도 김해시 가락로93번길 40 김해한옥체험관,경상남도 김해문화재단,문화도시팀,055-322-4735,www.ghhanok.or.kr/index.do,35.2340834,128.876994,2022-06-15,5350000,경상남도 김해시
"알프스시네마(1, 2관)",영남알프스 복합웰컴센터,기타,월,09:00,22:00,09:00,22:00,Y,,6000,,,303,2103.92,알프스 시네마1관+알프스 시네마2관+매점,인터넷+방문,https://all.ulju.ulsan.kr/ynawc,울산광역시 울주군 상북면 알프스온천5길 103-9,울산광역시 울주군 상북면 등억알프스리 518,울산광역시 울주군,관광과,052-204-2931,https://all.ulju.ulsan.kr/ynawc,35.5563441,129.0676145,2022-07-01,3730000,울산광역시 울주군
번개맨체험관,영남알프스 복합웰컴센터,기타,월,09:00,18:00,09:00,18:00,Y,,체험별 9000,,,100,928.32,로드기차+번개우주선+번개미로+수유실,인터넷+방문,https://all.ulju.ulsan.kr/ynawc,울산광역시 울주군 상북면 알프스온천5길 103-9,울산광역시 울주군 상북면 등억알프스리 518,울산광역시 울주군,관광과,052-204-2934,https://all.ulju.ulsan.kr/ynawc,35.5563441,129.0676145,2022-07-01,3730000,울산광역시 울주군
강동문화복지회관 연습실,구미시 강동문화복지회관,기타,월,09:00,22:00,09:00,22:00,Y,4,40000,,,26,119,방송장비,방문+우편+메일,https://www.gumi.go.kr/artsgd/contents.do?mId=0104010000,경상북도 구미시 인동가산로 392,경상북도 구미시 구평동 235,경상북도 구미시청,문화예술회관,054-480-2952,https://www.gumi.go.kr/artsgd/main.do,36.09009129,128.4546931,2022-05-09,5080000,경상북도 구미시
강동문화복지회관 체육관,구미시 강동문화복지회관,체육관,연중무휴,09:00,21:00,09:00,18:00,Y,4,(평일)60000+(주말 및 공휴일)72000+(초과사용료)기본사용료의 20프로 가산,1,,134,617,방송장비+무대장치+빔프로젝트,방문+우편+메일,https://www.gumi.go.kr/artsgd/contents.do?mId=0104010000,경상북도 구미시 인동가산로 392,경상북도 구미시 구평동 235,경상북도 구미시청,문화예술회관,054-480-2955,https://www.gumi.go.kr/artsgd/main.do,36.09015771,128.4547887,2022-05-09,5080000,경상북도 구미시
강동문화복지회관 세미나실1,구미시 강동문화복지회관,회의실,연중무휴,09:00,18:00,09:00,18:00,Y,4,(평일)20000+(주말 및 공휴일)24000+(초과사용료)기본사용료의 20프로 가산,1,,20,41,PC+음향장비+LED TV(65인치),방문+우편+메일,https://www.gumi.go.kr/artsgd/contents.do?mId=0104010000,경상북도 구미시 인동가산로 392,경상북도 구미시 구평동 235,경상북도 구미시청,문화예술회관,054-480-2955,https://www.gumi.go.kr/artsgd/main.do,36.0900963,128.4546516,2022-05-09,5080000,경상북도 구미시
강동문화복지회관 세미나실2,구미시 강동문화복지회관,회의실,연중무휴,09:00,18:00,09:00,18:00,Y,4,(평일)20000+(주말 및 공휴일)24000+(초과사용료)기본사용료의 20프로 가산,1,,30,57,PC+음향장비+LED TV(65인치),방문+우편+메일,https://www.gumi.go.kr/artsgd/contents.do?mId=0104010000,경상북도 구미시 인동가산로 392,경상북도 구미시 구평동 235,경상북도 구미시청,문화예술회관,054-480-2955,https://www.gumi.go.kr/artsgd/main.do,36.0900963,128.4546516,2022-05-09,5080000,경상북도 구미시
강동문화복지회관 다목적실1,구미시 강동문화복지회관,다목적실,연중무휴,09:00,18:00,09:00,18:00,Y,4,(평일)40000+(주말 및 공휴일)48000+(초과사용료)기본사용료의 20프로 가산,1,,20,92,PC+음향장비+LED TV(65인치),방문+우편+메일,https://www.gumi.go.kr/artsgd/contents.do?mId=0104010000,경상북도 구미시 인동가산로 392,경상북도 구미시 구평동 235,경상북도 구미시청,문화예술회관,054-480-2955,https://www.gumi.go.kr/artsgd/main.do,36.0900963,128.4546516,2022-05-09,5080000,경상북도 구미시
강동문화복지회관 다목적실2,구미시 강동문화복지회관,다목적실,연중무휴,09:00,18:00,09:00,18:00,Y,4,(평일)40000+(주말 및 공휴일)48000+(초과사용료)기본사용료의 20프로 가산,1,,15,71,PC+음향장비+LED TV(65인치),방문+우편+메일,https://www.gumi.go.kr/artsgd/contents.do?mId=0104010000,경상북도 구미시 인동가산로 392,경상북도 구미시 구평동 235,경상북도 구미시청,문화예술회관,054-480-2955,https://www.gumi.go.kr/artsgd/main.do,36.0900963,128.4546516,2022-05-09,5080000,경상북도 구미시
강동문화복지회관 강좌실1,구미시 강동문화복지회관,강의실,연중무휴,09:00,18:00,09:00,18:00,Y,4,(평일)30000+(주말 및 공휴일)36000+(초과사용료)기본사용료의 20프로 가산,1,,20,60,PC+음향장비+LED TV(60인치),방문+우편+메일,https://www.gumi.go.kr/artsgd/contents.do?mId=0104010000,경상북도 구미시 인동가산로 392,경상북도 구미시 구평동 235,경상북도 구미시청,문화예술회관,054-480-2955,https://www.gumi.go.kr/artsgd/main.do,36.0900963,128.4546516,2022-05-09,5080000,경상북도 구미시
강동문화복지회관 강좌실2,구미시 강동문화복지회관,강의실,연중무휴,09:00,18:00,09:00,18:00,Y,4,(평일)30000+(주말 및 공휴일)36000+(초과사용료)기본사용료의 20프로 가산,1,,20,60,PC+음향장비+LED TV(60인치),방문+우편+메일,https://www.gumi.go.kr/artsgd/contents.do?mId=0104010000,경상북도 구미시 인동가산로 392,경상북도 구미시 구평동 235,경상북도 구미시청,문화예술회관,054-480-2955,https://www.gumi.go.kr/artsgd/main.do,36.0900963,128.4546516,2022-05-09,5080000,경상북도 구미시
강동문화복지회관 강좌실3,구미시 강동문화복지회관,강의실,연중무휴,09:00,18:00,09:00,18:00,Y,4,(평일)30000+(주말 및 공휴일)36000+(초과사용료)기본사용료의 20프로 가산,1,,20,49,PC+음향장비+LED TV(60인치),방문+우편+메일,https://www.gumi.go.kr/artsgd/contents.do?mId=0104010000,경상북도 구미시 인동가산로 392,경상북도 구미시 구평동 235,경상북도 구미시청,문화예술회관,054-480-2955,https://www.gumi.go.kr/artsgd/main.do,36.0900963,128.4546516,2022-05-09,5080000,경상북도 구미시
비산나루터 체육공원,비산나루터 체육공원,기타,연중무휴,09:00,21:00,09:00,18:00,N,0,,0,0,,932,게이트볼장+족구장,방문+전화,,,경상북도 구미시 비산동 41-3,경상북도 구미시청,비산동,054-480-7632,,36.123883,128.383851,2022-05-09,5080000,경상북도 구미시
비산동 (구)체육공원,비산동 (구)체육공원,족구장,연중무휴,09:00,21:00,09:00,18:00,N,0,,0,0,,602,족구장,,,,경상북도 구미시 비산동 362-1,경상북도 구미시청,비산동,054-480-7632,,36.122009,128.378538,2022-05-09,5080000,경상북도 구미시
비산동 주민정보이용실,비산동 주민센터,기타,토+일+공휴일,09:00,18:00,00:00,00:00,N,0,,0,0,2,,정보이용시설(컴퓨터2+프린트1),방문,,경상북도 구미시 비산로 4,경상북도 구미시 공단동 112-2,경상북도 구미시청,비산동,054-480-7627,,36.119505,128.372255,2022-05-09,5080000,경상북도 구미시
사곡동 동네체육시설,사곡동 동네체육시설,족구장,연중무휴(코로나19 사태로 인한 잠정 폐쇄),00:00,23:59,00:00,23:59,N,,,,,,809,족구장,,,,경상북도 구미시 사곡동 435-4,경상북도 구미시청,상모사곡동,054-480-7706,,36.09776892,128.3526882,2022-05-09,5080000,경상북도 구미시
사곡동 게이트볼장,사곡동 게이트볼장,기타,연중무휴,00:00,23:59,00:00,23:59,N,,,,,,487,게이트볼장,,,,경상북도 구미시 사곡동 699,경상북도 구미시청,상모사곡동,054-480-7706,,36.093035,128.356786,2022-05-09,5080000,경상북도 구미시
상모동 게이트볼장,상모동 체육시설,기타,연중무휴,00:00,23:59,00:00,23:59,N,,,,,,731,게이트볼장,,,경상북도 구미시 상모로 34,경상북도 구미시 상모동 20-2,경상북도 구미시청,상모사곡동,054-480-7706,,36.08884701,128.353541,2022-05-09,5080000,경상북도 구미시
상록공원 게이트볼장,상록공원 게이트볼장,기타,연중무휴,00:00,23:59,00:00,23:59,N,,,,,,1538,게이트볼장,,,,경상북도 구미시 사곡동 678-4,경상북도 구미시청,상모사곡동,054-480-7706,,36.096284,128.357871,2022-05-09,5080000,경상북도 구미시
여울공원 배드민턴장,여울공원,배드맨턴장,연중무휴,00:00,23:59,00:00,23:59,N,,,,,,2100,배드민턴장,,,,경상북도 구미시 상모동 63-1,경상북도 구미시청,상모사곡동,054-480-7706,,36.089456,128.357466,2022-05-09,5080000,경상북도 구미시
한울공원 배드민턴장,한울공원,배드맨턴장,연중무휴,00:00,23:59,00:00,23:59,N,,,,,,2100,배드민턴장,,,,경상북도 구미시 상모동 69-1,경상북도 구미시청,상모사곡동,054-480-7706,,36.087272,128.356799,2022-05-09,5080000,경상북도 구미시
다숲공원 농구장,다숲공원,농구장,연중무휴,00:00,23:59,00:00,23:59,N,,,,,,3849,농구장,,,,경상북도 구미시 상모동 76-2,경상북도 구미시청,상모사곡동,054-480-7706,,36.083534,128.355418,2022-05-09,5080000,경상북도 구미시
율하체육관 체육관,율하체육관,배드맨턴장,매주 일요일,06:00,22:00,09:00,18:00,Y,,,,,,,,방문,,경상남도 김해시 율하2로 258,경상남도 김해시 관동동 1123-1,경상남도 김해시도시개발공사,장유스포츠센터,055-329-1039,www.ghdc.or.kr,35.17819567,128.8213399,2022-06-15,5350000,경상남도 김해시
율하체육관 다목적실,율하체육관,다목적실,매주 일요일,10:00,21:00,00:00,00:00,Y,,,,,,,,방문,,경상남도 김해시 율하2로 258,경상남도 김해시 관동동 1123-1,경상남도 김해시도시개발공사,장유스포츠센터,055-329-1039,www.ghdc.or.kr,35.17819567,128.8213399,2022-06-15,5350000,경상남도 김해시
장유스포츠센터 젤미다목적구장,장유스포츠센터,다목적경기장,연중무휴,00:00,00:00,00:00,00:00,N,,,,,,,,전화+방문,,경상남도 김해시 번화2로 72(삼문동),경상남도 김해시 삼문동 695,경상남도 김해시도시개발공사,장유스포츠센터,055-312-0445,www.ghdc.or.kr,35.19572118,128.8049459,2022-06-15,5350000,경상남도 김해시
해동이국민체육센터 수영장,해동이국민체육센터,기타,매주 일요일,06:00,21:00,09:00,18:00,Y,,,,,103,,25m×5레인(성인풀)+25m×1레인(장애인풀)+15m×2레인(유아풀),인터넷+방문,,경상남도 김해시 삼계로 136(삼계동),경상남도 김해시 삼계동 산 2-4,경상남도 김해시도시개발공사,해동이스포츠센터팀,055-311-9265,www.ghdc.or.kr,35.2627407,128.8774193,2022-06-15,5350000,경상남도 김해시
동부스포츠센터 수영장,동부스포츠센터,기타,둘째 주 금+넷째 주 금,06:00,22:00,09:00,18:00,Y,,,,,,,25m×6레인(성인풀)+15m×4레인(유아풀)+수심:성인풀1.3m+유아풀 0.7m,인터넷+방문,,경상남도 김해시 신어산길 44,경상남도 김해시 삼방동 840-2,경상남도 김해시도시개발공사,동부스포츠센터,055-336-9318,www.ghdc.or.kr,35.25635391,128.9073731,2022-06-15,5350000,경상남도 김해시
동부스포츠센터 헬스장,동부스포츠센터,기타,둘째 주 금+넷째 주 금,06:00,22:00,10:00,18:00,Y,,,,,,,,인터넷+방문,,경상남도 김해시 신어산길 44,경상남도 김해시 삼방동 840-2,경상남도 김해시도시개발공사,동부스포츠센터,055-336-9318,www.ghdc.or.kr,35.25635391,128.9073731,2022-06-15,5350000,경상남도 김해시
동부스포츠센터 체육관,동부스포츠센터,배드맨턴장,둘째 주 금+넷째 주 금,06:00,22:00,06:00,18:00,Y,,,,,,,,인터넷+방문,,경상남도 김해시 신어산길 44,경상남도 김해시 삼방동 840-2,경상남도 김해시도시개발공사,동부스포츠센터,055-336-9318,www.ghdc.or.kr,35.25635391,128.9073731,2022-06-15,5350000,경상남도 김해시
김해운동장,김해운동장,다목적경기장,연중무휴,09:00,22:00,09:00,22:00,N,,,,,1476,,천연잔디축구장+트랙8레인,전화,,경상남도 김해시 가야로 245,경상남도 김해시 구산동 660,경상남도 김해시도시개발공사,체육시설관리팀,055-323-7313,www.ghdc.or.kr,35.25679338,128.8773218,2022-06-15,5350000,경상남도 김해시
김해체육관,김해체육관,회의실,연중무휴,09:00,18:00,09:00,18:00,N,,,,,15,,빔프로젝트+책상+의자,전화,,경상남도 김해시 가야로 245,경상남도 김해시 구산동 660,경상남도 김해시도시개발공사,체육시설관리팀,055-323-7313,www.ghdc.or.kr,35.25679338,128.8773218,2022-06-15,5350000,경상남도 김해시
서구청사 본관앞,서구청사 본관앞,기타,연중무휴,08:00,19:00,00:00,23:59,Y,1,600,30,200,,,,,,대구광역시 서구 국채보상로 257,대구광역시 서구 평리동 1230-9,대구광역시 서구청,총무과,,https://www.dgs.go.kr/dgs/,35.87232204,128.5592893,2022-09-12,3430000,대구광역시 서구
문화체육관,문화체육관,체육관,첫째 주 일+셋째 주 일,06:00,22:00,09:00,18:00,Y,,,,,1500,,체육관,방문+전화,,경상남도 김해시 가야의길 98-19,경상남도 김해시 봉황동 449,경상남도 김해시도시개발공사,체육시설관리팀,055-326-4150,www.ghdc.or.kr,35.23477052,128.8736678,2022-06-15,5350000,경상남도 김해시
불암동체육관,불암동체육관,체육관,둘째 주 일+넷째 주 일,06:00,22:00,09:00,18:00,Y,,,,,1500,,체육관+헬스장,방문+전화,,경상남도 김해시 삼안로 36-19(지내동),경상남도 김해시 지내동 277-7,경상남도 김해시도시개발공사,체육시설관리팀,055-321-7420,www.ghdc.or.kr,35.23268803,128.9186774,2022-06-15,5350000,경상남도 김해시
김해시사격장,김해시사격장,기타,매주 일,09:00,18:00,09:00,18:00,Y,,,,,50,,사격장,방문,,경상남도 김해시 가야로 245,경상남도 김해시 구산동 660,경상남도 김해시도시개발공사,체육시설관리팀,055-339-9006,www.ghdc.or.kr,35.25679338,128.8773218,2022-06-15,5350000,경상남도 김해시
김해시암벽장,김해시암벽장,기타,연중무휴,09:00,18:00,09:00,18:00,Y,,,,,100,,암벽장,방문+전화,,경상남도 김해시 가야로 245,경상남도 김해시 구산동 660,경상남도 김해시도시개발공사,체육시설관리팀,055-339-8866,www.ghdc.or.kr,35.25679338,128.8773218,2022-06-15,5350000,경상남도 김해시
