id,poll,osnm,zip,adr,tel,lpgyn,gisxcoor,gisycoor
A0030985,SOL,금악주유소,690924,제주특별자치도 제주시 한림읍 한창로 1249,064-796-5189,N,241814,85468
A0030980,SKE,금성주유소,690903,제주특별자치도 제주시 애월읍 일주서로 5940,064-799-7337,N,242200.7234,95562.37862
A0004382,ETC,인양주유소,      ,제주 제주시 추자면 영흥4길 1,064-742-3529,N,243097.07143,152463.55661
A0030871,GSC,내고향주유소,695901,제주특별자치도 제주시 애월읍 애월로 79,064-799-3975,N,243646.8941,97760.70744
A0031007,HDO,서광주유소,697923,제주특별자치도 서귀포시 안덕면 중산간서로 1866,064-794-8822,N,244107,78279
A0031098,NHO,애월농협주유소,695913,제주 제주시 애월읍 일주서로 6252,064-799-0164,N,244211,97360
A0031117,NHO,안덕농협주유소,697923,제주 서귀포시 안덕면 화순로 122,064-792-5149,N,244891,73579
A0030831,HDO,애월주유소,695900,제주특별자치도 제주시 애월읍 일주서로 6325,064-799-7077,N,244956.3792,97597.8397
A0030885,GSC,동광주유소,699823,제주 서귀포시 안덕면 동광로 164,064-794-8886,N,245732.6608,80646.22164
A0031054,SOL,고내주유소,695901,제주 제주시 애월읍 고내로 73,064-799-2822,N,246323,97821
A0031057,HDO,선진주유소,699921,제주특별자치도 서귀포시 안덕면 한창로 334,064-792-8951,N,246714,78228
A0030949,SOL,정석주유소,699821,제주특별자치도 서귀포시 안덕면 한창로 275,064-794-5144,N,246810.2013,77766.48304
A0030883,SKE,감산주유소,699821,제주 서귀포시 안덕면 일주서로 1487,064-794-1116,N,247035.9971,75008.11078
A0031008,SKG,SK행복충전 신엄충전소,695912,제주특별자치도 제주시 애월읍 일주서로 6569,064-799-0101,Y,247266,98057
A0032925,SOL,안덕하나주유소, ,제주 서귀포시 안덕면 한창로 182,064-792-3088,N,247374.06776,76994.64932
A0031058,SKG,SK행복충전 안덕하나충전소,699921,제주 서귀포시 안덕면 한창로 178,064-794-6996,Y,247418,76975
A0031079,HDO,애조로주유소,695905,제주특별자치도 제주시 애월읍 일주서로 6806,064-749-1213,N,249495.6899,98835.66774
A0030965,GSC,예래주유소,697301,제주특별자치도 서귀포시 일주서로 1156-2 (상예동),064-738-7708,N,250194.4181,75513.6284
A0031094,SKG,SK행복충전 중문충전소,697301,제주 서귀포시 일주서로 1120,064-738-8680,Y,250549,75458
A0033618,GSC,가까운주유소, ,제주특별자치도 서귀포시 일주서로 1080(상예동),064-738-5150,N,250929.86252,75303.25184
A0032870,GSC,중문관광단지충전소, ,제주 서귀포시 일주서로 1076,064-738-5157,Y,250956.64489,75301.70743
A0031020,HDO,(주)금영에너지주유소,697301,제주특별자치도 서귀포시 일주서로 1057,064-739-2055,N,251113,75182
A0030833,RTO,귀일주유소,695907,제주특별자치도 제주시 애월읍 하귀로 22,064-713-4059,N,251460.9896,99341.40238
A0030950,SOL,신세기주유소,697807,제주 서귀포시 일주서로 976,064-738-2270,N,251702.6801,74772.56389
A0030832,SKE,동귀주유소,695907,제주특별자치도 제주시 애월읍 일주서로 7092,064-713-5166,N,252163.4,99796.5
A0030834,SOL,유수암주유소,695906,제주특별자치도 제주시 애월읍 유수암평화10길 2,064-799-5185,N,252401.8,93515.6
A0031139,SKE,수도석유(주)한신주유소,697807,제주 서귀포시 천제연로 77,064-739-4942,N,252412.7424,74478.28518
A0031114,NHO,하귀농협주유소,690918,제주특별자치도 제주시 애월읍 일주서로 7136,064-720-1870,N,252621.7,99857
A0031116,NHO,중문농협주유소,697807,제주특별자치도 서귀포시 일주서로 872 (색달동),064-738-4178,N,252732.5,74844.5
A0030920,GSC,외도주유소,690192,제주특별자치도 제주시 일주서로 7277,064-743-3454,N,253808.7662,100735.3459
A0030935,GSC,중문주유소,697120,제주 서귀포시 천제연로 246 (중문동),064-738-0502,N,253986.3104,73927.64441
A0030872,SKE,삼성주유소,690191,제주 제주시 우정로 43 (외도일동),064-713-3500,N,254404,100324
A0030959,SOL,한라주유소,690900,제주특별자치도 제주시 애월읍 평화로 2692,064-748-5191,N,254586.532,95460.50509
A0031052,SOL,도농주유소,690210,제주특별자치도 제주시 일주서로 7410 (내도동),064-743-3131,N,255083,100833
A0031121,NHO,제주시농협서부주유소,690210,제주 제주시 일주서로 7422 (내도동),064-744-5149,N,255232,100797
A0030954,SKE,남흥주유소,695902,제주 제주시 애월읍 평화로 2820-34,064-748-0160,N,255516.3383,96657.55111
A0031018,HDO,대포주유소,697320,제주 서귀포시 일주서로 559 (대포동),064-738-0833,N,255712,74082
A0031160,SKE,도평주유소,690220,제주특별자치도 제주시 우평로 197 (도평동),064-712-3112,N,255713.6912,99492.58293
A0031159,HDO,빛나는주유소,690200,제주특별자치도 제주시 노형로 26,064-748-7757,N,256160,97308
A0031095,GSC,(주)무수천주유소,690200,제주 제주시 노형로 45,064-748-1515,N,256287,97446
A0031029,GSC,하원주유소,697340,제주 서귀포시 일주서로 479 (하원동),064-738-5144,N,256485,74179
A0030963,GSC,우리주유소,690968,제주 제주시 조천읍 신북로 448,064-783-8252,N,275582.3146,106074.5983
A0030936,SOL,프라임주유소,695965,제주특별자치도 제주시 조천읍 일주동로 1115,064-782-8894,N,275703.10929,105363.55573
A0031030,SKG,SK행복충전 함덕LPG충전소,695965,제주 제주시 조천읍 일주동로 1122,064-784-1600,Y,275805,105296
A0031081,HDO,유성주유소,695965,제주특별자치도 제주시 조천읍 일주동로 1152,064-782-1288,N,276093.80718,105317.65876
A0031001,SOL,남조로주유소,695961,제주특별자치도 제주시 조천읍 남조로 1766,064-782-8541,N,276972.6,92972.9
A0030849,RTO,함덕주유소,695814,제주 제주시 조천읍 신북로 603,064-783-8509,N,277024.8415,105689.4095
A0031099,NHO,함덕농협주유소,695810,제주 제주시 조천읍 함와로 40,064-780-8890,N,277113.0752,105324.7088
A0030947,HDO,해송주유소,695813,제주 제주시 조천읍 일주동로 854,064-782-6051,N,273191.5045,104777.7975
A0030957,HDO,(주)회천주유소,690100,제주특별자치도 제주시 번영로 937 (회천동),064-721-9222,N,273481.8136,98580.83007
A0030938,GSC,하나로주유소,695813,제주특별자치도 제주시 조천읍 신북로 278,064-782-9239,N,274010.0265,105605.1369
A0031105,NHO,위미농협주유소,699803,제주 서귀포시 남원읍 일주동로 7830,064-760-1080,N,274142.6737,75876.8609
A0030865,GSC,효돈주유소,697040,제주특별자치도 서귀포시 일주동로 8314 (신효동),064-767-3030,N,269608.3043,74734.95352
A0030792,SOL,삼일주유소,690071,제주 제주시 연삼로 1051 (삼양일동),064-725-2355,N,269729.9,103484.9
A0030814,SKE,봉개주유소,690090,제주 제주시 번영로 515 (봉개동),064-721-3579,N,269790.0716,100170.5293
A0031090,SKG,SK행복충전 한라에너지 한라충전소,697040,제주 서귀포시 일주동로 8281 (신효동),064-767-2222,Y,269984.3,74711.7
A0030978,RTO,주식회사 번영로주유소,690090,제주 제주시 번영로 578 (봉개동),064-723-5100,N,270246.7,99765.5
A0031124,NHO,효돈농협주유소,697030,제주 서귀포시 일주동로 8163,064-767-0395,N,271205,74712
A0030907,HDO,신촌주유소,690965,제주특별자치도 제주시 조천읍 신북로 74,064-784-9828,N,272186.7455,105096.1166
A0031120,NHO,조천농협주유소,695963,제주 제주시 조천읍 일주동로 757,064-784-5189,N,272213.2,104760.7
A0031014,SKE,대섬주유소,695963,제주특별자치도 제주시 조천읍 신촌11길 5,064-783-5774,N,272512,105303
A0030888,SKE,신례주유소,699943,제주 서귀포시 남원읍 중산간동로 7097,064-767-3001,N,272928.0289,77402.37112
A0031136,SKE,하모니주유소,690061,제주도 제주시 일주동로 118 (화북일동),064-755-2054,N,266322.1896,103114.3521
A0030974,GSC,대홍충전소,697837,제주 서귀포시 중산간동로 7967 (동홍동),064-732-5185,Y,266536,75315
A0030899,GSC,삼광충전소,690062,제주특별자치도 제주시 번영로 152 (화북이동),064-725-5135,Y,266564,101870
A0031072,GSC,삼광주유소,690062,제주특별자치도 제주시 번영로 158 (화북이동),064-725-5188,N,266635.27504,101849.57182
A0031044,GSC,장안주유소,690061,제주특별자치도 제주시 연삼로 718,064-725-5149,N,266688,102541
A0030810,SKE,공단주유소,690062,제주 제주시 연삼로 727 (화북이동),064-755-2555,N,266737,102640
A0031040,SKE,서귀주유소,697841,제주특별자치도 서귀포시 중정로 122 (서귀동),064-732-5054,N,266857.28927,73445.91069
A0031156,SKG,SK행복충전 미래에너지 화북충전소,690061,제주 제주시  선반남1길 66 (화북일동),064-796-1423,Y,267017.42081,102886.19468
A0030793,SOL,동홍주유소,697070,제주 서귀포시 일주동로 8586 (동홍동),064-733-5149,N,267051.0532,74187.21893
A0031063,GSC,동화주유소,690060,제주특별자치도 제주시 일주동로 232,064-756-7502,N,267400,103466
A0030847,SKG,SK행복충전 동명가스충전소,690062,제주 제주시 연삼로 804 (화북이동),064-702-6622,Y,267477.2,102616.1
A0030844,SOL,명지주유소,690061,제주 제주시 일주동로 247(화북일동),064-755-9892,N,267510.8648,103590.9401
A0031049,GSC,용호주유소,690062,제주특별자치도 제주시 연삼로 806 (화북이동),064-757-5730,N,267557.4302,102659.7597
A0030989,GSC,환영주유소,697802,제주 서귀포시 중산간동로 7862 (동홍동),064-732-5177,N,267580.72,75443.26078
A0031112,SKE,스카이주유소 서귀포새마을금고직영,697802,제주특별자치도 서귀포시 중산간동로 7859 (동홍동),064-733-8951,N,267595.7027,75403.00219
A0031082,SKG,SK행복충전 서귀포충전소,697834,제주특별자치도 서귀포시 동홍남로 85 (동홍동),064-762-6409,Y,267656,74370
A0031141,SKE,삼화석유(주)에이스주유소,697060,제주 서귀포시 일주동로 8513 (토평동),064-732-5145,N,267762.6626,74165.20083
A0031113,NHO,서귀포농협주유소,697859,제주 서귀포시 516로 38 (토평동),064-733-5109,N,267822.7,74476.4
A0031070,SOL,탐라주유소,697060,제주특별자치도 서귀포시 516로 86,064-762-8161,N,268110.80188,74865.61714
A0031088,RTO,토평주유소,697859,제주특별자치도 서귀포시 중산간동로 7801,064-762-5151,N,268150.9854,75503.30079
A0030968,GSC,도련주유소,690081,제주특별자치도 제주시 연삼로 874,064-757-2626,N,268201,102656
A0031149,SKE,내트럭(주)제주사업소,690081,제주 제주시 번영로 345,064-756-3005,N,268280.4,101132.1
A0030960,SKE,삼화석유㈜ 동서셀프주유소,690081,제주특별자치도 제주시 연삼로 892 (도련1동),064-756-5151,N,268378.3798,102670.0837
A0030919,SKE,월드컵주유소,697060,제주 서귀포시 516로 206-3 (토평동),064-762-6520,N,268433,76025
A0031115,NHO,제주시농협 동부주유소,690090,제주 제주시 번영로 417 (봉개동),064-721-7200,N,268955,100696
A0031022,RTO,삼양주유소,690072,제주특별자치도 제주시  일주동로 398 (삼양동),064-757-4941,N,268998,103680
A0030961,HDO,현대오일뱅크(주)직영 봉아름주유소,690090,제주특별자치도 제주시 번영로 452 (봉개동),064-723-5188,N,269212.7,100447.8
A0030953,HDO,돈내코주유소,697050,제주특별자치도 서귀포시 516로 438 (상효동),064-733-5157,N,269295.7785,78060.58226
A0030975,GSC,원남주유소,690807,제주특별자치도 제주시 연북로 463 (도남동),064-759-5189,N,263648.7,99420.6
A0030997,SKE,희망주유소,697090,제주 서귀포시 중산간동로 8231 (호근동),064-739-5149,N,263831,74954
A0031119,HDO,현대오일뱅크㈜직영 남부주유소,690022,제주 제주시 중앙로 301 (이도이동),064-742-5151,N,264031.11032,100753.58615
A0031144,SKE,삼화석유(주)천마주유소,690800,제주 제주시 임항로 94 (건입동),064-753-8866,N,264041.8595,103392.7552
A0031078,GSC,제주시농협 한라산주유소,690121,제주도 제주시 연북로 508 (아라일동),064-702-0788,N,264058.18102,99613.12667
A0030829,HDO,현대오일뱅크(주)직영 연북로주유소,690121,제주특별자치도 제주시 연북로 524 (아라일동),064-726-5198,N,264152,99698
A0031069,SKE,이도그린주유소,690825,제주 제주시 연삼로 430,064-753-7272,N,264234.74499,101023.22866
A0031163,SKG,SK행복충전 탐라가스충전소,690022,제주 제주시 중앙로 335,064-758-8116,Y,264236.0022,100482.99592
A0031138,SKE,백록주유소,690022,제주 제주시 연삼로 433 (이도이동),064-724-6352,N,264249.4036,101085.0146
A0030958,SKE,열린주유소,690150,제주 제주시 한북로 221 (오등동),064-702-1133,N,264336,96990
A0030890,GSC,동일주유소,690833,제주특별자치도 제주시 동광로 103 (일도이동),064-758-3341,N,264389.5267,102053.6522
A0031042,HDO,남문주유소,690825,제주도 제주시 중앙로 372 (이도이동),064-751-5185,N,264416,100149
A0031066,GSC,제주항주유소,690050,제주 제주시 임항로 291 (건입동),064-723-5757,N,264449.99206,103033.58852
A0031067,SKE,극동충전소,690833,제주 제주시 동광로 141 (일도이동),064-758-8434,Y,264668.8,102342
A0030924,SKE,온누리주유소,690122,제주 제주시 중앙로 409 (아라이동),064-726-5185,N,264679.9498,99938.88729
A0030842,SKE,남동주유소,690825,제주 제주시 남광로 78 (이도이동),064-752-5149,N,264788.9355,100898.7208
A0030880,SOL,일도주유소,690830,제주특별자치도 제주시 고마로 137 (일도이동),064-721-2025,N,264825.37,101656.2075
A0030969,RTO,편리한주유소,690122,제주특별자치도 제주시 중앙로 487 (아라이동),064-724-5123,N,264884,99142.6
A0030805,SKG,SK행복충전 제주충전소,690050,제주특별자치도 제주시 동문로 157 (건입동),064-757-4114,Y,264887,102877
A0031038,HDO,동아주유소,690050,제주 제주시 동광로 178 (건입동),064-755-8821,N,264986,102504
A0030794,SKG,SK행복충전 소명충전소,690121,제주특별자치도 제주시 한북로 313,064-721-8181,Y,265145,96505
A0031158,HDO,선반내주유소,697852,제주 서귀포시  일주동로 8780 (서홍동),064-739-5008,N,265157.31621,73988.81575
A0031056,GSC,(주)서홍주유소,697080,제주특별자치도 서귀포시 중산간동로 8102,064-733-0111,N,265216.7987,75207.66009
A0031111,SKE,제주도개인택시조합 LPG충전소(화북점),690062,제주 제주시  일주동로 22 (화북이동),064-726-3200,Y,265464.2,102700.6
A0030824,SKG,SK행복충전 한마음가스충전소,690022,제주 제주시 간월동로 94,064-711-3872,Y,265593,100215
A0031046,RTO,일광주유소,690800,제주특별자치도 제주시 일주동로 53 (건입동),064-756-5189,N,265727.7202,102869.9504
A0030923,SKE,스마트주유소,690062,제주특별자치도 제주시 연북로 732,064-724-8251,N,265824.50501,100930.05298
A0030856,SKE,한진주유소,697080,제주특별자치도 서귀포시 중산간동로 8028 (서홍동),064-733-5949,N,265934.2755,75240.88427
A0033573,GSC,삼장주유소, ,제주 제주시 연신로 196(영평동),064-751-5105,N,265946.83902,99818.1456
A0030921,E1G,제주안전 LPG 충전소,690800,제주 제주시 연삼로 640 (건입동),064-702-2121,Y,266023.1,102128.4
A0030809,GSC,칠십리주유소,697812,제주 서귀포시 중정로 40 (서귀동),064-732-5188,N,266054.9,73345.3
A0030930,SKE,대은주유소,690062,제주 제주시 번영로 112 (화북이동),064-725-5145,N,266240.3477,102052.4475
A0030863,RTO,초원주유소,697370,제주특별자치도 서귀포시 일주서로 27 (강정동),064-739-5551,N,260887.7208,73687.92181
A0031050,SKE,별표주유소,690163,제주특별자치도 제주시 연삼로 79 (오라삼동),064-711-2179,N,260909,100732
A0030825,SOL,삼진주유소,690823,제주 제주시 용문로 54 (용담이동),064-758-8227,N,261006.3,101906.3
A0030995,GSC,거북이주유소,690163,제주 제주시 서광로 58 (오라삼동),064-743-4777,N,261076.5,101334
A0031041,SOL,성화주유소,690822,제주특별자치도 제주시 용해로 70,064-748-5155,N,261112,102659
A0030941,SOL,우리주유소,690042,제주특별자치도 제주시 서광로 67 (용담2동),064-711-9111,N,261130.6208,101434.4701
A0031154,HDO,현대오일뱅크 오름주유소,690162,제주 제주시 연북로 209,064-746-6565,N,261155.20054,99424.7935
A0030972,HDO,(주)굿모닝제이케이주유소,690163,제주 제주시 연삼로 135 (오라삼동),064-747-1151,N,261459.1,100694.9
A0030836,SKE,늘푸른주유소,690823,제주 제주시 서광로 99 (용담이동),064-712-5182,N,261466.04204,101522.22147
A0031045,SKE,삼화석유(주) 법환주유소,697806,제주특별자치도 서귀포시 일주동로 9173,064-739-6051,N,261594,73473
A0030806,SKE,현대주유소,690042,제주특별자치도 제주시 용문로 131,064-711-1440,N,261626.3385,102157.622
A0031035,SOL,성신주유소,690162,제주특별자치도 제주시 연삼로 159 (오라이동),064-713-8161,N,261680,100684
A0030808,GSC,서광로주유소,690822,제주 제주시 서광로 125 (용담이동),064-712-5185,N,261715.1333,101509.2668
A0031137,SKE,늘푸른자동차충전소,690042,제주 제주시 서광로 137 (용담이동),064-741-2121,Y,261878.7,101503.4
A0033239,GSC,혁신도시주유소, ,제주특별자치도 서귀포시 일주동로 9144 (서호동),064-739-5233,N,261934.99378,73487.95772
A0030932,GSC,오라주유소,690162,제주 제주시 연삼로 194 (오라이동),064-744-5145,N,262004.0239,100589.9731
A0030886,GSC,삼남주유소,690819,제주특별자치도 제주시 남성로 60,064-755-1618,N,262143.2418,102020.801
A0030908,SKE,터미널주유소,690161,제주특별자치도 제주시 서광로4길 5 (오라일동),064-753-6618,N,262164.745,101358.0073
A0028838,SKG,SK행복충전 정우오라LPG충전소,690162,제주 제주시 오남로 150 (오라이동),064-749-1123,Y,262207,99481
A0031071,GSC,용담주유소,690041,제주특별자치도 제주시 용담로 136 (용담일동),064-727-0708,N,262276.1581,102436.76067
A0030994,GSC,밝은주유소,690162,제주특별자치도 제주시 오남로 108 (오라이동),064-746-0051,N,262340.1,99892.5
A0031127,SKE,삼화석유(주)삼화주유소,690031,제주 제주시 서광로 210,064-753-2135,N,262585.8988,101382.8103
A0031122,SOL,서귀포농협서부주유소,697100,제주특별자치도 서귀포시 태평로 22 (서호동),064-738-5109,N,262787,73164
A0030881,SKG,SK행복충전 동천가스충전소,697100,제주특별자치도 서귀포시 일주동로 9052,064-739-3488,Y,262867,73400
A0030802,SOL,극동주유소,690828,제주특별자치도 제주시 서광로27길 2 (이도일동),064-722-3568,N,263173.286,101479.2231
A0031027,GSC,합동청사주유소,      ,제주특별자치도 제주시 연삼로 314 (도남동),064-755-5149,N,263228,100510
A0030897,SKE,도남주유소,690806,제주특별자치도 제주시 연삼로 328 (도남동),064-751-2536,N,263350.5777,100509.1776
A0033401,SKE,삼화석유(주)만남의광장주유소, ,제주 제주시 노형로 121(해안동),064-712-5142,N,256796.1533,97939.58328
A0001863,SKG,SK행복충전 제주오케이충전소,690232,제주 제주시 일주서로 7588 (이호이동),064-749-5188,Y,256834.4,100958.2
A0030843,GSC,제주GS충전소,690220,제주 제주시 노형로 149 (도평동),064-747-4485,Y,256980.1,98092.9
A0030956,GSC,서부관광주유소,690200,제주특별자치도 제주시 노형로 148 (해안동),064-747-0065,N,257027.5,98040.3
A0031162,SOL,우리비케이에너지,690200,제주특별자치도 제주시 노형로 162,064-747-1992,Y,257107.189,98134.63133
A0030796,GSC,평화로주유소,690180,제주특별자치도 제주시 노형로 177 (노형동),064-747-5149,N,257133.3,98305.4
A0030986,SKE,행운주유소,690231,제주특별자치도 제주시 도리로 90 (이호일동),064-743-1744,N,257247,101539
A0030911,HDO,월산주유소,690180,제주 제주시 노형로 201 (노형동),064-746-2288,N,257247.8594,98468.31317
A0031087,HDO,(주)새신테크 이호주유소,690232,제주특별자치도 제주시 일주서로 7629,064-747-0033,N,257251.4438,100979.5989
A0030861,SKE,엔크린주유소,690232,제주 제주시 일주서로 7650 (이호이동),064-712-5152,N,257440.8147,100865.8677
A0031080,RTO,이좋은주유소,690180,제주특별자치도 제주시 노형로 218,064-746-4687,N,257458.81466,98544.6302
A0031126,GSC,(주)도순주유소,697832,제주특별자치도 서귀포시 일주서로 366 (도순동),064-738-5553,N,257586.52229,74113.4748
A0031109,SKG,SK행복충전 제주도개인택시조합LPG충전소,690241,제주 제주시 도공로 141 (도두일동),064-713-2791,Y,257888.9,101014.8
A0031061,SKE,도두 self 주유소,690241,제주 제주시 일주서로 7697,064-743-3351,N,257911,100848
A0031084,E1G,제주공항LPG충전소,690241,제주특별자치도 제주시 일주서로 7709,064-712-0020,Y,257922,100858
A0030846,GSC,제주주유소,690805,제주 제주시 노형로 290 (노형동),064-746-8222,N,257923,99105
A0030913,RTO,명품주유소,690805,제주특별자치도 제주시 월광로 101 (노형동),064-712-5155,N,258023.7,100306
A0031039,GSC,태진주유소,690241,제주 제주시 일주서로 7728 (도두일동),064-745-5189,N,258211,100765
A0031145,SKE,서경주유소,690180,제주 제주시 월광로 125 (노형동),064-712-9967,N,258212.9,100438.8
A0031155,SKE,삼화석유(주)유공주유소,690804,제주 제주시 노형로 364 (노형동),064-743-3442,N,258498.5335,99577.68259
A0030876,SOL,씨티주유소,690802,제주 제주시 한라대학로 88,064-711-5189,N,258874.5539,98804.91494
A0030981,SKE,강정천주유소,697800,제주 서귀포시 이어도로 634 (강정동),064-739-3303,N,258888,71961
A0030909,GSC,노형주유소,690180,제주 제주시 1100로 3338 (노형동),064-742-6896,N,259009.1756,99711.95113
A0030797,RTO,광동주유소,690818,제주 제주시 일주서로 7832 (연동),064-742-2525,N,259253.8999,100734.4742
A0031131,SKE,삼화석유(주)승민주유소,690180,제주 제주시 노연로 56 (노형동),064-747-6959,N,259463.8619,99905.60677
A0031051,GSC,삼다주유소,690818,제주특별자치도 제주시 일주서로 7873 (연동),064-742-2262,N,259694,100793
A0030855,SOL,염돈주유소,697800,제주특별자치도 서귀포시 일주서로 136 (강정동),064-739-5400,N,259783.1983,73756.14827
A0030839,SKG,SK행복충전 연동가스충전소,690170,제주특별자치도 제주시 과원로 60 (연동),064-711-0339,Y,259800,98800
A0030945,SKE,신도시주유소,690170,제주 제주시 과원로 88 (연동),064-746-5185,N,260087.8662,98956.72556
A0031036,GSC,동산주유소,690815,제주 제주시 연북로 130 (연동),064-749-5144,N,260353,99408
A0031130,SKG,SK행복충전 천마강정충전소,697800,제주 서귀포시 일주서로 77,064-739-6608,Y,260396,73662
A0030840,SKE,연동주유소,690815,제주 제주시 연북로 154 (연동),064-745-2225,N,260583.4,99386.6
A0030927,SOL,성안,690814,제주 제주시 연삼로 50,064-743-9388,N,260598.6488,100708.7835
A0031146,SKE,삼화석유(주)행복날개주유소,690821,제주 제주시 용문로 12 (용담이동),064-711-5184,N,260602.4,102004.3
A0031026,SKG,SK행복충전 굿모닝LPG충전소,690042,제주 제주시 용문로 28 (용담이동),064-745-1152,Y,260744,101948
A0030818,HDO,대천주유소,695974,제주특별자치도 구좌읍 비자림로 1219,064-783-9975,N,282574,94004
A0031104,NHO,남원농협주유소,699941,제주특별자치도 서귀포시 남원읍 남조로 58,064-764-5982,N,281057.4337,77293.36198
A0031064,SOL,남원주유소,699941,제주특별자치도 서귀포시 남원읍 태위로 710,064-764-5189,N,281154,76738
A0031108,GSC,제주남원동부 새마을금고주유소,699801,제주 서귀포시 남원읍 태위로 610,064-764-8006,N,280216.5378,76462.58186
A0020247,HDO,행복셀프주유소,695966,제주특별자치도 제주시 조천읍 일주동로 1602,064-783-5888,N,279846.2,106970.2
A0033290,HDO,청년주유소, ,제주 제주시 구좌읍 조천우회로 984,070-8900-5884,N,280053.4266,106491.19562
A0030973,HDO,새희망주유소,695801,제주특별자치도 제주시 구좌읍 김녕로 138,064-783-5231,N,284363.4237,107243.7644
A0031161,RTO,(주)태흥주유소,699945,제주특별자치도 서귀포시 남원읍 태위로 990,064-764-5151,N,283785.596,77732.88184
A0030852,RTO,평대주유소,695974,제주특별자치도 제주시 구좌읍 일주동로 2948,064-783-0187,N,292186.2,104440.3
A0031147,SKG,SK행복충전 표선충전소,699912,제주특별자치도 서귀포시 표선면 일주동로 5691,064-787-8989,Y,292478,82992
A0031100,NHO,표선농협주유소,699810,제주특별자치도 서귀포시 표선면 표선동서로 229,064-786-1045,N,291432.70061,81594.12035
A0018511,SKE,한동충전소,695975,제주 제주시 구좌읍 일주동로 2761,064-783-6001,Y,290774,105586
A0031076,SKE,한동주유소,695982,제주 제주시 구좌읍 일주동로 2763,064-783-6001,N,290792.47923,105570.14041
A0030889,HDO,그림주유소,699915,제주특별자치도 서귀포시 표선면 표선동서로 111,064-787-4488,N,290963.3,80506.1
A0030819,RTO,우수주유소,699814,제주특별자치도 서귀포시 표선면 번영로 3497,064-787-1844,N,291155.2164,82899.28724
A0031023,SOL,유진주유소,699912,제주특별자치도 서귀포시 표선면 번영로 3239,064-787-5189,N,290604,85421
A0031043,SKG,SK행복충전 유진가스충전소,699916,제주특별자치도 서귀포시 표선면 번영로 3239,064-787-0459,Y,290608,85364
A0030925,SKE,희진주유소,699904,제주특별자치도 서귀포시 성산읍 일주동로 5160,064-783-0115,N,295369.5277,87360.17075
A0026471,SOL,구좌주유소,695978,제주 제주시 구좌읍 일주동로 3243,064-783-5188,N,294695.73506,103103.03803
A0030982,SKE,중앙주유소,695804,제주 제주시 구좌읍 구좌로 74,064-783-2642,N,294141.982,103415.6434
A0031123,NHO,구좌농협주유소,      ,제주특별자치도 제주시 구좌읍 일주동로 3190,064-783-5150,N,294189,103116
A0031075,RTO,수산주유소,699902,제주 서귀포시 성산읍 서성일로 898,064-782-5189,N,295685.10221,94216.79598
A0030878,HDO,난산입구주유소,699904,제주도 서귀포시 성산읍 일주동로 5058,064-784-0084,N,295885.735,88251.13022
A0031101,NHO,구좌농협우도지점주유소,695983,제주특별자치도 제주시 우도면 우도로 147,064-783-4040,N,302974.21108,101567.0044
A0007671,GSC,오성주유소,699900,제주특별자치도 서귀포시 성산읍 고성오조로 113,064-782-2366,N,299185.20981,95835.06061
A0031059,HDO,현대오일뱅크㈜직영 동남주유소,699901,제주 서귀포시 성산읍 고성오조로 35,064-784-0066,N,299269,95094
