ID,WRITER,CONTENT,TYPE,SCORE,CREATED_AT,RENTAL_CAR_ID,image
186,ksy****,세번째 이용을 했는데 차도 깨끗하고 직원들이 엄청친절함 공항에서도 가까움,네이버,4.16,20.11.29.일,2,[]
187,이소쿨,새 차같은 컨디션이라 좋았음,네이버,4.16,20.11.27.금,2,[]
188,그린로즈3,직원분도 친절하고 차도 괜찮네요.,네이버,4.16,20.11.26.목,2,[]
189,형국이,굿,네이버,4.16,20.11.21.토,2,[]
190,하얀로냐프강1993,다른 렌터카업체보다 믿음이 가여,네이버,4.16,20.11.19.목,2,[]
191,Woahmom,굿,네이버,4.16,20.11.17.화,2,[]
192,하나둘셋321,유아 카시트 제대로 장착이 안됬어요 ㅠㅠ차상태도 그냥저냥 낫배드 ㅋㅋㅋ 가격은 비싸지도 싸지도..,네이버,4.16,20.11.17.화,2,[]
193,황땡글맘,직원분들이 그날 안좋은 일 있으셨던거 같아요무서워서 인사 열심히 하고 나왔습니다,네이버,4.16,20.11.16.월,2,[]
194,풋47,좋아요,네이버,4.16,20.11.6.금,2,[]
195,로니6797,차 관리는 하는건지... 차 앞 유리에 찌든 때는 운전자의 시야를 방해하고 와이퍼는 제 기능을 못하고 움직 일 때 마다 소리도 심했음. 타이어 상태도 매우...,네이버,4.16,20.11.2.월,2,[]
196,shi****,차 깨끗하고 좋아요,네이버,4.16,20.11.1.일,2,[]
197,카페라떼1722,굿,네이버,4.16,20.10.30.금,2,[]
198,olc****,"다 좋은데,,실내 유리창 청소가 안되있어서 잘 안보였어요~",네이버,4.16,20.10.26.월,2,[]
199,ticobaki,기대했던K5...차생태가...청소가...안되있는거 같네요...차내부 먼지가 쌓여있어서...ㅠㅠ  재방문은 안할듯..,네이버,4.16,20.10.18.일,2,[]
200,happyberry59,저렴하고 깨끗한 차였던거같아요,네이버,4.16,20.10.4.일,2,[]
201,곤듀3882,별로에요...ㅜㅜ 사진보다 차도 더 안좋구요 ...돈 더주고 다른데 가고싶었어요,네이버,4.16,20.9.30.수,2,[]
202,son****,좋아요,네이버,4.16,20.9.14.월,2,[]
203,rot****,굿,네이버,4.16,20.9.14.월,2,[]
204,roh****,굿,네이버,4.16,20.9.14.월,2,[]
205,콩여사9179,친절합니다,네이버,4.16,20.9.6.일,2,[]
206,jk****,친절해요,네이버,4.16,20.9.6.일,2,[]
207,hsk****,친절히잘해주시네요,네이버,4.16,20.8.30.일,2,[]
208,5678483,서비스 굿굿굿,네이버,4.16,20.8.30.일,2,[]
209,져니3014,직원분들 친절하셔요 버스도 나가기 10분 전에 전화하는게 덜 기다리고 꿀팁임 그리고 k5 4개월된 차 타서 깔끔해서 좋았음,네이버,4.16,20.8.28.금,2,[]
210,aer****,좋아요,네이버,4.16,20.8.15.토,2,[]
211,vvivid09,좋아요,네이버,4.16,20.8.15.토,2,[]
212,호랭마녀,인터파크에서 항공권 구매하면  렌터카 15퍼 할인해줘여!! 이름없는 업체보단  믿을 수 있을거 같아서 이쪽에서 렌터했어요 만족,네이버,4.16,20.8.15.토,2,[]
213,lho53,픽업대기가 좀 있어요,네이버,4.16,20.8.12.수,2,[]
214,뷰티풀시너리,저녁에 차를 인수했는데 퇴근하셔야 하는지 너무 불친절하셨어요,네이버,4.16,20.8.6.목,2,[]
215,행복과자유,제주 렌터카~,네이버,4.16,20.8.2.일,2,[]
216,자연이8227,현장에서보험가입했네요,네이버,4.16,20.7.24.금,2,[]
217,jji****,아주 좋아요,네이버,4.16,20.7.18.토,2,[]
218,momo3433,아반떼 구형? 나름 3박4일간 잘끌고다녔어요,네이버,4.16,20.7.18.토,2,[]
219,djs****,친절하세요,네이버,4.16,20.7.17.금,2,[]
220,Hana8957,"아반떼 신청했는데 흡연차는 신형.. 비흡연차는 구형... 구형차 브레이크 잘 안먹히네요;; 장마라서 빗길, 안개 많은 도로 주행하는데 좀 불안했습니다",네이버,4.16,20.7.5.일,2,[]
221,don****,.?,네이버,4.16,20.6.29.월,2,[]
222,mhl****,좋아요~,네이버,4.16,20.6.27.토,2,[]
223,kan****,엄청 저렴하고 차도 깨끗했어요~,네이버,4.16,20.6.24.수,2,[]
224,bor****,인터파트렌트카 좋아요 친절해요,네이버,4.16,20.6.18.목,2,[]
225,부엉이710,친절하고 좋아요,네이버,4.16,20.6.18.목,2,[]
226,아영5971,좋아요 ,네이버,4.16,20.6.17.수,2,[]
227,황쌤33,공항에서 넘가깝고 찬절했어요,네이버,4.16,20.5.24.일,2,[]
228,skf****,친절해요 ,네이버,4.16,20.4.22.수,2,[]
229,haem0ju,만족합니다 ,네이버,4.16,20.2.15.토,2,[]
230,크롱5933,인터파크렌트카 첨인데 저렴해서 조아요,네이버,4.16,20.1.26.일,2,[]
231,동그라미1492,,네이버,4.16,20.1.10.금,2,[]
232,쏭이요,잘 이용했어요,네이버,4.16,19.12.9.월,2,[]
233,joohee52,공항과 가까워서 너무 좋네요,네이버,4.16,19.12.7.토,2,[]
234,Ing48,시간초과해서 추가요금 ㅠㅠ,네이버,4.16,19.12.7.토,2,[]
235,joohee52,좋아요,네이버,4.16,19.12.7.토,2,[]
236,Ing48,큰길가에 있어서 좋아욤,네이버,4.16,19.12.6.금,2,[]
237,skbae69,👍,네이버,4.16,19.10.11.금,2,[]
238,박정빈35,차 상태 엉망^^ 있는 양만큼 주유 안해가면 바가지 씁니다.. 반나절 50키로도 안탔는데 주유비 21000 ㅋㅋ,네이버,4.16,19.10.8.화,2,[]
239,츌럽,저렴한 렌트카 대여점,네이버,4.16,19.7.11.목,2,[]
240,nice9,불친절함,네이버,4.11,1.10.화,3,['https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161220_271%2F1482218441180K5Uwz_PNG%2F177170565059727_0.png']
241,쥬디우우,기름값 추가 금액도 비싸고 시간 추가 금액도 비싸네요. 추가금액 들지 않게 조심하세요.,네이버,4.11,1.9.월,3,['https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161220_271%2F1482218441180K5Uwz_PNG%2F177170565059727_0.png']
242,최군8252,친절해요 ,네이버,4.11,1.8.일,3,['https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161220_271%2F1482218441180K5Uwz_PNG%2F177170565059727_0.png']
243,정승맘6,전기차로 잘 사용했습니다~,네이버,4.11,1.8.일,3,['https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161220_271%2F1482218441180K5Uwz_PNG%2F177170565059727_0.png']
244,꾸꾸펭귄,편하고 좋아요정각마다 20분 간격으로 셔틀버스 와요,네이버,4.11,1.7.토,3,['https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161220_271%2F1482218441180K5Uwz_PNG%2F177170565059727_0.png']
245,edu****,고객 대기장소 없음 셔틀버스 청결하지 못하고 노후됨 직원 불친절 차량 상태 엄청 더럽고 상태 안좋음 이용할 이유가 전혀없음  2-3만 아끼려다 이용...,네이버,4.11,1.2.월,3,['https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161220_271%2F1482218441180K5Uwz_PNG%2F177170565059727_0.png']
246,JINAWANG,너~~~~~무 불친절하고 직원들끼리 소통도 되지 않은듯 이사람 저사람~ 담당자 있다했다가 없다했다가~ 뭐하는건지 모르겠더라구요. 인수당시 고객...,네이버,4.11,1.2.월,3,['https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161220_271%2F1482218441180K5Uwz_PNG%2F177170565059727_0.png']
247,yo****,굿,네이버,4.11,1.1.일,3,['https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161220_271%2F1482218441180K5Uwz_PNG%2F177170565059727_0.png']
248,mee****,불친절해서 다음에는 다른 렌트카 빌릴 듯 하네요~,네이버,4.11,22.12.31.토,3,['https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161220_271%2F1482218441180K5Uwz_PNG%2F177170565059727_0.png']
249,봄봄보미,가격이 저렴해서 이용했는데 가격대비해도 실망스럽습니다. 청소상태는 전혀 안되어있으며 반납시에도 불친절하고 특히 기름은 채워서 반납하시길 추...,네이버,4.11,22.12.28.수,3,['https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161220_271%2F1482218441180K5Uwz_PNG%2F177170565059727_0.png']
250,qwe****,정말 여기 이용하지 마세요 불친절합니다 차도 엉망이고 신식이라면서 신식도 아닙니다  ,네이버,4.11,22.12.27.화,3,['https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161220_271%2F1482218441180K5Uwz_PNG%2F177170565059727_0.png']
251,파나나,렌트카 전기차로 저렴하게 잘 빌린 것 같아요. 요즘에는 키오스크로 등록 가능해서 가서 빌리는데도 엄청 편하더라구요.,네이버,4.11,22.12.26.월,3,['https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161220_271%2F1482218441180K5Uwz_PNG%2F177170565059727_0.png']
252,산이야69,굿,네이버,4.11,22.12.26.월,3,['https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161220_271%2F1482218441180K5Uwz_PNG%2F177170565059727_0.png']
253,TSH07310202,제주에서 렌트한 업체중 가장친절하고 매너가 좋았던업체. 비행기 지연으로 늦었는데 짜증없이 기다려주시고 여러모로 좋았고 감사했음.  특히 셔틀...,네이버,4.11,22.12.22.목,3,['https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161220_271%2F1482218441180K5Uwz_PNG%2F177170565059727_0.png']
254,독고30,좋아요 ,네이버,4.11,22.12.21.수,3,['https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161220_271%2F1482218441180K5Uwz_PNG%2F177170565059727_0.png']
255,adi****,굿,네이버,4.11,22.12.21.수,3,['https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161220_271%2F1482218441180K5Uwz_PNG%2F177170565059727_0.png']
256,다시 태어난 미이라,제주공항에서 1-3에서 픽업,네이버,4.11,22.12.15.목,3,['https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161220_271%2F1482218441180K5Uwz_PNG%2F177170565059727_0.png']
257,뽀대나는i,리뷰만 보고 도착해서 20분동안 동영상 및 사진 찍었는데 악성리뷰는 제가 봤을때 실제 이용자가 아닌 경쟁렌트카 업체 또는 개진상 손님이 아닐까 싶...,네이버,4.11,22.12.15.목,3,['https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161220_271%2F1482218441180K5Uwz_PNG%2F177170565059727_0.png']
