ID,WRITER,CONTENT,TYPE,SCORE,CREATED_AT,RENTAL_CAR_ID
10,변찬우,무조건 셔틀 전화해야 됩니다. 그러면 바로 와요.,카카오맵,5,21.02.06.,2
11,빈,예약메세지에 도착해서 전화하라고 되어있는데 셔틀 안온다는 리뷰 밖에 없네요 ㅋㅋㅋ 도착해서 전화하면 셔틀 금방 옵니다,카카오맵,5,20.11.03.,2
12,이현우,"비행시간에 늦어서 렌터카 셔틀 버스 기다릴 시간이 없었는데, 다행히 직원분께서 자기 차를 이용해서 공항까지 데려다 주셨습니다. 불편을 끼쳐드려 죄송히고 또 감사합니다. 덕분에 제주 여행을  즐거운 마음으로 마무리 할 수 있었습니다.^^ 다음에 또 이용하겠습니다~",카카오맵,5,20.06.21.,2
13,승현,일단 버스가잘안오구요 차는 냄새나고 썬팅이 하나도 안되있어서 너무눈부셨어여,카카오맵,1,19.08.07.,2
14,혜진,리뷰가 이러는데는 이유가 있다고 생각..... 진짜 셔틀버스 한참 기다리다가 못참고 전화해야 오고..... 직원도 불친절ㅜ,카카오맵,1,19.07.20.,2
15,김빈,"인터파크를 맹신하지 마세요"" ""버스도 구리고 가격도 추가로 더 받습니다",카카오맵,1,19.06.05.,2
16,버블버블,평점 안보고 예약했는데 셔틀버스 하도 안와서 전화하려고 보니 평들이 다 이렇네요 진짜 셔틀뻐스 안옴 기다리다가 aj 셔틀 나가고 들어오는것만 5번 봄 렌트카는 에이제이,카카오맵,1,19.03.16.,2
17,최호영,"셔틀버스 겁아 늦음 미리 와서 대기 안함 직원들 인사 안함  차 별로 설명도 대충 다음에 여기 이용 안함 직원들 마인드 쓰레기 차를 확인 했으면  가셔도 됩니다 해야 하는데 쌩하고 사무실 들어감 직원들이 상전임 어이 없음"" ""모르는 사람들만 가는 그런곳 ㅋㅋ 다음부터 평 보고 고르야지"" ""관광도시에서 렌트가 저러니 쯥",카카오맵,1,17.10.25.,2
18,지수,"제주여행 2박3일 렌트했는데 저렴한 가격으로 잘 이용했어요 셔틀버스도 20분 간격으로 있어서 반납하고 나서도 셔틀타고 제주공항까지 편하게 갔습니다 저는 불친절하다는 느낌 하나 없었고 오히려 반납할때 사고는 없었는지 물어보시고 짐 잘 챙겨가라고 제주도라서 놓고가면 못찾는다고 하시고 쿨하게 보내주셨습니다."" ""이런저런 안좋는 후기가 있어서 물론 직원에 따라 다를 수 있겠지만 이 가격에 잘 이용하고가서 후기 남깁니당"" ""차 내부도 깨끗했구요 다음 여행가면 또 이용할 생각입니당!!",카카오맵,5,22.12.28.,3
19,인간이되어라,"리뷰만 보고 도착해서 20분동안 동영상 및 사진 찍었는데 악성리뷰는 제가 봤을때 실제 이용자가 아닌 경쟁렌트카 업체 또는 개진상 손님이 아닐까 싶네요. 결론부터 얘기하자면 아주 쿨합니다. 가격 진짜 말도 안되게 싸서 의심을 계속하게 만듭니다. 친절한건 모르겠지만 미리 입력해서 가자마자 차 빌려주고 반납할때 외관 슬쩍 보시고 기름보시고 끝!!!! 기름도 남은주행거리 641 이였는데 670까지 이빠이 채워서 반납했더니 두말도 안합니다. 솔직히 싸게 빌렸는데 몇천원 아끼지 말고 더 넣고 가는게 인상 안찌푸리는건 당연하다고생각합니다. 기본만 지키면 아무 문제 없습니다. 비수기라 차도 싸고, 깡통옵션이라도"" ""크루즈 및 있을껀 다 있습니다. 20년 무사고에 "" ""혹시몰라 긴급출동 넣었는데 완전 만족합니다",카카오맵,5,22.12.19.,3
20,Sub,"키오스크로 차량대여 금방되고 반납도 최초충전 이상이고하니 바로 반납처리되더라구요"" ""친절한듯 안친절하지만 괜찮았습니다",카카오맵,3,22.11.27.,3
21,Soresama, ,카카오맵,1,22.10.18.,3
22,다니엘,"제주여행 가끔씩 렌트를 하는데 이번 렌트건은 정말 아니었던거 같아서 몇 자 적어봅니다.  스마트 렌트카를 예약했는데 아리랑렌트카에서 접수되었다 연락이 와서 확인해 보니 같은회사라고 합니다. 렌트카 회사가 차량에 무슨 문제가 될까 생각해서 그냥 공항에 내려 픽업차량을 통해 아리랑 렌트가에 도착해 차량을 인계 받았습니다. 제가 예약한 차량은 2020년식 K3 차량확인하니 좀 과장한다면 뭐 패차되기전 차량처럼 외부 여기저기 잔기스에 판넬도 울퉁불퉁~ 네비는 거짓말이 아니라 몇년동안 업그레드 하지 않은 상태.창문을 열고 닫으면 삐그덕~~ 정말 어이가 없었지만 그냥 참았습니다. 마지막날 차량 반납할때 직원 응대하는거 보고 너무 기가 막혀서 댓글을 남기게 되었구요~ 차량 반납하면서 제가 년식하고 차량 상태를 물어보니 대꾸도 하지않고 그림자 취급하면서 그냥 본인 대기실에 들어가 있는 모습을 보고 정말 이건 아니다 생각해서 댓글을 쓰게 되었습니다. 아리랑렌트카,스마트렌트카~~ 정말 두번다시 이용하지 않을것이고. 그 누구에게도 권장하고 싶지 않으며"" ""지금까지 렌트카 이용하면서"" ""최 악 이었던거 같습니다",카카오맵,1,22.10.15.,3
23,머법관,"잘사용했습니다."" ""기름잘채우고 사고안내니 반납 10초컷이네요",카카오맵,5,22.10.10.,3
24,그라이,"가격이 너무 저렴해서 인수할때  살짝 걱정이 되었습니다  범퍼 문짝쪽에 잔기스가 있어서 사진 동영상 꼼꼼히 활영해두었습니다 K3 휘발유 3일렌트  257km운행  기름값은 3만원 주유하니 인수할때랑 눈금이 같네요 생각보다 차가 잘나가네요 트렁크 넓고 실내 컨디션도 나쁘지 않았습니다 차량네비는 거의 사용안하고 휴대폰네비 사용했습니다  관광지 몇군데 아리랑렌트카 사용한다하니 할인적용되었습니다 셔틀버스 시간이 촉박해서 차량안에 쓰레기도 못치웠는데 검수 빨리해주시고"" ""공항으로 바로 이동했습니다  "" ""대체로 만족합니다",카카오맵,5,22.09.14.,3
25,황성재,"아니 길게 썼는데 무슨 카카오 정책으로 다 지워졌네요"" ""최저가지만 빠른 일처리, 친절한 직원 등"" ""강추합니다",카카오맵,5,22.08.29.,3
26,싱가포르여행고고,차량 인수하실때 사진 꼼꼼하게 찍으세요! 렌트카에서 차량 스크래치 관리 안하는거 같습니다 차량 반납할때 기존 스크래치 보고 문제있는거 같다고 기다리라고 하길래 사진 찍어둔거 보여주면서 기존에 있었던거라니까 그냥 갑디다. 스크래치 관리도 안하는 업체니 덤태기 쓰지 마시고 사진 꼼꼼히 찍어놓고 렌트하세요!,카카오맵,1,22.08.20.,3
27,minsingg,"진짜 제발 다르곳 가세요.  조금 싸다고 여기 선택해서 덤티기 쓰고 땅치고 후회하지 말고..."" ""호구 잡히는거 각오하고 여기 쓰시면 됩니다. "" ""제 발 호 구 그 만.",카카오맵,1,22.08.12.,3
28,우용석,카메라없고  흡연조금 한걸로 엄청 냄새많이난다고 벌금5만원 부과당함  클리닝비하고 뜯어감   거의 조폭수준,카카오맵,1,22.07.27.,3
29,대욱,"아이오닉5 저렴하게 잘 빌려탔습니다 차 무지 깔끔하네요"" ""전기차 목아보고 싶었는데 좋은 경험 했네요"" ""성업하세요",카카오맵,5,22.07.18.,3
30,띵꾸,"코나 전기차 빌렸는데 다른 후기들과는 다르게 깨끗하고 불편한거 하나도 없었습니다 싸게 잘 빌렸어요 "" ""그리고 무엇보다 차에 태블릿을 두고 반납했는데 택배로 보내주신다고 하셔서 정말 감사했습니다ㅠㅠㅠ",카카오맵,5,22.06.27.,3
31,디듀,"아빠가 예약해서 어쩔수 없이 탔는데 진짜 처음부터 끝까지 별로였어요.  1. 차량에 블랙박스 없음!!!!! 2. 금액 저렴X 3. 스크레치 너무 많고, 시트에 보풀이 진짜 많았고 내부 청소 제대로 안되어있음(차를 바꾸고 싶었는데 혹시나 해서 다른 차량들도 보니까 다들.. 심햇음^^;) 4. 네비가 터치가 잘 안되고, 업데이트를 잘 안하는거 같았음 네비 불편해서 안씀 / 차에 고정도 안되어있음 5. 주유 해도 게이지가 안올라감. 혹시 잘못되었나 싶어서 한번 더 했는데 똑같음 ㅎ 사기치는듯.. 6. 차량 반납하는데 머리 조금 긴 아저씨?분..  서비스직인데 차 키 같이 주시면 되요~ 하면 될걸 키 주세요!!! 하면서 소리지르면서 차에 앉아서 사람은 쳐다보지도 않고 팔 쭉 뻗어서 손 흔드시는데 왜 짜증내시는지?  기본적으로 사람 대하는 법을 못배우신듯"" """" ""차량 관리도 제대로 안되어있고, 사고나면 블랙박스 없어서 위험한데다 서비스도 너무 별로라 어지간히 별로면 리뷰 안쓰는데 남깁니다.",카카오맵,1,22.05.23.,3
32,콩쥐,"이런거 잘 찍으세요 렌트카 하면 당연히 차량인수전에 본인이 점검해야지 확인안하고 당하지마세요.  타이어 공기압까지 밟아서 확인해보고 블박은 타 업체에서 렌탈하세요. 완전자차 이런게 머가 필여함.. 걍 일반자차하고 블박달면되징... 안전운전하고   짐도 버스에 대문짝만한게 분실/파손 때문에 직접 싣고 내리고 하라고 붙어있더만.  그리고 제주도 한두번 오시나 친절은 기대하지마세요~ 어딜가나 똑같음 예전 제주도가아님 또 방역풀리고 관광업체 배불리고 관광객 흑우 잡을 시기오는겁니다 그래서 코로나 전에 전부 해외다녔던거 아닙니가 저도 그랬고 ㅎㅎ 몰 기대하시는지 그리고 차량상태 3만 조금 넘은 투싼 2021 모델이 에어컨 냉매도 없을정도면 그냥 기대하지말고 사고만 내지않게 막타세요  코로나 끝나면 어쩌피 또 다 해외갈꺼라 제주도는 기대안하는게 정신건강에 이로움. 4박5일 여행의 느낀점. 좀만 참고 해외갑시다. "" """" ""주저리주저리 말이 길었는데 아리랑렌트카는 크게 좋거나 나쁜건 없는듯 갠적인 의견임. 단 서비스 개편은 필요해보임.",카카오맵,5,22.05.12.,3
33,강민,리뷰가 안 좋길래 고민했는데 너무 좋네요 가격도 저렴해서 여유롭게 반납 예약 잡으면 좋아요 3박4일 코나 썼는데 차량 상태도 좋고 덕분에 여행 재미있게 했습니다 저처럼 단기 여행이면 충전카드 사는게 맘 편할거같네요 제주도 충전가격이 많이 비싸져서 하루당 7천원 낼만합니다,카카오맵,5,22.05.12.,3
34,혜수기,"즐거운 여행을 마무리하고 렌트카 반납하는데 정말 기분 나빴습니다. 차를 반납 하자마자  2분뒤에 차 출발할꺼라며 탈꺼냐 말꺼냐며 큰소리로 윽박지르고 10분미만 지연됐는데 1만원 내라고 하네요ㅜㅜ 기름을 한눈금이나 더 넣었길래 환불해 달라고 하니 3천원 환불해 줄테니 1만원 내라면서 계산 똑바로 하잡니다. 직원인지 사장인지 모르겠으나 목소리 크고 언행이 너무 불친절하고 무례하기 짝이 없습니다 여행을 마무리하는 마지막을 그분으로 인해서 렌트카 이미지를 너무 안좋게 만드네요~ 다음부턴 저가렌트카는 이용하지 말아야겠단 생각듭니다 ㅠㅠ"" ""그러나 카운터에 계신분과 공항까지 태워주신 기사님은 친절했습니다."" ""다음번에도 이용할 계획은 ZERO",카카오맵,1,22.05.01.,3
35,조선추ㅣ객,"상태 좋은 차를 저렴하게 빌릴수있어서 좋았습니다. 무인배차여서 키오스크로 배차 받으면 직원분이 잠시 설명해주셨어요. 주차장도 넓고 셔틀도 커요. 하나 아쉬웠던건, 반납하는데 연료가 째금 덜 채워져있었는데(한 오천원어치도 안될 정도..?) 덜 채워오셨다고 그자리에서 만원 추가결제 했습니다,, 좀 눈탱맞은 느낌이라 아쉬워서 별 하나 뺍니다ㅜㅜ",카카오맵,4,22.04.24.,3
36,낭,"후기가너무 안좋아서 걱정했는데 그정도는 아니기에 4점드립니다."" ""블루투스는 있어도 연결이 안돼서 별1개 뺍니다"" ""차에 잔흠집은 많았지만 운행에는 문제없었고 잘이용했습니다~",카카오맵,4,22.03.31.,3
37,qusbsjxgjsjsjw,"최저가 이용한곳. 완전자차해도  저렴하길래 이용. 공항에서 소형버스로 이동.10분거리. 십여분 단위로   버스 이동하는듯하다.  업체가 용두암근처라 좋고  바닷가근처라 좋다. 업체 바로 옆이 김밥 맛집인건 안비밀.  모바일로  미리 신청서작성해놓으면  업체도착 후 1분안에 배차가능. 다만  차  찾으러가서 이곳 저곳 흠집 사진 최대한 많이.   특히 하단부 동영상 빙 둘러가며 찍어놓는건 필수. 잔기스많다. 사진만 찍어놓으면 한두군데  전에 기스빼놔둘수도있으니.  한단부 동영상 천천히  돌면서 찍어놓으시길. 반납할때되면   괜히 오해가될수있는건 미리 피하자.  그리고  기름은 미리 대충 얼만큼 탈지  대략 계산하고 미리  대여당일날 넣어두자.  반납 전에 주유소들려 기름 넣으면 장담하는데  한시간이 지나도  게이지 한칸정도만 올라간다.   렌트카차량은 게이지가  엄청 천천히 올라간다.신기함.  오해의 소지를  내자신이 막자.   반납할때에는 직원분이   대충 차에 대해 아시는듯 사고난거있냐 물어보고 한번 휙 둘러보고  게이지는 정확히 확인하고 끝난다. "" ""차상태는 비급. "" ""최저가임을 기억하자.",카카오맵,4,22.03.12.,3
38,서창용,"5일동안 아이오닉5  저렴하게 잘이용하고 반납했습니다. 차는 새차라 깨끗하고 배터리는 78%에받아 85%로 반납했고 탈없이 잘 탔습니다.  운전 배터랑이라 보통 사고없이 하시는분 그리고 시간과 연료 잘 맞추시는분은 문제 없이 싸게 좋습니다."" """" ""댓글 보고 걱정을 했는데, 대부분 사고가 나거나 연료를 적게 가거나 시간이 늦거나 등등 이라 일반적인 사용에는 좋네요",카카오맵,5,22.02.19.,3
39,심명규,최악입니다. 다른데 하세요.,카카오맵,1,22.01.17.,3
40,김대우,"범퍼 하단부까지 꼼꼼하게 찍어둬야"" ""뒤집어쓰지 않을 수 있어요"" ""다들 기억해두세요. 저렴한 렌트카는 반납시 등쳐먹히기 딱좋습니다",카카오맵,1,22.01.01.,3
41,now,성수기에 적당한 가격으로 잘 다녀왔어요~ 사장님도 친절하셨음,카카오맵,5,21.12.31.,3
42,배고파,"댓글들이 조작이 심한 것 같네요 저번주 제주도 여행 다녀올때 초특가로 이용했습니다 차량이상 아무것도 없었습니다 2만키로밖에 안탄 신차 받아서 아무 문제 없이 잘 다녀왔습니다 블랙박스는 제주도 몇번 다녀오면 아시겠지만 거의 없습니다 다른 업체에서도 똑같아요 이 점은 아쉬우면서 개선되었으면 좋겠네요"" ""버스기사분은 불친절합니다 이것 또한 어느 업체를 가도 동일했습니다 "" ""반면에 사장님과 여직원분께서는 너무나 친절하셨습니다 덕분에 기분좋게 잘 다녀왔습니다 번창하세요!",카카오맵,5,21.12.06.,3
43,김규원, ,카카오맵,5,21.11.23.,3
44,이세준,별하나도 아까워요.,카카오맵,1,21.11.21.,3
45,JayBin,"제여자친구대신 글을 남깁니다 별한개도아까운곳입니다 저도 밑에분들처럼 직원들과 담당자들 장난에 놀아난사람중 한명입니다 근데 제가너무화가나서 담당자한테 혹시 카카오맵에 글올려진거 보셨어요? 이렇게말하니까 ""네""라고하시더라구요 그래서제가 그럼 그걸보고 이딴식으로 장사하시는거예요? 이렇게말하니  ""네""이렇게 딱한마디로 끝내시더라구요"" ""담당자부터가 이딴식의 마인드인데 밑에직원들은"" ""오즉할까요?",카카오맵,1,21.11.07.,3
46,무도사,"1. 전 차량에 블랙박스 없음 2. (고급자차 보험 가입해도) 만약 다른 차량이 뺑소니하면 차량임차인의 “단독 과실”로 잡히고, 수리기간 동안 휴차료 배상해야함 ^^ 2-1. 뺑소니에는 내가 주차해놨는데 다른 차가 와서 긁은 것도 포함됨 2-2. 경찰에 신고해서, 뺑소니 차량 잡고, 경찰 수사를 거쳐 뺑소니 차량의 책임 인정되면 휴차료 배상 안해도 됨. 2-3. 근데 차량 블랙박스가 없음. 뺑소니 차량 실제로는 못잡는다고 봐야하고, 그냥 뺑소니로 사고나면 차량 임차인이 “단독 과실”로 잡힌다고 봐야함 3. 위 사항 계약서에 명시 안하고 설명도 안함"" ""3-1. 명시된 내용 딱 하나 있음. “단독 과실시 휴차료 배상” 근데 타인의 과실인 것을 입증하지 못하면 모두 내 단독 과실로 잡는다는 내용은 명시하지 않음. 무과실 입증책임이 왜 나한테 있는건지 알 수 없음. 블랙박스라도 달아두고 그런 소리하면 그나마 말이 됨 근데 전차량 블랙박스 없음. 블랙박스 없는 이유는 “프라이버시” 때문임"" ""4. 혹시 이런걸로 문제되는 분 계시면 약관규제법 확인하시기 바람. 위 사항 모두 약관규제법 위반이고 고객에게 강요할 수 없음",카카오맵,1,21.10.25.,3
47,鄭,"반납 5분전에 인근주유소에서 기름 1.5만원 넣고었는데도 불구하고 게이지 안올라가서 반납못하고 10분 더 기다림 게이지 천천히 올라가는데 더기다릴려면 더 기다리고 아니면 돈을 더 내라는 애기...."" ""나원참 돈 이 아까운게 아니라 차꼬라지부터 똑바로 해놓던가해야지..... 뭔넘의 차가 기름넣어도 게이지가 천천히가는지.................. 이런집 이런차 첨봤음 "" ""이런집은 피하시라",카카오맵,1,21.10.24.,3
48,이혜진,"XXX최악. 문제 차량 초특가로 렌트. 절대 이용하지 마세요XXX 초특가 떠서 예약했습니다. 다른 업체보다 훨씬 저렴하길래 예약했는데 싸게 해주는데는 이유가 있더군요. 빌리기 전에 누가 차량 하부까지 보나요? 렌트한 다음날부터 달릴때 소리가 나다 말다 해서 하부를 봤더니 저렇게 너덜거리고 있더라구요. 전에 빌린 사람이 사고를 내고 고지를 안했나 싶어서 아리랑렌트카에 전화했더니, 오히려 우리를 사고내고서 모른척하는거로 몰아가지를 않나 우리 말은 듣지도 않고 출장비 2만원에 이틀 출차비 6만원을 내라고 하더라구요?? 저정도로 하부가 뜯어진거면 분명 충격이 있었을텐데 전혀 없었고 포장도로만 달려서 그럴리없다 억울하다고 블랙박스를 돌려보자 했더니 블랙박스가 없다네요??ㅋㅋㅋ 렌트카 업체에서 문제있는 차량을 내보내고 고객책임으로 몰아간다는 글을 많이봐서, 우리가 받기 전부터 이랫을거다 해도 전혀 아니라고 잡아떼길래, 증거있냐하니까 빌릴때 하부를 확인했어야한다는 헛소리를 하더라고요"" ""출장와서 저거 그냥 잘라주는데에 2만원이라 그래서 그럼 그냥 중도반납한다고 했더니 부분환불처리 안해준대요ㅋㅋ 사진을 본것도 아니면서 백프로 방지턱 넘다가 저렇게 됐을거라고;;; 제주패스렌트카 통해서 예약한건데 업체측에서 협의안해주면 환불도 안된다네요? 4-5시간 실랑이 끝에 갑자기 출차비 6만원 아니고 12만원이다 같은 소리하길래, 반납안하고 너덜거리는 상태로 남은날들 마저 이용 다 했습니다."" ""4-5시간 넘게 대기하느라 시간 버리고, 덕분에 신혼여행와서 아주 그지같은 경험 했습니다^^ 절대 이용하지 마시길",카카오맵,1,21.10.16.,3
49,지리릿,"차 빌릴 때 밑바닥 확인 꼭 하세요."" ""블랙박스도 없고 차량 결함 뒤집어씌우기 아주 심합니다.",카카오맵,1,21.10.16.,3
50,와삽,"좋은 여행 망치기 싫어서 그냥 왔지만 차 반납하면서 빡돌았어요."" ""출발전 주유량 체크 잘 하세요.",카카오맵,1,21.10.10.,3
51,태진,차 외관 깔끔하고 분실물 처리도 잘 해주셔서 좋았습니다. 반납할때도 빠르게 할 수 있어서 좋았습니다,카카오맵,4,21.10.07.,3
52,빈,"아리랑렌트카 이름이 같은 데가 많다돈데 ㅠㅠ 같은 곳이 맞는지 평이 너무 갈리네요ㅠㅠ  제가 갔돈 데는 완전 친절하시규 서비스 좋었어요!"" ""차도 2만6천키로 탄 거! 거의 새차였고 청결했어요",카카오맵,5,21.09.26.,3
53,Keanu Reeves,"좋아요."" ""불친절한지도 모르겠구 비대면 체크도 좋아요."" ""신차라 그런지 컨디션도 아주 좋아요.",카카오맵,5,21.09.25.,3
54,윤선생,"후기 안믿었다가 망한 경험담"" ""차 내외부 진짜 더럽고 선팅 다 찢어지고 색바래고 ㅋㅋ공항셔틀 기다리면서 보니까 빨리 공항가야되는 심리 이용해서 기름값 폭리 취함..따지면 밀치고 주유소 갔다오라함...셔틀에서 다들 어이없어함 ㅋㅋ",카카오맵,1,21.09.23.,3
55,J,"2020년형 차라서 그런지 상태도 깨끗하고 좋았어요."" ""다른 평점과 다르게 불친절한건 못느꼈고 괜찮았네요. 블박없는게 조금 아쉬움",카카오맵,4,21.09.16.,3
56,Viridian,"후기 점수를 보고 왜 이렇게 낮나 의아해짐... 카운터 직원들 친절했고 인수 5분, 반납 5분 속전속결이었다. 지각하거나 차량상태가 처음과 다르면 대응이 다를 수도 있지만 기본만 지키면 이상없다."" ""기분좋게 여행 마무리~"" ""아! 블랙박스 없는 부분은 아쉬웠다.",카카오맵,5,21.09.03.,3
57,201731,"후기보고 걱정할만하네요"" ""절대 이용하지 마세요 "" ""직원도 차도 멀쩡하지 않습니다",카카오맵,1,21.08.22.,3
58,후,후기보고 엄청 걱정했는데 괜찮았어요. 빌릴 때 카운터 아저씨랑 반납 때 아저씨랑 공항가는 버스기사님은 매우 친절하셨어요. 렌트업체가는 버스기사님과 주차장에 있는 분은 별로..ㅎ인터넷에 사양이 네비랑 후방센서만 되어 있었는데 실제론 네비에 후방카메라 나오더라구요. 근데 네비가 따로 달린거라 햇빛에 반사되서 낮에는 잘 안보여요. 셔틀간격때문에 공항-업체간 도착출발시간 매우 여유롭게 했는데 둘다 30분도 안걸림요.(예약시간보다 일찍 도착하면 반납시간을 땡겨서 빌려가게 합니다;) 급하게 알아보느라 가성비만 보고 했는데 만족합니다.,카카오맵,4,21.08.13.,3
59,노말러,다른 업체 캐리어 실어주시던데 여기는 그딴거 없음 손님한테 스스로 짐칸에 넣으라함 그리고 매우 중요한거. 여기 블랙박스 없음.  아리랑 믿거임.,카카오맵,1,21.08.09.,3
60,박장호,최악이네요... 기름을 처음 인수받았을때 최대한 맞추어서 주유 하고 반납했는대 11000원이나 추가 결제 했고 반납하려고 차끌고 들어가도 물어보는 사람도 없고 제가 직원 분 찾아 다녀야 했습니다.,카카오맵,1,21.08.08.,3
61,초록이,아침 8시정도 비행기면 전날 저녁 8시까지 반납을 해야 한다네요 미리 공지를 했다는데 그걸 못보고 예약한건 저희 잘못인데 사장님이 응대를 그냥 싸가지 없게 하시더라고요 아침 7시30분에 반납이 가능한데 그때 반납하시고 20분 안에 비행기 타실수 있으면 그렇게 하라고 그러면서 비꼬시더라고요. 말을 좀 이쁘게 하세요.,카카오맵,1,21.08.06.,3
62,Alexandra, ,카카오맵,5,21.08.05.,3
63,강용구,"별점 다섯개 준이유는  빠른 출고  신차급이라도 완전 외관이 걸레짝이라서 어디 긁혀도 찾아 낼수가 없음"" """" ""싼가격  외관은 걸레짝인데   실내는 깨끗함 ㅋㅋ",카카오맵,5,21.07.24.,3
64,새로운 마음으로 열심히 노력하자~,"써비스도 별로고 차 상태도 그리 안좋네요"" ""특히 셔틀 운전 하시는 분 좀 운전"" ""좀 부드럽게 하면 안될까요?",카카오맵,1,21.06.30.,3
65,강민석,욕하는 사람이 많길래 다른 곳 알아볼까 하다 그냥 했는데 직원분들 응대 괜찮고 차가 살짝 지저분한 것 빼곤 상태 좋았네요. 차 렌트하는데 문제 전혀 없어보입니다.,카카오맵,5,21.06.23.,3
66,리얼리뷰,"분명히 차량 인수 전에는... 나중에 차량 사용 후 주유를 기존 있던 양보다 더 넣으면, 넣은 만큼 환불해준다해서 넉넉히 넣었것만.. 막상 차량 반납하고 물어보니 발뺌하시네요??????"" """" ""대기업 랜터카에 차량이 없어서 이 것 이용했더니... 앞으로 대기업 렌터카 이용하렵니다. 대기업이 왜 대기업인줄 알았던 경험.",카카오맵,1,21.06.06.,3
67,준혁,"욕나오네.. 어쩔수없어서 차를 빌리긴하는데"" ""카운터 구석에앉은 아줌마요"" ""고객응대 제대로하세요.. 확 지를까하다가 참았어요..",카카오맵,1,21.05.06.,3
68,김창식,"월요일날  사용했는데,  친절한 평가는 안내 데스크탑은 그런데로 평균 1.필드에 있는직원     q.차는 어디있나요     a. 저기 바닥 번호에 있는  차량,         사진찍고 가세요     q.연료가 주행가능거리가 72k....     a.돌아가시면 주유소 있습니다         ........조금넣어놓치.신발    차랑반납하러 가서 내렸더니...    저쪽입니다.  직원은 멍하니 놀면서 자기가 해도 되는데...  굳이 종합점수  100만점에 10점 불친절100, 서비스10.  다시는 제주도 가지도 않지만...2.3년전에 손님없다고 곡소리 낼때을 잊은듯"" """" "".",카카오맵,1,21.04.28.,3
